buyer_key,n_sources,rank,cumulative_source_share
SIRET:26440013600018,2,295,0.8076923076923077
SIRET:21440190300155,2,296,0.808284023668639
NAME:mairie de saint-viaud,2,297,0.8088757396449704
NAME:communaute communes la chataigneraie,2,298,0.8094674556213017
NAME:dreal bretagne,2,299,0.8100591715976332
NAME:cte de communes d erdre et gesvres,2,300,0.8106508875739645
NAME:syndicat mixte pour le dvlpt numerique,2,301,0.8112426035502959
NAME:epcc chemins du patrimoine,2,302,0.8118343195266272
SIRET:20002377800018,2,303,0.8124260355029586
NAME:societe d equipement de la touraine,2,304,0.8130177514792899
SIRET:24440045300035,2,305,0.8136094674556213
NAME:caf de la somme,2,306,0.8142011834319527
NAME:pole emploi pays de la loire,2,307,0.814792899408284
NAME:lycee general et technologique livet,2,308,0.8153846153846154
NAME:mission val de loire syndicat mixte i,2,309,0.8159763313609467
SIRET:24720009000014,2,310,0.8165680473372781
SIRET:20005042500012,2,311,0.8171597633136095
NAME:eptb vilaine,2,312,0.8177514792899409
NAME:inserm,2,313,0.8183431952662722
NAME:communaute communes pays de redon,2,314,0.8189349112426035
NAME:mairie de saint-gilles-croix-de-vie,2,315,0.8195266272189349
SIRET:20005359300014,2,316,0.8201183431952662
NAME:grand port maritime de nantes saint nazaire 18 quai ernest renaud nantes 44186,2,317,0.8207100591715977
SIRET:22220001600327,2,318,0.821301775147929
SIRET:17350005900014,2,319,0.8218934911242604
NAME:ville de saint gilles croix de vie 85,2,320,0.8224852071005917
NAME:mindef dga do s2a,2,321,0.823076923076923
NAME:g c s m s estuaire,2,322,0.8236686390532545
NAME:mairie de bauge en anjou,2,323,0.8242603550295858
NAME:nantes metropole habitat,2,324,0.8248520710059172
NAME:voies navigables de france,2,325,0.8254437869822485
NAME:centre hospitalier du nord mayenne,2,326,0.8260355029585799
SIRET:21440043400012,2,327,0.8266272189349112
NAME:o p h le mans habitat,2,328,0.8272189349112427
NAME:prefet de la region pays de la loire,2,329,0.827810650887574
SIRET:53961650800021,2,330,0.8284023668639053
NAME:iphv les hauts thebaudieres,2,331,0.8289940828402367
NAME:gcs e-sante pays de la loire,2,332,0.829585798816568
SIRET:20007190000019,2,333,0.8301775147928994
SIRET:20008776100015,2,334,0.8307692307692308
NAME:cte de cnes du pays fontenay le comte,2,335,0.8313609467455622
SIRET:21850047800209,2,336,0.8319526627218935
NAME:dreal pays de la loire,2,337,0.8325443786982248
NAME:ville de beaucouze,2,338,0.8331360946745562
SIRET:12006401900074,2,339,0.8337278106508875
NAME:centre hospitalier de saumur,2,340,0.834319526627219
NAME:com communes du pays d ancenis,2,341,0.8349112426035503
NAME:pays de saint gilles croix de vie agglomeration 85,2,342,0.8355029585798817
SIRET:12001002000028,2,343,0.836094674556213
SIRET:24850058900085,2,344,0.8366863905325443
NAME:frg02,2,345,0.8372781065088757
SIRET:11004301500012,2,346,0.8378698224852071
SIRET:20007186800018,2,347,0.8384615384615385
NAME:ministere budget comptes publics,2,348,0.8390532544378698
NAME:inra angers nantes,2,349,0.8396449704142012
NAME:cte de communes du pays des herbiers,2,350,0.8402366863905325
NAME:smirgeom est sarthe,2,351,0.840828402366864
NAME:redon agglomeration,2,352,0.8414201183431953
NAME:residences du val d oudon,2,353,0.8420118343195266
NAME:comm comm de doue la fontaine,2,354,0.842603550295858
NAME:commune de le pellerin,2,355,0.8431952662721893
SIRET:21850128600015,2,356,0.8437869822485207
SIRET:13002622200013,2,357,0.8443786982248521
NAME:commune de loire authion,2,358,0.8449704142011835
NAME:centre hospitalier loire vendee ocean,2,359,0.8455621301775148
NAME:ville d ancenis-saint-gereon,2,360,0.8461538461538461
NAME:chbr reg metiers artisanat nouv aquit,2,361,0.8467455621301775
SIRET:21440114300018,2,362,0.8473372781065088
SIRET:21370261600011,2,363,0.8479289940828403
NAME:communaute d agglomeration de saintes,2,364,0.8485207100591716
NAME:commune les sables d olonne,2,365,0.849112426035503
NAME:cnam,2,366,0.8497041420118343
NAME:groupement d interet public arronax,2,367,0.8502958579881656
NAME:cnfpt - delegation pays de la loire,2,368,0.850887573964497
NAME:ville d ecouflant,2,369,0.8514792899408284
NAME:association songo,2,370,0.8520710059171598
NAME:insa rennes,2,371,0.8526627218934911
NAME:cnieg caisse nationale des industries electriques et gazieres,2,372,0.8532544378698225
NAME:ville de la baule escoublac,2,373,0.8538461538461538
NAME:s i d energies de maine et loire,2,374,0.8544378698224852
SIRET:43287759500020,2,375,0.8550295857988166
NAME:spl le mans evenements,2,376,0.855621301775148
SIRET:13001044000019,2,377,0.8562130177514793
NAME:lycee des metiers chevrollier-greta,2,378,0.8568047337278106
NAME:clisson sevre et maine agglo,2,379,0.857396449704142
NAME:commune de cesson sevigne,2,380,0.8579881656804734
NAME:cd 44,2,381,0.8585798816568048
NAME:sec gal pour l adm min interieur ouest,2,382,0.8591715976331361
NAME:cc loir luce berce,2,383,0.8597633136094674
NAME:communaute de communes pays de fontenay-vendee,2,384,0.8603550295857988
SIRET:19753471200017,2,385,0.8609467455621301
SIRET:12002701600563,2,386,0.8615384615384616
NAME:ca les sables d olonne agglomeration,2,387,0.8621301775147929
SIRET:53820845500021,2,388,0.8627218934911243
NAME:ecole national sup d arts et metiers,2,389,0.8633136094674556
NAME:destination rennes tourisme congres,2,390,0.863905325443787
NAME:fondation partenariale polytech,2,391,0.8644970414201183
NAME:cc du pays de mortagne,2,392,0.8650887573964497
NAME:gie loire ocean,2,393,0.8656804733727811
NAME:cc du pays des achards,2,394,0.8662721893491124
SIRET:80259603100012,2,395,0.8668639053254438
NAME:sce departemental incendie et secours,2,396,0.8674556213017751
NAME:caisse primaire assur maladie maine lo,2,397,0.8680473372781065
NAME:communaute d agglomeration saumur val de loire 49,2,398,0.8686390532544379
SIRET:21440020200013,2,399,0.8692307692307693
NAME:ars pays de la loire,2,400,0.8698224852071006
NAME:sna ouest,2,401,0.8704142011834319
SIRET:13001954000025,2,402,0.8710059171597633
NAME:cci de region bretagne,2,403,0.8715976331360947
NAME:sembreizh societe,2,404,0.8721893491124261
NAME:podeliha,2,405,0.8727810650887574
NAME:institution amenagement de la vilaine,2,406,0.8733727810650888
SIRET:26440013600471,2,407,0.8739644970414201
SIRET:19720916600010,2,408,0.8745562130177514
NAME:sarthe culture,2,409,0.8751479289940829
NAME:institut public ocens,2,410,0.8757396449704142
NAME:region pays de la loire,2,411,0.8763313609467456
NAME:ville de la roche-sur-yon,2,412,0.8769230769230769
SIRET:20006895500018,2,413,0.8775147928994083
SIRET:21610001600015,2,414,0.8781065088757396
NAME:conservatoire national des arts et metiers,2,415,0.878698224852071
NAME:syndicat mixte e-collectivites,2,416,0.8792899408284024
NAME:commune de fontenay le comte,2,417,0.8798816568047337
NAME:satt ouest valorisation,2,418,0.8804733727810651
NAME:siri 49,2,419,0.8810650887573964
NAME:msa loire-atlantique - vendee,2,420,0.8816568047337278
SIRET:11001001400014,2,421,0.8822485207100592
SIRET:52400775400038,1,422,0.8825443786982249
NAME:cenovia,1,423,0.8828402366863906
NAME:smictom de la vallee de l authion,1,424,0.8831360946745562
SIRET:45072478600030,1,425,0.8834319526627219
NAME:lycee polyvalent robert garnier,1,426,0.8837278106508876
SIRET:85403311500015,1,427,0.8840236686390532
SIRET:25490051700049,1,428,0.8843195266272189
NAME:universite rennes 2,1,429,0.8846153846153846
NAME:gip loire estuaire,1,430,0.8849112426035503
NAME:trivalis 85,1,431,0.8852071005917159
NAME:departement du maine et loire,1,432,0.8855029585798817
SIRET:28440001700018,1,433,0.8857988165680474
NAME:cmar pays de loire,1,434,0.886094674556213
NAME:commune de bouaye,1,435,0.8863905325443787
NAME:residences saint alexandre,1,436,0.8866863905325444
NAME:commune de saint-barthelemy-d anjou,1,437,0.8869822485207101
NAME:communaute de communes derval,1,438,0.8872781065088757
NAME:groupement de commandes nantes metropole coordonnateur ville de nantes,1,439,0.8875739644970414
NAME:ensam,1,440,0.8878698224852071
NAME:syndicat intercommunal d energies de maine-et-loire,1,441,0.8881656804733727
SIRET:20007191800011,1,442,0.8884615384615384
NAME:lycee des metiers chevrollier-greta-cfa 49,1,443,0.8887573964497042
SIRET:20006734600011,1,444,0.8890532544378699
NAME:rectorat de nantes,1,445,0.8893491124260355
SIRET:21530130000012,1,446,0.8896449704142012
NAME:ville d angers 49,1,447,0.8899408284023669
SIRET:20007155300016,1,448,0.8902366863905326
NAME:geo vendee 85,1,449,0.8905325443786982
NAME:pole sante sarthe et loire,1,450,0.8908284023668639
NAME:saem vendee,1,451,0.8911242603550296
NAME:commune de beaufort en anjou,1,452,0.8914201183431952
NAME:cc sud vendee littoral,1,453,0.8917159763313609
SIRET:45405749800031,1,454,0.8920118343195266
