buyer_key,n_sources,n_names,buyer_key_type
NAME:carene,9,1,NAME_FALLBACK
NAME:cdc du pays de saint gilles cx de vie,9,1,NAME_FALLBACK
NAME:cmar pays de la loire,9,1,NAME_FALLBACK
NAME:commune de saint nazaire,9,1,NAME_FALLBACK
NAME:laval agglomeration,9,1,NAME_FALLBACK
NAME:vendee expansion,9,1,NAME_FALLBACK
NAME:ville de carquefou,9,1,NAME_FALLBACK
SIRET:21720181300011,9,1,RAW_SIRET
NAME:conseil general de la vendee,8,1,NAME_FALLBACK
NAME:metropole nantes metropole,8,1,NAME_FALLBACK
NAME:montrevault-sur-evre,8,1,NAME_FALLBACK
NAME:spr pays de la loire,8,1,NAME_FALLBACK
NAME:universite du maine,8,1,NAME_FALLBACK
NAME:ville de laval,8,1,NAME_FALLBACK
SIRET:77560485300041,8,1,RAW_SIRET
NAME:centre hospitalier de laval 53,7,1,NAME_FALLBACK
NAME:e-collectivites vendee,7,1,NAME_FALLBACK
NAME:mauges communaute,7,1,NAME_FALLBACK
NAME:sdis de la mayenne,7,1,NAME_FALLBACK
NAME:semitan mandataire de nantes metropole,7,1,NAME_FALLBACK
NAME:sm megalis,7,1,NAME_FALLBACK
NAME:ville de cholet,7,1,NAME_FALLBACK
NAME:ville de sable sur sarthe,7,1,NAME_FALLBACK
NAME:agence regionale pays de la loire ti,6,1,NAME_FALLBACK
NAME:audencia eesc,6,1,NAME_FALLBACK
NAME:centre hospitalier de cholet,6,1,NAME_FALLBACK
NAME:cg49,6,1,NAME_FALLBACK
NAME:chu angers etablissement support du groupement hospitalier de territoire de maine et loire,6,1,NAME_FALLBACK
NAME:communaute communes parthenay-gatine,6,1,NAME_FALLBACK
NAME:communaute de communes de grand lieu,6,1,NAME_FALLBACK
NAME:communaute urbaine d alencon,6,1,NAME_FALLBACK
NAME:commune de mauges sur loire,6,1,NAME_FALLBACK
NAME:crous de nantes,6,1,NAME_FALLBACK
NAME:dirisi,6,1,NAME_FALLBACK
NAME:oniris,6,1,NAME_FALLBACK
NAME:regie dept passages d eau de vendee,6,1,NAME_FALLBACK
NAME:reseau canope,6,1,NAME_FALLBACK
NAME:societe publique regionale abbaye de fontevraud,6,1,NAME_FALLBACK
NAME:ville de la roche sur yon,6,1,NAME_FALLBACK
NAME:ville de saumur,6,1,NAME_FALLBACK
NAME:ville des sables d olonne,6,1,NAME_FALLBACK
SIRET:26530023600014,6,1,RAW_SIRET
SIRET:28720026500018,6,1,RAW_SIRET
NAME:angers loire metropole 49,5,1,NAME_FALLBACK
NAME:angers nantes opera syndicat mixte,5,1,NAME_FALLBACK
NAME:ca pornic agglo pays de retz,5,1,NAME_FALLBACK
NAME:cc ocean marais de monts,5,1,NAME_FALLBACK
NAME:cc vendee grand littoral,5,1,NAME_FALLBACK
NAME:centre hospitalier de saint-nazaire,5,1,NAME_FALLBACK
NAME:chu d angers,5,1,NAME_FALLBACK
NAME:commune de pornic,5,1,NAME_FALLBACK
NAME:commune de reze,5,1,NAME_FALLBACK
NAME:commune de saint jean de monts,5,1,NAME_FALLBACK
NAME:cte de communes de la region de blain,5,1,NAME_FALLBACK
NAME:dir ouest,5,1,NAME_FALLBACK
NAME:ecole des mines de nantes,5,1,NAME_FALLBACK
NAME:insee,5,1,NAME_FALLBACK
NAME:lycee polyvalent leonard de vinci,5,1,NAME_FALLBACK
NAME:sdis 49,5,1,NAME_FALLBACK
NAME:territoire d energie loire-atlantique,5,1,NAME_FALLBACK
NAME:universite de rennes 1,5,1,NAME_FALLBACK
NAME:universite gustave eiffel,5,1,NAME_FALLBACK
NAME:vendee grand littoral,5,1,NAME_FALLBACK
NAME:ville de reze,5,1,NAME_FALLBACK
NAME:ville de thouare-sur-loire,5,1,NAME_FALLBACK
SIRET:12000601000058,5,1,RAW_SIRET
SIRET:13002591900015,5,1,RAW_SIRET
SIRET:23350001600040,5,1,RAW_SIRET
SIRET:24440061000055,5,1,RAW_SIRET
NAME:caisse des depots,4,1,NAME_FALLBACK
NAME:cci de maine et loire,4,1,NAME_FALLBACK
NAME:cci nantes saint-nazaire,4,1,NAME_FALLBACK
NAME:cci pays de la loire,4,1,NAME_FALLBACK
NAME:centre hospitalier de laval,4,1,NAME_FALLBACK
NAME:centre hospitalier paul chapron,4,1,NAME_FALLBACK
NAME:cesame - ch de sainte gemmes sur loire,4,1,NAME_FALLBACK
NAME:chambre agriculture pays de la loire,4,1,NAME_FALLBACK
NAME:com d agglo reg nazairienne estuaire,4,1,NAME_FALLBACK
NAME:communaute de cnes terres de montaigu,4,1,NAME_FALLBACK
NAME:communaute de communes sud vendee littoral,4,1,NAME_FALLBACK
NAME:commune de la baule,4,1,NAME_FALLBACK
NAME:concarneau cornouaille agglomeration,4,1,NAME_FALLBACK
NAME:dir interdepartementale routes ouest,4,1,NAME_FALLBACK
NAME:institut 4 10,4,1,NAME_FALLBACK
NAME:mairie de reze,4,1,NAME_FALLBACK
