source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status,l2_candidate_notice_id,l2_s_text,l2_s_cpv,l2_s_time,l2_s_buyer,l2_composite_score,l2_top1_top2_margin,l2_buyer_match_mechanism,l2_confidence_tier
20-153528,False,True,,25-114696,,0.33233744783343516,,0.18199567147802886,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-114696,0.4081426611647987,0.0,0.4579500657030223,0.75,0.33233744783343516,0.18199567147802886,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-8119,False,True,,22-79348,,0.40007619387701016,,0.13910746336155955,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,22-79348,0.5749564490597764,0.2,0.25536574682435387,0.75,0.40007619387701016,0.13910746336155955,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-16505,False,True,,25-80306,,0.3308098416202542,,0.033782391594261885,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-80306,0.005192251322245594,0.1,0.8959702146298729,0.75,0.3308098416202542,0.033782391594261885,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-26779,True,True,25-129489,25-128548,0.37676389654727593,0.389520229468249,0.03422032413491022,0.012756332920973057,POTENTIAL,POTENTIAL,SAME_SIREN_RECONCILIATION,CHANGED_CANDIDATE,25-128548,0.020899422909720813,0.2,0.9288217257993868,0.9,0.389520229468249,0.012756332920973057,SAME_SIREN_RECONCILIATION,POTENTIAL
21-23645,False,True,,25-24896,,0.3344678055190539,,0.04178634355381977,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-24896,0.0,0.1,0.9178712220762155,0.75,0.3344678055190539,0.04178634355381977,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-35651,False,True,,25-30282,,0.35860296036691136,,0.017794568550153322,,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-30282,0.01029417247688951,0.1,1.0,0.75,0.35860296036691136,0.017794568550153322,HISTORICAL_ALIAS_RECONCILIATION,POTENTIAL
21-27874,False,True,,25-57823,,0.49231760174797995,,0.2574803729355593,,MEDIUM,SAME_SIREN_RECONCILIATION,ADDED_BY_ENRICHMENT,25-57823,0.2676754706096465,0.2,0.9945247481384144,0.9,0.49231760174797995,0.2574803729355593,SAME_SIREN_RECONCILIATION,MEDIUM
21-31568,False,True,,25-20325,,0.35899255365746824,,0.09022777047744196,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-20325,0.0,0.2,0.8959702146298729,0.75,0.35899255365746824,0.09022777047744196,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-39936,False,True,,24-74340,,0.33000580153095793,,0.33000580153095793,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,24-74340,0.029945866835838685,0.0,0.9780989925536575,0.75,0.33000580153095793,0.33000580153095793,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
21-46043,False,True,,25-80306,,0.37143083717479525,,0.13266605399476894,,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,ADDED_BY_ENRICHMENT,25-80306,0.07432150837877159,0.1,0.9616732369689006,0.75,0.37143083717479525,0.13266605399476894,HISTORICAL_ALIAS_RECONCILIATION,MEDIUM
