source_notice_id,linked_l1,linked_l2,candidate_l1,candidate_l2,score_l1,score_l2,margin_l1,margin_l2,confidence_tier_l1,confidence_tier_l2,mechanism_l2,link_status
15-71156,False,False,,,,,,,,,,UNLINKED_BOTH
15-74284,True,True,16-55322,16-55322,0.3479379049113935,0.3479379049113935,0.023341866820681068,0.023341866820681068,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-81513,False,False,,,,,,,,,,UNLINKED_BOTH
15-81386,True,True,16-42170,16-42170,0.7758788240595365,0.7908788240595366,0.5312282765777303,0.5312282765777305,HIGH,HIGH,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-69497,True,True,15-165050,15-165050,0.366978633416627,0.381978633416627,0.005697595380130038,0.005697595380130038,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-82510,False,False,,,,,,,,,,UNLINKED_BOTH
15-89415,False,False,,,,,,,,,,UNLINKED_BOTH
15-90549,True,True,16-19705,16-19705,0.35355690005937584,0.35355690005937584,0.22319456793963544,0.22319456793963546,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
15-96870,True,True,15-174987,15-174987,0.5725178719297295,0.5875178719297294,0.02699647499404656,0.02699647499404645,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-85858,True,True,16-70203,16-70203,0.6508562586799924,0.6658562586799923,0.027961253830815158,0.027961253830815158,POTENTIAL,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,SAME_LINK
15-86544,True,True,16-15813,16-15813,0.4077148365345477,0.4077148365345477,0.0024818532187623754,0.0024818532187623754,POTENTIAL,POTENTIAL,M0_NAME_FALLBACK,SAME_LINK
15-98976,True,True,15-194034,15-194034,0.6237483262491474,0.6237483262491474,0.36844114736333633,0.36844114736333633,HIGH,HIGH,M0_NAME_FALLBACK,SAME_LINK
15-84438,False,False,,,,,,,,,,UNLINKED_BOTH
15-84820,True,True,16-57014,16-57014,0.3908418815821399,0.3908418815821399,0.054335099627193295,0.054335099627193295,MEDIUM,MEDIUM,M0_NAME_FALLBACK,SAME_LINK
