source_notice_id,m0_candidate_notice_id,m1_candidate_notice_id,profile_candidate_notice_id,m0_m1_status,m1_buyer_match_mechanism,profile_evidence_status,profile_conflict_flag
15-89263,19-75795,19-75795,19-75795,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
15-89902,15-192356,15-192356,15-192356,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
15-92588,19-147943,19-147943,19-147943,same_accepted_candidate_under_m0_and_m1,EXACT_SIRET_RECONCILIATION,STRONG_SUPPORT,False
15-95253,,19-103545,19-103545,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
15-95813,19-185562,19-185562,19-185562,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
15-96106,20-4011,20-4011,20-4011,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NEUTRAL_SHARED_PLATFORM,False
15-96870,19-136955,19-136955,19-136955,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
15-97256,15-190662,15-190662,15-190662,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
15-98729,15-170834,15-170834,15-170834,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NEUTRAL_SHARED_PLATFORM,False
16-102715,19-69736,19-69736,19-69736,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-103833,20-49949,20-49949,20-49949,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-105530,,20-32603,20-32603,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-106116,16-165866,16-165866,16-165866,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-106204,20-35694,20-35694,20-35694,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-10778,20-97584,20-97584,20-97584,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-108742,17-20203,17-20203,17-20203,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-109275,17-46886,17-46886,17-46886,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,NEUTRAL_SHARED_PLATFORM,False
16-119669,,18-154990,18-154990,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-123593,19-130357,19-130357,19-130357,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-124376,21-35651,20-124045,20-124045,accepted_by_both_different_candidates,HISTORICAL_ALIAS_RECONCILIATION,STRONG_SUPPORT,False
16-12477,19-87510,19-87510,19-87510,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,NEUTRAL_SHARED_PLATFORM,False
16-125010,20-93634,20-93634,20-93634,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-127032,,20-150503,20-150503,accepted_only_under_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
16-128161,21-7561,21-7561,21-7561,same_accepted_candidate_under_m0_and_m1,M0_NAME_FALLBACK,STRONG_SUPPORT,False
16-128870,21-26465,21-26465,21-26465,same_accepted_candidate_under_m0_and_m1,HISTORICAL_ALIAS_RECONCILIATION,WEAK_SUPPORT,False
