variant,n,events,censoring_rate,median_survival_months,survival_at_12m,survival_at_24m,rmst_60m,cpv_division
no_temporal_score_reference_pool__cpv,682,205,0.6994134897360704,inf,0.6903781771476569,0.6836101890864226,42.49933278344115,
forward_24m_no_duration,3159,1105,0.6502057613168724,inf,0.7368487780346804,0.63663605605431,41.06962477644862,
forward_24m_no_duration__cpv,203,48,0.7635467980295567,inf,0.8417110686639195,0.7604202713335958,47.81780807013397,30.0
forward_24m_no_duration__cpv,370,116,0.6864864864864865,inf,0.7704844246815529,0.6792708228296246,43.257706151679216,32.0
forward_24m_no_duration__cpv,157,42,0.7324840764331211,inf,0.784444127714875,0.7226841317608246,45.54295942227536,35.0
forward_24m_no_duration__cpv,13,2,0.8461538461538461,inf,0.8461538461538463,0.8461538461538463,51.196300414434454,38.0
forward_24m_no_duration__cpv,19,2,0.8947368421052632,inf,0.8784313725490193,0.8784313725490193,53.364845018164935,42.0
forward_24m_no_duration__cpv,87,23,0.735632183908046,inf,0.7676390292047639,0.7306852898337308,45.30937813230057,45.0
forward_24m_no_duration__cpv,466,179,0.6158798283261803,inf,0.6996874995216769,0.6060710997822868,39.41917913188806,48.0
forward_24m_no_duration__cpv,50,12,0.76,inf,0.8600000000000001,0.7594736842105263,47.95807455564009,50.0
forward_24m_no_duration__cpv,56,16,0.7142857142857143,inf,0.8193277310924367,0.7079669076933096,44.89788532226751,71.0
forward_24m_no_duration__cpv,889,447,0.49718785151856015,22.634691195795007,0.6363201161890757,0.48583828476517926,33.452165390386796,72.0
forward_24m_no_duration__cpv,59,15,0.7457627118644068,inf,0.8288447957409815,0.7391022623014146,46.808539454793404,79.0
forward_24m_no_duration__cpv,19,2,0.8947368421052632,inf,0.8947368421052634,0.8947368421052634,53.774119925306046,80.0
forward_24m_no_duration__cpv,13,5,0.6153846153846154,inf,0.8461538461538463,0.6153846153846153,41.5096532902052,92.0
forward_24m_no_duration__cpv,682,173,0.7463343108504399,inf,0.7900063620181929,0.7270678152013205,45.34038486828455,
window_9m,3159,693,0.7806267806267806,inf,0.9191540969594004,0.9048845027476137,52.801371489616145,
window_9m__cpv,203,27,0.8669950738916257,inf,1.0,0.9741978522708323,55.243292648635254,30.0
window_9m__cpv,370,48,0.8702702702702703,inf,1.0,1.0,56.82836275956268,32.0
window_9m__cpv,157,26,0.8343949044585988,inf,1.0,1.0,57.78464401771812,35.0
window_9m__cpv,13,0,1.0,inf,1.0,1.0,60.0,38.0
window_9m__cpv,19,2,0.8947368421052632,inf,0.8784313725490193,0.8784313725490193,53.364845018164935,42.0
window_9m__cpv,87,18,0.7931034482758621,inf,0.9415768576290415,0.787345716243651,50.08950453968775,45.0
window_9m__cpv,466,84,0.8197424892703863,inf,0.9978354978354981,0.9978354978354981,57.547488934853334,48.0
window_9m__cpv,50,5,0.9,inf,1.0,1.0,57.61110777736643,50.0
window_9m__cpv,56,4,0.9285714285714286,inf,1.0,1.0,58.41358725949072,71.0
window_9m__cpv,889,201,0.7739032620922385,inf,0.9965725212179017,0.9953861253593087,56.817093675785976,72.0
window_9m__cpv,59,15,0.7457627118644068,inf,1.0,0.982142857142857,55.37631357652073,79.0
window_9m__cpv,19,1,0.9473684210526316,inf,1.0,0.9333333333333331,57.33158125273762,80.0
window_9m__cpv,13,5,0.6153846153846154,inf,1.0,0.6153846153846153,43.19266147781259,92.0
window_9m__cpv,682,234,0.6568914956011731,inf,0.6518262847341688,0.6365245645850075,40.116924769207984,
window_12m,3159,754,0.7613168724279835,inf,0.9163615810537685,0.8993890037943699,52.22205344272624,
window_12m__cpv,203,34,0.8325123152709359,inf,1.0,0.9486390504872542,53.906818914981045,30.0
window_12m__cpv,370,56,0.8486486486486486,inf,1.0,1.0,56.450943723453264,32.0
window_12m__cpv,157,30,0.8089171974522293,inf,1.0,1.0,57.308604943722656,35.0
window_12m__cpv,13,1,0.9230769230769231,inf,0.9230769230769231,0.9230769230769231,55.45284544627514,38.0
window_12m__cpv,19,2,0.8947368421052632,inf,0.8784313725490193,0.8784313725490193,53.364845018164935,42.0
window_12m__cpv,87,27,0.6896551724137931,inf,0.8371197636667651,0.6818447692035782,44.04519003244765,45.0
window_12m__cpv,466,90,0.8068669527896996,inf,0.9978354978354981,0.9978354978354981,57.24841774622908,48.0
window_12m__cpv,50,7,0.86,inf,1.0,1.0,56.845782600327425,50.0
window_12m__cpv,56,6,0.8928571428571429,inf,1.0,1.0,58.37207004235038,71.0
window_12m__cpv,889,221,0.7514060742407199,inf,0.9954296415482714,0.9942446062607138,56.28760391218982,72.0
window_12m__cpv,59,16,0.728813559322034,inf,1.0,0.982142857142857,55.15911491271842,79.0
window_12m__cpv,19,3,0.8421052631578947,inf,0.8947368421052634,0.8308270676691734,51.216049321727475,80.0
