stratum_dim,stratum_value,flag_a,flag_b,joint_rate,n
publication_year,2016,duration_missing,award_link_unresolved,0.7310226296190203,6982
publication_year,2017,duration_missing,award_link_unresolved,0.7465161649944259,7176
publication_year,2018,duration_missing,award_link_unresolved,0.749860646599777,7176
publication_year,2019,duration_missing,award_link_unresolved,0.7315702056982241,7827
publication_year,2020,duration_missing,award_link_unresolved,0.7144679042085872,7057
publication_year,2021,duration_missing,award_link_unresolved,0.7294659799403632,7378
publication_year,2022,duration_missing,award_link_unresolved,0.7098029045643154,7712
publication_year,2023,duration_missing,award_link_unresolved,0.7981708070695835,8091
publication_year,2024,duration_missing,award_link_unresolved,0.4344772757387041,7547
publication_year,2025,duration_missing,award_link_unresolved,0.3322663252240717,7810
publication_year,2026,duration_missing,award_link_unresolved,0.31184528605962936,3723
publication_year,2015,text_weak_or_missing,award_link_unresolved,0.041015625,6144
publication_year,2016,text_weak_or_missing,award_link_unresolved,0.07462045259238041,6982
publication_year,2017,text_weak_or_missing,award_link_unresolved,0.1028428093645485,7176
publication_year,2018,text_weak_or_missing,award_link_unresolved,0.09350613154960981,7176
publication_year,2019,text_weak_or_missing,award_link_unresolved,0.07026957966015077,7827
publication_year,2020,text_weak_or_missing,award_link_unresolved,0.0743942185064475,7057
publication_year,2021,text_weak_or_missing,award_link_unresolved,0.06519381946326917,7378
publication_year,2022,text_weak_or_missing,award_link_unresolved,0.0783195020746888,7712
publication_year,2023,text_weak_or_missing,award_link_unresolved,0.09454949944382647,8091
publication_year,2024,text_weak_or_missing,award_link_unresolved,0.0735391546309792,7547
publication_year,2025,text_weak_or_missing,award_link_unresolved,0.09257362355953905,7810
publication_year,2026,text_weak_or_missing,award_link_unresolved,0.11012624227773302,3723
schema_family,EFORMS,siret_or_siren_missing,name_fallback,0.2292641827373151,10682
schema_family,LEGACY,siret_or_siren_missing,name_fallback,0.7997727918205055,73941
schema_family,EFORMS,siret_or_siren_missing,cpv_missing_or_generic,0.2292641827373151,10682
schema_family,LEGACY,siret_or_siren_missing,cpv_missing_or_generic,0.24019150403700248,73941
schema_family,EFORMS,siret_or_siren_missing,duration_missing,0.062441490357610936,10682
schema_family,LEGACY,siret_or_siren_missing,duration_missing,0.7484886598774698,73941
schema_family,EFORMS,siret_or_siren_missing,text_weak_or_missing,0.017880546714098482,10682
schema_family,LEGACY,siret_or_siren_missing,text_weak_or_missing,0.08363424892819951,73941
