source_notice_id,candidate_notice_id,candidate_rank,n_candidates_for_source,top1_top2_margin,composite_score,s_text,s_cpv,s_time,s_buyer,gap_months,abs_gap_to_expected_end,gradient_boosting_score,logistic_score
15-165050,15-174987,1,10,0.3537555224540879,0.7270690225797338,0.971958674112424,1.0,0.1075339465615418,0.6,0.657030223390276,5.354796320630749,0.7569774898889439,0.9887146406271324
15-165845,16-173853,1,1,0.2506531974166176,0.2506531974166176,0.1983871468645742,0.1,0.3648707840560666,0.6,13.107752956636006,3.8107752956636,0.301842160482457,0.9306572564868432
15-167650,16-30715,1,2,0.010626219100313,0.2612127109186382,0.0173688993520444,0.1,0.6605343845816907,0.6,3.942181340341656,2.0367936925098555,0.05751373223549908,0.5849387443224721
15-169809,15-182957,1,7,0.0015051518303461,0.7268814340812619,0.9479573418528516,1.0,0.1403854577310556,0.6,0.8212877792378449,5.157687253613666,0.7665534862131983,0.9931849453337224
15-169941,16-97484,1,1,0.1563947273661095,0.1563947273661095,0.0187024123356835,0.0,0.3593955321944809,0.6,7.818659658344283,3.843626806833114,0.0011032212221131008,0.06932756867759006
15-170544,16-18733,1,1,0.3202639880417092,0.3202639880417092,0.3307899189027248,0.1,0.4579500657030223,0.6,2.726675427069645,3.252299605781866,0.08495854243543485,0.5295345020351946
15-171733,16-85256,1,1,0.3140476723379422,0.3140476723379422,0.0431773179995268,0.1,0.835742444152431,0.6,6.964520367936925,0.985545335085414,0.2779061485009142,0.8384662785355073
15-173090,16-70203,1,10,0.0280202360181862,0.5344161510089467,0.065630527192823,1.0,0.6057818659658345,0.6,6.011826544021025,2.365308804204993,0.9492056531169012,0.9971874587156999
15-173700,16-17002,1,3,0.5896010940734697,0.7897725968976963,0.9164580923815036,1.0,0.4360490582566798,0.6,2.59526938239159,3.383705650459921,0.9199966156188477,0.9985584479346956
15-174358,16-70203,1,10,0.0295174265200425,0.5344676093880614,0.0657775511331507,1.0,0.6057818659658345,0.6,5.978975032851511,2.365308804204993,0.9492056531169012,0.9971630364691495
15-174987,16-70219,1,9,0.0055493459626405,0.3759580558114077,0.0209339107908689,0.2,0.9945247481384144,0.6,5.946123521681997,0.0328515111695138,0.014121713526767894,0.6384549003174206
15-175210,16-128161,1,21,0.0052327153568751,0.3675571890863927,0.0125750111810708,0.2,0.9726237406920718,0.6,9.69119579500657,0.164257555847569,0.011858189250490156,0.4333672480730037
15-175415,16-73319,1,5,0.1198651628417696,0.5201918146556479,0.5304773329063815,0.1,0.9780989925536576,0.6,6.110381077529566,0.1314060446780552,0.08167056072938901,0.8346276242044626
15-175690,16-98551,1,1,0.2810691712976955,0.2810691712976955,0.0196745110726972,0.2,0.6167323696890057,0.6,7.35873850197109,2.299605781865966,0.1406565498639616,0.4257361994105722
15-176598,16-35152,1,7,0.1721235925163055,0.4985015805825078,0.7383569344469875,0.1,0.6003066141042488,0.6,3.580814717477004,2.3981603153745072,0.017767708446082154,0.7069840239863787
15-178206,16-55859,1,2,0.0073614721095675,0.34247571571286,0.1322220874444145,0.1,0.8247919404292597,0.6,4.92772667542707,1.0512483574244416,0.10140901606815256,0.8193426209036007
15-178562,16-83187,1,2,0.0419018309161157,0.1376309713924655,0.0472204589061997,0.0,0.2444152431011826,0.6,6.3731931668856765,4.533508541392904,0.0015901420737851318,0.28522952123810297
15-178728,17-10496,1,2,0.0840420510054919,0.1713337249349861,0.0300981090376988,0.0,0.403197547087166,0.6,13.92904073587385,3.580814717477004,0.0016602059003863548,0.2676700013675119
15-178791,16-33632,1,21,0.0070657451913476,0.3772470356566099,0.1621487796809217,0.4,0.5619798510731493,0.6,3.350854139290407,2.628120893561104,0.012519409565391352,0.26466556750757464
15-179747,15-182957,1,7,0.2414652535864784,0.7119622644446733,0.975727238254414,1.0,0.0418309242225142,0.6,0.2299605781865965,5.7490144546649145,0.5539065265752264,0.9907274280976639
