source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source
19-185562,20-118247,2019-12-12,2020-09-30,NAME:commune de saint-herblain,NAME_FALLBACK,9.625492772667542,2020-06-12,3.6136662286465175,0.3977222952255804,0.2685927434438661,1.0,0.6,0.5534380340117482,0.9635254749750586,0.9635254749750586,1,0.5534380340117482,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-191665,20-54283,2019-12-26,2020-04-23,NAME:nantes metropole,NAME_FALLBACK,3.9093298291721417,2020-06-26,2.102496714848883,0.6495838808585195,0.0076759549291531,1.0,0.6,0.5250825544398334,0.9425027308388312,0.9425027308388312,2,0.0571994665320789,22,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-25237,19-184042,2019-02-17,2019-12-12,NAME:commune de nantes,NAME_FALLBACK,9.789750328515112,2019-08-17,3.843626806833114,0.3593955321944809,0.8771245365023538,1.0,0.6,0.7568424708244441,0.9173011489520002,0.9173011489520002,1,0.4496317493843324,6,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-35566,19-85688,2019-03-07,2019-06-05,NAME:angers loire metropole,NAME_FALLBACK,2.9566360052562417,2019-09-07,3.088042049934297,0.4853263250109505,0.0213256559346814,1.0,0.6,0.4887955608298761,0.9315769225406456,0.9315769225406456,1,0.11876778827185,8,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-36958,19-191665,2019-03-14,2019-12-26,NAME:nantes metropole,NAME_FALLBACK,9.42838370565046,2020-02-25,2.0039421813403417,0.6660096364432764,0.0150254677417046,1.0,0.6,0.5317613228204157,0.9152587717967028,0.9152587717967028,6,0.085476257104343,23,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-39813,20-32603,2019-03-14,2020-03-03,NAME:departement de la mayenne,NAME_FALLBACK,11.662286465177395,2019-09-14,5.617608409986859,0.0637319316688568,0.0571549631107327,0.1,0.6,0.1259372200059706,0.3162751904215234,0.3162751904215234,1,0.1259372200059706,1,MEDIUM,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-46133,19-92746,2019-03-27,2019-06-19,NAME:cc du pays des achards,NAME_FALLBACK,2.759526938239159,2019-10-15,3.876478318002628,0.3539202803328953,1.0000000000000004,1.0,0.6,0.798480070083224,0.9680959205385472,0.9680959205385472,1,0.798480070083224,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-58204,19-112016,2019-04-13,2019-07-21,NAME:ville de nantes,NAME_FALLBACK,3.252299605781866,2020-01-10,5.683311432325887,0.0527814279456855,0.5754645850796773,1.0,0.6,0.5746079617643085,0.8805316968142951,0.8805316968142951,1,0.2779091268717182,4,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
19-97500,19-161914,2019-06-25,2019-10-26,NAME:cap atlantique,NAME_FALLBACK,4.040735873850197,2019-10-25,0.0328515111695138,0.9945247481384144,1.0,1.0,0.6,0.9586311870346036,0.9754041420757233,0.9754041420757233,1,0.9586311870346036,1,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
20-109382,21-24367,2020-09-06,2021-02-24,SIRET:21440184600016,RAW_SIRET,5.617608409986859,2021-04-10,1.4783180026281209,0.7536136662286466,0.1139542799268085,1.0,1.0,0.6282874145315446,0.9485151012285973,0.9485151012285973,1,0.416738656200806,2,HIGH,primary_gbm,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max
