variant,algorithm,scenario,world,n_pairs,n_truth,n_reachable,blocking_recall,n_pred,tp,precision,recall_conditional,recall_end_to_end,threshold,f1_conditional,f1_end_to_end
dur_w6,current_weighted_composite,stress,010,72819,766,144,0.18798955613577023,3444,51,0.014808362369337979,0.3541666666666667,0.06657963446475196,0.3431669423310381,0.02842809364548495,0.024228028503562943
dur_w12,logistic_regression,central_provisional,007,25722,1469,822,0.5595643294758339,818,520,0.6356968215158925,0.6326034063260341,0.35398230088495575,0.20471228661130875,0.6341463414634146,0.45474420638390906
dur_w12,logistic_regression,central_provisional,008,31079,1712,815,0.4760514018691589,810,546,0.674074074074074,0.6699386503067485,0.3189252336448598,0.20471228661130875,0.6719999999999999,0.43298969072164945
dur_w12,logistic_regression,central_provisional,009,15513,1552,844,0.5438144329896907,805,571,0.7093167701863354,0.6765402843601895,0.36791237113402064,0.20471228661130875,0.6925409338993329,0.48451421298260505
dur_w12,logistic_regression,central_provisional,010,28980,1755,984,0.5606837606837607,965,636,0.6590673575129534,0.6463414634146342,0.3623931623931624,0.20471228661130875,0.6526423807080555,0.46764705882352947
dur_w12,logistic_regression,difficult,007,24481,668,294,0.44011976047904194,1016,152,0.14960629921259844,0.5170068027210885,0.2275449101796407,0.20471228661130875,0.23206106870229007,0.18052256532066513
dur_w12,logistic_regression,difficult,008,44461,899,287,0.3192436040044494,1209,130,0.10752688172043011,0.4529616724738676,0.1446051167964405,0.20471228661130875,0.1737967914438503,0.12333965844402278
dur_w12,logistic_regression,difficult,009,72070,1151,376,0.3266724587315378,1783,164,0.09197980931015143,0.43617021276595747,0.1424847958297133,0.20471228661130875,0.1519221861973136,0.11179277436946147
dur_w12,logistic_regression,difficult,010,65072,1105,424,0.38371040723981903,1523,176,0.11556139198949442,0.41509433962264153,0.1592760180995475,0.20471228661130875,0.1807909604519774,0.13394216133942158
dur_w12,logistic_regression,easier,007,43127,2524,1507,0.597068145800317,1397,1084,0.7759484609878311,0.7193098871930989,0.4294770206022187,0.20471228661130875,0.746556473829201,0.5529201734251467
dur_w12,logistic_regression,easier,008,51464,3204,1761,0.549625468164794,1770,1358,0.7672316384180791,0.771152754116979,0.42384519350811484,0.20471228661130875,0.7691871990937412,0.5460394049055086
dur_w12,logistic_regression,easier,009,32636,2895,1810,0.6252158894645942,1818,1390,0.7645764576457645,0.7679558011049724,0.48013816925734026,0.20471228661130875,0.7662624035281147,0.5898578400169744
dur_w12,logistic_regression,easier,010,54394,3084,1950,0.632295719844358,1889,1453,0.7691900476442562,0.7451282051282051,0.4711413748378729,0.20471228661130875,0.7569679604063557,0.5843555198069575
dur_w12,logistic_regression,stress,007,151404,1154,248,0.21490467937608318,8011,76,0.009486955436275122,0.3064516129032258,0.0658578856152513,0.20471228661130875,0.01840416515316624,0.016584833606110204
dur_w12,logistic_regression,stress,008,106783,1006,246,0.24453280318091453,5618,82,0.014595941616233536,0.3333333333333333,0.08151093439363817,0.20471228661130875,0.027967257844474767,0.024758454106280192
dur_w12,logistic_regression,stress,009,100910,972,234,0.24074074074074073,5422,85,0.01567687200295094,0.36324786324786323,0.0874485596707819,0.20471228661130875,0.030056577086280057,0.02658742571160463
dur_w12,logistic_regression,stress,010,82471,766,199,0.2597911227154047,4260,65,0.015258215962441314,0.32663316582914576,0.08485639686684072,0.20471228661130875,0.02915451895043732,0.02586549940310386
dur_w12,gradient_boosting,central_provisional,007,25722,1469,822,0.5595643294758339,707,564,0.7977369165487977,0.6861313868613139,0.38393464942137506,0.425661028996862,0.7377370830608241,0.5183823529411765
dur_w12,gradient_boosting,central_provisional,008,31079,1712,815,0.4760514018691589,731,596,0.8153214774281806,0.7312883435582822,0.34813084112149534,0.425661028996862,0.7710219922380336,0.4879246827670897
dur_w12,gradient_boosting,central_provisional,009,15513,1552,844,0.5438144329896907,758,610,0.8047493403693932,0.7227488151658767,0.39304123711340205,0.425661028996862,0.7615480649188514,0.5281385281385281
dur_w12,gradient_boosting,central_provisional,010,28980,1755,984,0.5606837606837607,855,686,0.8023391812865497,0.6971544715447154,0.3908831908831909,0.425661028996862,0.7460576400217509,0.5256704980842912
dur_w12,gradient_boosting,difficult,007,24481,668,294,0.44011976047904194,207,137,0.6618357487922706,0.46598639455782315,0.20508982035928144,0.425661028996862,0.5469061876247506,0.3131428571428571
dur_w12,gradient_boosting,difficult,008,44461,899,287,0.3192436040044494,209,140,0.6698564593301436,0.4878048780487805,0.1557285873192436,0.425661028996862,0.5645161290322581,0.2527075812274368
dur_w12,gradient_boosting,difficult,009,72070,1151,376,0.3266724587315378,273,179,0.6556776556776557,0.47606382978723405,0.15551694178974804,0.425661028996862,0.551617873651772,0.25140449438202245
dur_w12,gradient_boosting,difficult,010,65072,1105,424,0.38371040723981903,279,196,0.7025089605734767,0.46226415094339623,0.17737556561085974,0.425661028996862,0.5576102418207681,0.28323699421965315
dur_w12,gradient_boosting,easier,007,43127,2524,1507,0.597068145800317,1385,1142,0.8245487364620938,0.7577969475779694,0.45245641838351824,0.425661028996862,0.7897648686030427,0.5842926579687899
dur_w12,gradient_boosting,easier,008,51464,3204,1761,0.549625468164794,1767,1427,0.8075834748160724,0.8103350369108461,0.4453807740324594,0.425661028996862,0.8089569160997732,0.5741299537316435
dur_w12,gradient_boosting,easier,009,32636,2895,1810,0.6252158894645942,1792,1441,0.8041294642857143,0.7961325966850828,0.4977547495682211,0.425661028996862,0.8001110494169905,0.6148922551738853
dur_w12,gradient_boosting,easier,010,54394,3084,1950,0.632295719844358,1904,1584,0.8319327731092437,0.8123076923076923,0.5136186770428015,0.425661028996862,0.8220031136481578,0.6351242983159582
dur_w12,gradient_boosting,stress,007,151404,1154,248,0.21490467937608318,178,54,0.30337078651685395,0.21774193548387097,0.04679376083188908,0.425661028996862,0.25352112676056343,0.08108108108108109
dur_w12,gradient_boosting,stress,008,106783,1006,246,0.24453280318091453,182,51,0.2802197802197802,0.2073170731707317,0.05069582504970179,0.425661028996862,0.2383177570093458,0.08585858585858586
dur_w12,gradient_boosting,stress,009,100910,972,234,0.24074074074074073,191,67,0.3507853403141361,0.2863247863247863,0.06893004115226338,0.425661028996862,0.3152941176470588,0.11521926053310406
