source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source,logistic_score
15-192356,16-128161,2015-12-24,2016-09-09,NAME:nantes metropole,NAME_FALLBACK,8.541392904073588,2016-06-24,2.5295663600525624,0.5784056066579062,0.0696996763521152,1.0,0.6,0.5289962883877168,0.9208445989145935,0.9208445989145935,1,0.1571488848289535,20,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-192825,16-146809,2015-12-24,2016-10-10,NAME:c h d la roche sur yon-lucon-montaigu,NAME_FALLBACK,9.559789750328514,2016-06-24,3.54796320630749,0.4086727989487516,0.8373912725929985,1.0,0.6,0.7552551451447373,0.8231096859088713,0.8231096859088713,1,0.7552551451447373,1,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-44894,15-126736,2015-03-24,2015-08-13,NAME:prefecture,NAME_FALLBACK,4.664914586070959,2015-09-24,1.3797634691195797,0.7700394218134035,0.4195899788242906,0.1,0.6,0.4293663480418526,0.38495125637532396,0.38495125637532396,1,0.4293663480418526,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-47696,15-52664,2015-03-30,2015-04-08,SIRET:12000601000058,RAW_SIRET,0.2956636005256242,2015-09-30,5.7490144546649145,0.0418309242225142,0.8461860645636888,1.0,1.0,0.7066228536529195,0.5339830857794784,0.5339830857794784,1,0.4389228745889888,4,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-48624,16-49315,2015-03-31,2016-04-05,NAME:rectorat de l academie de nantes,NAME_FALLBACK,12.187910643889618,2016-03-31,0.164257555847569,0.9726237406920718,0.0800239965818713,0.1,0.6,0.3611643339766729,0.32031270921014066,0.32031270921014066,1,0.3611643339766729,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-58213,16-16005,2015-04-17,2016-02-03,NAME:ville d orvault,NAME_FALLBACK,9.592641261498027,2015-10-17,3.580814717477004,0.403197547087166,0.0736103220314869,0.1,0.6,0.2165629994828119,0.2923797429582545,0.2923797429582545,1,0.2165629994828119,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-58339,15-175690,2015-04-17,2015-11-20,NAME:cnieg,NAME_FALLBACK,7.128777923784494,2016-02-06,2.562417871222076,0.5729303547963207,0.2714421172258746,1.0,0.6,0.5982373297281363,0.950594913743136,0.950594913743136,1,0.0788879626340282,5,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-58971,16-36754,2015-04-17,2016-03-15,NAME:cci de maine et loire,NAME_FALLBACK,10.939553219448094,2015-10-17,4.92772667542707,0.1787122207621551,0.1235279158691149,0.1,0.6,0.177912825744729,0.3058222607901377,0.3058222607901377,1,0.177912825744729,1,MEDIUM,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-58989,15-105085,2015-04-17,2015-07-07,NAME:ccir pays de la loire,NAME_FALLBACK,2.6609724047306176,2015-10-17,3.350854139290407,0.4415243101182654,0.0360290411772068,1.0,0.6,0.4829912419415887,0.9233138476543599,0.9233138476543599,1,0.1811249667257728,2,HIGH,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
15-59370,15-92216,2015-04-20,2015-06-16,NAME:chu de nantes,NAME_FALLBACK,1.8725361366622864,2015-10-20,4.139290407358739,0.3101182654402102,0.0670171420123232,1.0,0.6,0.4609855660643657,0.8579152468712898,0.8579152468712898,1,0.0172598090061074,11,POTENTIAL,gradient_boosting_synthetic_v0_4_transfer,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,
