source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used
17-173975,19-1779,RAW_SIRET,SIRET:23440003400026,2017-12-13,2019-01-09,12.877792378449408,2019-01-01,0.2628120893561104,0.9561979851073149,0.0093835463534336,0.0,1.0,0.34233373750053053,False,True,1,0.02587871322476154,5,POTENTIAL,broad,0.27838673159124894
17-174760,18-134465,NAME_FALLBACK,NAME:sdis 44,2017-12-14,2018-09-28,9.461235216819974,2018-12-26,2.923784494086728,0.5127025843188786,0.01871245900231517,0.6,0.6,0.37472500673052994,False,False,1,0.1363029180475625,4,MEDIUM,broad,0.27838673159124894
17-176420,18-60154,NAME_FALLBACK,NAME:angers loire metropole,2017-12-15,2018-05-04,4.599211563731932,2018-05-15,0.36136662286465177,0.939772229522558,0.00775671654950327,0.0,0.6,0.29765790817296567,False,False,1,0.04815429730323256,8,POTENTIAL,broad,0.27838673159124894
17-177418,17-178496,NAME_FALLBACK,NAME:commune de saint-nazaire,2017-12-20,2017-12-21,0.0328515111695138,2018-04-20,3.9421813403416555,0.34296977660972405,0.013363808246246313,0.6,0.6,0.3304197770386172,False,False,1,0.01665721390936087,7,POTENTIAL,broad,0.27838673159124894
17-178496,18-38591,NAME_FALLBACK,NAME:commune de saint-nazaire,2017-12-21,2018-03-21,2.9566360052562417,2018-04-21,1.0183968462549278,0.8302671922908453,0.2737877292273384,0.0,0.6,0.36339250330227973,False,True,1,0.007584715368099071,6,POTENTIAL,broad,0.27838673159124894
17-179112,18-28651,NAME_FALLBACK,NAME:nantes metropole,2017-12-22,2018-03-03,2.3324572930354797,2018-06-22,3.6465177398160313,0.39224704336399474,0.013009495820531587,1.0,0.6,0.4626150843781847,False,True,1,0.04652204676499422,23,POTENTIAL,broad,0.27838673159124894
17-181551,18-58630,NAME_FALLBACK,NAME:departement de la sarthe,2017-12-22,2018-04-26,4.106438896189225,2018-05-22,0.8541392904073587,0.8576434515987735,0.020462599385623836,0.0,0.6,0.28157277268466174,False,False,1,0.08642735878997129,8,MEDIUM,broad,0.27838673159124894
17-1971,17-80380,NAME_FALLBACK,NAME:maine loire habitat office pub habitat,2017-01-06,2017-06-14,5.223390275952694,2017-07-06,0.7227332457293035,0.879544459045116,0.017953688714506005,0.0,0.6,0.2861699058113561,False,True,1,0.2861699058113561,1,MEDIUM,broad,0.27838673159124894
17-19962,17-110921,NAME_FALLBACK,NAME:ecole centrale de nantes,2017-02-11,2017-08-04,5.716162943495401,2017-08-13,0.2956636005256242,0.9507227332457293,0.3769348291281133,0.0,0.6,0.429607873506272,False,False,1,0.13315931999936015,2,MEDIUM,broad,0.27838673159124894
17-20203,17-62974,NAME_FALLBACK,NAME:cap atlantique,2017-02-10,2017-05-05,2.759526938239159,2017-06-10,1.1826544021024967,0.8028909329829172,0.0661491423269881,0.0,0.6,0.28387493306017514,False,False,1,0.28387493306017514,1,MEDIUM,broad,0.27838673159124894
