notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
22-171933,SIRET:24720013200014,RAW_SIRET,2023-01-01,2023-01-01,2024-07-01,2026-07-13,39,39300,DIGITAL_ICT,True,18.0,True,1,16.4257555847569,24-55627,0.5541663525425239,POTENTIAL,window_18m
23-8217,NAME:sdis49,NAME_FALLBACK,2023-01-19,2023-06-30,2026-06-30,2026-07-13,32,32500,DIGITAL_ICT,True,36.0,True,0,41.75427069645204,,,,window_18m
23-6398,NAME:chu de nantes,NAME_FALLBACK,2023-01-13,2023-01-13,2026-01-13,2026-07-13,32,32546,DIGITAL_ICT,True,36.0,True,0,41.95137976346912,,,,window_18m
23-8152,SIRET:24610066300011,RAW_SIRET,2023-01-17,2023-01-17,2024-01-17,2026-07-13,45,45311,DIGITAL_ICT,True,12.0,True,0,41.81997371879106,,,,window_18m
23-11523,SIRET:21440184600016,RAW_SIRET,2023-01-26,2023-05-06,2026-05-06,2026-07-13,50,50313,DIGITAL_ICT,True,36.0,True,0,41.52431011826544,,,,window_18m
23-13316,NAME:cc ocean marais de monts,NAME_FALLBACK,2023-01-29,2023-06-24,2025-06-24,2026-07-13,30,30000,DIGITAL_ICT,True,24.0,True,0,41.4257555847569,,,,window_18m
23-3611,SIRET:20008776100015,RAW_SIRET,2023-01-11,2023-04-21,2025-04-21,2026-07-13,30,30200,DIGITAL_ICT,True,24.0,True,1,13.370565045992116,24-21719,0.4420813886062481,MEDIUM,window_18m
23-21660,SIRET:21720364500015,RAW_SIRET,2023-02-14,2023-02-14,2024-02-14,2026-07-13,45,45210,DIGITAL_ICT,True,12.0,True,0,40.90013140604468,,,,window_18m
23-24849,SIRET:21440184600016,RAW_SIRET,2023-02-21,2023-07-18,2027-07-18,2026-07-13,72,72416,DIGITAL_ICT,True,48.0,True,0,40.67017082785808,,,,window_18m
23-25993,NAME:communaute d agglomeration du niortais,NAME_FALLBACK,2023-02-25,2023-02-25,2027-02-25,2026-07-13,79,79800,DIGITAL_ICT,True,48.0,True,0,40.53876478318003,,,,window_18m
23-14004,SIRET:21440184600016,RAW_SIRET,2023-02-01,2023-05-06,2026-05-06,2026-07-13,32,32342,DIGITAL_ICT,True,36.0,True,0,41.32720105124836,,,,window_18m
23-16483,SIRET:79820357600029,RAW_SIRET,2023-02-03,2023-02-03,2027-02-03,2026-07-13,72,72246,DIGITAL_ICT,True,48.0,True,0,41.26149802890933,,,,window_18m
23-19634,SIRET:24440064400013,RAW_SIRET,2023-02-11,2023-06-28,2027-06-28,2026-07-13,35,35262,DIGITAL_ICT,True,48.0,True,0,40.99868593955322,,,,window_18m
23-24020,NAME:ville de cholet,NAME_FALLBACK,2023-02-23,2023-05-17,2027-05-17,2026-07-13,35,35262,DIGITAL_ICT,True,48.0,True,0,40.60446780551906,,,,window_18m
23-24753,NAME:sdis49,NAME_FALLBACK,2023-02-23,2023-04-22,2026-04-22,2026-07-13,32,32230,DIGITAL_ICT,True,36.0,True,0,40.60446780551906,,,,window_18m
23-18685,NAME:communaute de communes baugeois vallee,NAME_FALLBACK,2023-02-11,2023-02-11,2027-02-11,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,40.99868593955322,,,,window_18m
23-20260,SIRET:23440003400026,RAW_SIRET,2023-02-12,2023-02-12,2027-02-12,2026-07-13,72,72000,DIGITAL_ICT,True,48.0,True,0,40.96583442838371,,,,window_18m
23-20884,NAME:cnieg,NAME_FALLBACK,2023-02-15,2023-11-08,2027-11-08,2026-07-13,72,72500,DIGITAL_ICT,True,48.0,True,0,40.86727989487517,,,,window_18m
23-22379,NAME:ctre hosp universitaire angers,NAME_FALLBACK,2023-02-18,2023-09-14,2026-09-14,2026-07-13,32,32360,DIGITAL_ICT,True,36.0,True,0,40.76872536136662,,,,window_18m
23-23775,NAME:departement de la mayenne,NAME_FALLBACK,2023-02-20,2023-02-20,2023-08-20,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,0.7227332457293035,23-34018,0.6174529128339901,HIGH,window_18m
23-16355,SIRET:24440064400013,RAW_SIRET,2023-02-05,2023-07-20,2027-07-20,2026-07-13,48,48627,DIGITAL_ICT,True,48.0,True,0,41.1957950065703,,,,window_18m
23-24028,SIRET:22440002800011,RAW_SIRET,2023-02-20,2023-02-20,2027-02-20,2026-07-13,35,35261,DIGITAL_ICT,True,48.0,True,0,40.7030223390276,,,,window_18m
23-25410,SIRET:24560046500133,RAW_SIRET,2023-02-24,2023-06-24,2027-06-24,2026-07-13,72,72000,DIGITAL_ICT,True,48.0,True,0,40.57161629434954,,,,window_18m
23-29518,NAME:vendee grand littoral,NAME_FALLBACK,2023-03-03,2023-03-03,2023-09-03,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,40.34165571616295,,,,window_18m
23-23753,NAME:angers loire metropole,NAME_FALLBACK,2023-03-08,2023-11-22,2027-11-22,2026-07-13,72,72200,DIGITAL_ICT,True,48.0,True,0,40.17739816031538,,,,window_18m
23-31575,NAME:ville de nantes,NAME_FALLBACK,2023-03-10,2023-09-15,2027-09-15,2026-07-13,72,72312,DIGITAL_ICT,True,48.0,True,0,40.11169513797635,,,,window_18m
23-34705,NAME:nantes metropole,NAME_FALLBACK,2023-03-17,2023-03-17,2027-03-17,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,0,39.88173455978975,,,,window_18m
23-39981,NAME:depafi,NAME_FALLBACK,2023-03-26,2023-10-21,2026-10-21,2026-07-13,32,32344,DIGITAL_ICT,True,36.0,True,0,39.58607095926413,,,,window_18m
23-37255,SIRET:13002974700016,RAW_SIRET,2023-03-20,2023-07-18,2024-01-18,2026-07-13,85,85311,DIGITAL_ICT,True,6.0,True,0,39.78318002628121,,,,window_18m
23-37068,NAME:nantes metropole,NAME_FALLBACK,2023-03-22,2023-10-07,2027-10-07,2026-07-13,72,72243,DIGITAL_ICT,True,48.0,True,0,39.71747700394218,,,,window_18m
23-43274,SIRET:21440184600016,RAW_SIRET,2023-03-31,2023-07-31,2027-07-31,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,0,39.42181340341656,,,,window_18m
23-42045,SIRET:77560485100041,RAW_SIRET,2023-03-31,2023-03-31,2027-03-31,2026-07-13,48,48951,DIGITAL_ICT,True,48.0,True,0,39.42181340341656,,,,window_18m
23-28773,SIRET:25490130900032,RAW_SIRET,2023-03-04,2023-06-14,2027-06-14,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,40.30880420499343,,,,window_18m
23-30906,NAME:societe d equipement de la touraine,NAME_FALLBACK,2023-03-09,2023-03-09,2024-03-09,2026-07-13,45,45300,DIGITAL_ICT,True,12.0,True,1,8.5742444152431,23-164280,0.8251228188514304,HIGH,window_18m
23-31869,NAME:vendee eau,NAME_FALLBACK,2023-03-11,2023-05-25,2025-05-25,2026-07-13,30,30000,DIGITAL_ICT,True,24.0,True,0,40.07884362680684,,,,window_18m
23-37461,NAME:adoma,NAME_FALLBACK,2023-03-22,2023-03-22,2027-03-22,2026-07-13,79,79540,DIGITAL_ICT,True,48.0,True,0,39.71747700394218,,,,window_18m
23-38410,SIRET:21490035900016,RAW_SIRET,2023-03-28,2023-03-28,2026-03-28,2026-07-13,32,32323,DIGITAL_ICT,True,36.0,True,0,39.5203679369251,,,,window_18m
23-31948,SIRET:52926090300016,RAW_SIRET,2023-03-11,2023-05-13,2026-05-13,2026-07-13,32,32323,DIGITAL_ICT,True,36.0,True,0,40.07884362680684,,,,window_18m
23-33058,NAME:spl eau du bassin rennais,NAME_FALLBACK,2023-03-12,2023-03-12,2027-03-12,2026-07-13,72,72600,DIGITAL_ICT,True,48.0,True,0,40.04599211563732,,,,window_18m
23-29827,SIRET:28490001600023,RAW_SIRET,2023-03-03,2023-06-28,2024-06-28,2026-07-13,45,45311,DIGITAL_ICT,True,12.0,True,0,40.34165571616295,,,,window_18m
23-38767,NAME:gie sesam vitale,NAME_FALLBACK,2023-03-24,2023-03-24,2027-03-24,2026-07-13,72,72700,DIGITAL_ICT,True,48.0,True,0,39.65177398160316,,,,window_18m
