notice_id,publication_date,start_date,start_date_source,buyer_key,buyer_key_type,buyer_name_raw,buyer_name_normalized,buyer_siret_clean,buyer_siren_clean,buyer_identifier_source,code_departement,objet_clean,cpv_clean,cpv_division,cpv_group,cpv_class,cpv_category,cpv_generic_flag,declared_duration_months,dur_was_imputed,duration_quality_flag,estimated_end_date,is_digital_scope,category_label,study_end_date
21-27874,2021-03-03,2021-05-23,LINKED_ATTRIBUTION_DATE,SIRET:24720013200014,RAW_SIRET,Le Mans Métropole - Communauté Urbaine,le mans metropole - communaute urbaine,24720013200014,247200132,RAW_SIRET_FIELD,72,"Hébergement, maintenance et évolution des sites internet www.lemans.fr, www.lemansmetropole.fr et www.allonnes.fr, un an renouvelable 3 fois",72250000,72,722,7225,72250,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-05-23,True,DIGITAL_ICT,2026-07-13
21-30450,2021-03-11,2021-03-11,PUBLICATION_DATE_FALLBACK,NAME:crdc le lieu unique,NAME_FALLBACK,CRDC LE LIEU UNIQUE,crdc le lieu unique,,,NONE,44,Lieu unique - fournitures d'équipements et de matériels scéniques,32351000,32,323,3235,32351,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2024-03-11,True,DIGITAL_ICT,2026-07-13
21-37673,2021-03-24,2021-03-24,PUBLICATION_DATE_FALLBACK,NAME:ville de nantes,NAME_FALLBACK,Ville de Nantes,ville de nantes,,,NONE,44,accompagnement stratégique et opérationnel sur les contenus numériques,79415200,79,794,7941,79415,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-03-24,True,DIGITAL_ICT,2026-07-13
21-31568,2021-03-11,2021-03-11,PUBLICATION_DATE_FALLBACK,NAME:gie sesam vitale,NAME_FALLBACK,GIE SESAM Vitale,gie sesam vitale,,,NONE,72,Maintenance et acquisition d'équipements cryptographiques,72267100,72,722,7226,72267,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-03-11,True,DIGITAL_ICT,2026-07-13
21-41109,2021-03-26,2021-03-26,PUBLICATION_DATE_FALLBACK,NAME:ville de nantes,NAME_FALLBACK,Ville de Nantes,ville de nantes,,,NONE,44,prestation d'audio interprétariat multilingue pour l'accueil des personnes étrangères allophones par les services municipaux,,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2021-09-26,True,DIGITAL_ICT,2026-07-13
21-39936,2021-03-27,2021-06-30,LINKED_ATTRIBUTION_DATE,NAME:mairie de saint etienne de montluc,NAME_FALLBACK,Mairie de Saint Etienne de Montluc,mairie de saint etienne de montluc,,,NONE,44,"Fourniture, mise en oeuvre et maintenance d'un système de vidéo protection urbaine",32323500,32,323,3232,32323,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2024-06-30,True,DIGITAL_ICT,2026-07-13
21-31971,2021-03-10,2021-03-10,PUBLICATION_DATE_FALLBACK,NAME:communaute urbaine d alencon,NAME_FALLBACK,Communauté urbaine d'Alençon,communaute urbaine d alencon,,,NONE,61;72,"Numéro de la consultation : 2_2021010 Maintenance, prestations techniques et acquisition de matériel et de logiciels pour les composants télécoms du système d'information de la Communauté urbaine",50312300,50,503,5031,50312,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2024-03-10,True,DIGITAL_ICT,2026-07-13
21-38984,2021-03-23,2021-03-23,PUBLICATION_DATE_FALLBACK,NAME:sdis 44,NAME_FALLBACK,SDIS 44,sdis 44,,,NONE,44,Fourniture de tenues de protection chimique à ventilation assistée filtrée pour les besoins du service départemental d'incendie et de secours de Loire-Atlantique,35113410,35,351,3511,35113,False,48.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-03-23,True,DIGITAL_ICT,2026-07-13
21-42477,2021-03-30,2021-03-30,PUBLICATION_DATE_FALLBACK,NAME:ville de laval,NAME_FALLBACK,Ville de Laval,ville de laval,,,NONE,53,"Location maintenance de deux machines à affranchir le courrier avec pesée dynamique, logiciel associé et d'un ouvre lettres pour les collectivités : Ville de Laval et Laval Agglomération",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2021-09-30,True,DIGITAL_ICT,2026-07-13
21-29764,2021-03-05,2021-03-05,PUBLICATION_DATE_FALLBACK,NAME:montrevault-sur-evre,NAME_FALLBACK,MONTREVAULT-SUR-ÈVRE,montrevault-sur-evre,,,NONE,49,"Mise à disposition, hébergement et maintenance d'une plateforme numérique de participation des habitants",,,,,,False,6.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2021-09-05,True,DIGITAL_ICT,2026-07-13
21-28963,2021-03-05,2022-01-21,LINKED_ATTRIBUTION_DATE,NAME:ch le mans,NAME_FALLBACK,CH LE MANS,ch le mans,,,NONE,72,"Pièces, accessoires, maintenance pour appel malade, anti-fugue et DATI pour les établissements membres du GHT 72",32500000,32,325,3250,32500,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2025-01-21,True,DIGITAL_ICT,2026-07-13
21-29818,2021-03-07,2021-05-13,LINKED_ATTRIBUTION_DATE,SIRET:52926090300016,RAW_SIRET,SOC PUBLIQUE REG ABE DE FONTEVRAUD,soc publique reg abe de fontevraud,52926090300016,529260903,RAW_SIRET_FIELD,49,Fourniture De Materiel Technique Pour Le Parcours Nocturne Scenographie De L'Abbaye De Fontevraud,32342410,32,323,3234,32342,False,36.0,True,IMPUTED_MEDIAN_BY_CPV_DIVISION,2024-05-13,True,DIGITAL_ICT,2026-07-13
