notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
25-44864,NAME:formation numerique et bureautique,NAME_FALLBACK,2025-04-18,2025-04-18,2025-12-18,2026-07-13,80.0,80500.0,DIGITAL_ICT,True,8.0,False,0,14.816031537450723,,,,baseline_broad
25-37134,NAME:mte dgpr srn service central vigicrues,NAME_FALLBACK,2025-04-03,2025-04-03,2025-10-03,2026-07-13,32.0,32260.0,DIGITAL_ICT,True,6.0,False,0,15.30880420499343,,,,baseline_broad
25-39078,NAME:mairie de reze,NAME_FALLBACK,2025-04-07,2025-04-07,2026-04-07,2026-07-13,35.0,35111.0,DIGITAL_ICT,True,12.0,False,0,15.177398160315375,,,,baseline_broad
25-41441,NAME:ville de saint nazaire,NAME_FALLBACK,2025-04-13,2025-07-30,2025-11-30,2026-07-13,72.0,72243.0,DIGITAL_ICT,True,4.0,False,1,5.913272010512483,25-113300,0.3863777103516028,MEDIUM,baseline_broad
25-37048,SIRET:24850066200015,RAW_SIRET,2025-04-03,2025-04-03,2025-08-03,2026-07-13,30.0,30200.0,DIGITAL_ICT,True,4.0,False,0,15.30880420499343,,,,baseline_broad
25-37275,SIRET:13001044000019,RAW_SIRET,2025-04-04,2025-06-29,2025-12-29,2026-07-13,48.0,48952.0,DIGITAL_ICT,True,6.0,False,0,15.275952693823916,,,,baseline_broad
25-43777,NAME:universite du mans,NAME_FALLBACK,2025-04-16,2025-04-16,2025-08-16,2026-07-13,32.0,32321.0,DIGITAL_ICT,True,4.0,True,0,14.88173455978975,,,,baseline_broad
25-47444,SIRET:17440005100010,RAW_SIRET,2025-04-27,2025-04-27,2026-01-27,2026-07-13,33.0,33120.0,DIGITAL_ICT,True,9.0,False,1,8.508541392904073,26-2995,0.3300724999214365,POTENTIAL,baseline_broad
25-47175,NAME:departement de la sarthe,NAME_FALLBACK,2025-04-27,2025-10-08,2026-02-08,2026-07-13,45.0,45314.0,DIGITAL_ICT,True,4.0,False,0,14.520367936925098,,,,baseline_broad
25-36671,SIRET:25440253000011,RAW_SIRET,2025-04-03,2025-04-03,2025-05-03,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,1.0,False,1,1.3469119579500657,25-53540,0.4069602150997482,MEDIUM,baseline_broad
25-38470,SIRET:17440005100010,RAW_SIRET,2025-04-06,2025-06-18,2025-10-18,2026-07-13,72.0,72268.0,DIGITAL_ICT,True,4.0,False,1,6.5374507227332455,25-117061,0.4692485227036658,POTENTIAL,baseline_broad
25-39459,SIRET:19440100600011,RAW_SIRET,2025-04-09,2025-07-02,2025-11-02,2026-07-13,32.0,32323.0,DIGITAL_ICT,True,4.0,False,1,5.059132720105125,25-100139,0.31723954285095596,MEDIUM,baseline_broad
25-39819,NAME:commune de saint jean de monts 85,NAME_FALLBACK,2025-04-08,2025-04-08,2025-08-08,2026-07-13,30.0,30121.0,DIGITAL_ICT,True,4.0,True,0,15.14454664914586,,,,baseline_broad
25-44025,NAME:ville de carquefou,NAME_FALLBACK,2025-04-17,2025-04-17,2025-08-17,2026-07-13,32.0,32342.0,DIGITAL_ICT,True,4.0,True,1,2.0696452036793693,25-68958,0.6507178543802885,HIGH,baseline_broad
25-45972,SIRET:23440003400026,RAW_SIRET,2025-04-24,2025-04-24,2025-08-24,2026-07-13,72.0,72500.0,DIGITAL_ICT,True,4.0,False,1,0.9198423127463863,25-57091,0.8713315812527375,HIGH,baseline_broad
25-46089,NAME:communaute de communes chateaubriant derval 44,NAME_FALLBACK,2025-04-23,2025-04-23,2028-04-23,2026-07-13,34.0,34430.0,DIGITAL_ICT,True,36.0,False,0,14.651773981603153,,,,baseline_broad
25-38136,NAME:departement de maine-et-loire,NAME_FALLBACK,2025-04-04,2025-04-04,2025-08-04,2026-07-13,32.0,32353.0,DIGITAL_ICT,True,4.0,True,0,15.275952693823916,,,,baseline_broad
25-40327,NAME:ville de saint nazaire,NAME_FALLBACK,2025-04-10,2025-07-12,2025-12-12,2026-07-13,30.0,30230.0,DIGITAL_ICT,True,5.0,False,1,10.315374507227332,26-16633,0.5434228868542494,HIGH,baseline_broad
25-46078,SIRET:17440005100010,RAW_SIRET,2025-04-24,2025-04-24,2027-04-24,2026-07-13,72.0,72000.0,DIGITAL_ICT,True,24.0,False,0,14.61892247043364,,,,baseline_broad
25-37560,SIRET:21850128600015,RAW_SIRET,2025-04-04,2025-04-04,2025-08-04,2026-07-13,50.0,50312.0,DIGITAL_ICT,True,4.0,False,0,15.275952693823916,,,,baseline_broad
25-47868,NAME:geo vendee 85,NAME_FALLBACK,2025-04-28,2025-04-28,2026-04-28,2026-07-13,48.0,48612.0,DIGITAL_ICT,True,12.0,False,0,14.487516425755585,,,,baseline_broad
25-54937,NAME:conseil departemental de la mayenne,NAME_FALLBACK,2025-05-17,2025-10-30,2026-02-28,2026-07-13,72.0,72268.0,DIGITAL_ICT,True,4.0,False,1,9.00131406044678,26-15866,0.6515423438929653,POTENTIAL,baseline_broad
25-55756,NAME:departement de maine-et-loire,NAME_FALLBACK,2025-05-19,2025-05-19,2025-09-19,2026-07-13,30.0,30000.0,DIGITAL_ICT,True,4.0,True,0,13.797634691195794,,,,baseline_broad
25-49175,SIRET:23350001600040,RAW_SIRET,2025-05-02,2025-05-02,2025-10-02,2026-07-13,30.0,30200.0,DIGITAL_ICT,True,5.0,False,0,14.35611038107753,,,,baseline_broad
25-50360,NAME:region pays de la loire,NAME_FALLBACK,2025-05-05,2025-05-05,2026-05-05,2026-07-13,80.0,80530.0,DIGITAL_ICT,True,12.0,False,0,14.257555847568987,,,,baseline_broad
25-50686,NAME:ville de saint nazaire,NAME_FALLBACK,2025-05-07,2025-10-02,2026-03-02,2026-07-13,79.0,79132.0,DIGITAL_ICT,True,5.0,False,1,9.42838370565046,26-16633,0.3467602155653368,MEDIUM,baseline_broad
25-50885,NAME:mairie,NAME_FALLBACK,2025-05-05,2025-05-05,2029-05-05,2026-07-13,72.0,72413.0,DIGITAL_ICT,True,48.0,False,0,14.257555847568987,,,,baseline_broad
25-52714,SIRET:23440003400026,RAW_SIRET,2025-05-11,2025-05-11,2025-09-11,2026-07-13,72.0,72212.0,DIGITAL_ICT,True,4.0,False,1,5.683311432325887,25-121114,0.530397886339865,POTENTIAL,baseline_broad
25-53516,SIRET:80355563000018,RAW_SIRET,2025-05-14,2025-07-25,2025-11-25,2026-07-13,72.0,72000.0,DIGITAL_ICT,True,4.0,False,0,13.961892247043364,,,,baseline_broad
25-55152,NAME:conseil departemental loire atlantique,NAME_FALLBACK,2025-05-18,2025-11-07,2026-04-07,2026-07-13,30.0,30230.0,DIGITAL_ICT,True,5.0,False,1,11.629434954007884,26-45351,0.34692397635940025,POTENTIAL,baseline_broad
