notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,variant
20-97584,NAME:gie sesam vitale,NAME_FALLBACK,2020-07-31,2020-07-31,2024-07-31,2026-07-13,72,72700,DIGITAL_ICT,True,48.0,True,0,71.38633377135348,,,,strict
20-91196,NAME:espacil habitat,NAME_FALLBACK,2020-07-19,2020-07-19,2024-07-19,2026-07-13,72,72000,DIGITAL_ICT,True,48.0,True,0,71.78055190538765,,,,strict
20-86796,NAME:nantes metropole,NAME_FALLBACK,2020-07-07,2020-07-07,2024-07-07,2026-07-13,72,72316,DIGITAL_ICT,True,48.0,True,0,72.17477003942182,,,,strict
20-96618,NAME:ch le mans,NAME_FALLBACK,2020-07-29,2020-08-13,2024-08-13,2026-07-13,48,48611,DIGITAL_ICT,True,48.0,True,0,71.45203679369251,,,,strict
20-87505,NAME:commune de saint nazaire,NAME_FALLBACK,2020-07-08,2020-08-24,2021-02-24,2026-07-13,,,DIGITAL_ICT,True,6.0,True,0,72.1419185282523,,,,strict
20-88562,SIRET:45151864100035,RAW_SIRET,2020-07-11,2021-02-12,2024-02-12,2026-07-13,32,32523,DIGITAL_ICT,True,36.0,True,0,72.04336399474376,,,,strict
20-89169,NAME:caf de la sarthe,NAME_FALLBACK,2020-07-12,2020-07-12,2022-07-12,2026-07-13,30,30237,DIGITAL_ICT,True,24.0,True,0,72.01051248357425,,,,strict
20-101410,NAME:comsopgn,NAME_FALLBACK,2020-08-15,2020-08-15,2023-08-15,2026-07-13,32,32520,DIGITAL_ICT,True,36.0,True,0,70.89356110381078,,,,strict
20-106379,NAME:universite d angers,NAME_FALLBACK,2020-08-29,2020-10-24,2024-10-24,2026-07-13,48,48821,DIGITAL_ICT,True,48.0,True,0,70.43363994743758,,,,strict
20-98264,NAME:nantes metropole,NAME_FALLBACK,2020-08-05,2020-08-05,2024-08-05,2026-07-13,72,72224,DIGITAL_ICT,True,48.0,True,1,46.71484888304862,24-75502,0.4366162943495401,MEDIUM,strict
