source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
16-68672,17-19962,2016-05-12,2017-02-11,NAME:ecole centrale de nantes,NAME_FALLBACK,9.034165571616294,2016-11-12,2.9894875164257555,0.5017520805957074,0.12555973939285303,0.1,0.6,0.2593839289364254,True,False,2,3,0.14308480610715968
16-68672,16-92101,2016-05-12,2016-06-23,NAME:ecole centrale de nantes,NAME_FALLBACK,1.3797634691195795,2016-11-12,4.664914586070959,0.22251423565484008,0.010782756582974758,0.1,0.6,0.14940252371775117,True,False,3,3,0.14308480610715968
16-68875,17-13004,2016-05-12,2017-01-26,NAME:centre hospitalier de cholet,NAME_FALLBACK,8.508541392904073,2016-11-12,2.463863337713535,0.5893561103810776,0.14877518735815404,0.1,0.6,0.2894103431706233,True,False,1,1,0.2894103431706233
16-70203,17-15387,2016-05-17,2017-02-01,NAME:universite de nantes,NAME_FALLBACK,8.541392904073588,2017-01-27,0.164257555847569,0.9726237406920718,0.006106713193802637,0.0,0.6,0.3052932847908489,False,False,1,7,0.04781396289811579
16-70203,16-180522,2016-05-17,2016-12-18,NAME:universite de nantes,NAME_FALLBACK,7.063074901445466,2017-01-27,1.314060446780552,0.7809899255365746,0.006376687167398359,0.0,0.6,0.2574793218927331,False,True,2,7,0.04781396289811579
16-70203,16-132618,2016-05-17,2016-09-09,NAME:universite de nantes,NAME_FALLBACK,3.7779237844940865,2017-01-27,4.599211563731932,0.23346473937801138,0.12882591249734898,0.1,0.6,0.19345525421857498,True,False,3,7,0.04781396289811579
16-70203,17-60124,2016-05-17,2017-04-28,NAME:universite de nantes,NAME_FALLBACK,11.366622864651774,2017-01-27,2.9894875164257555,0.5017520805957074,0.005746502846312407,0.0,0.6,0.1874492961451362,False,True,4,7,0.04781396289811579
16-70203,17-74632,2016-05-17,2017-05-31,NAME:universite de nantes,NAME_FALLBACK,12.450722733245728,2017-01-27,4.073587385019711,0.32106876916338145,0.008640992184422505,0.0,0.6,0.14329153955539325,False,True,5,7,0.04781396289811579
16-70203,17-105380,2016-05-17,2017-07-21,NAME:universite de nantes,NAME_FALLBACK,14.126149802890932,2017-01-27,5.7490144546649145,0.04183092422251422,0.014403834236211745,0.1,0.6,0.10549907303830267,True,False,6,7,0.04781396289811579
16-70203,17-91590,2016-05-17,2017-06-28,NAME:universite de nantes,NAME_FALLBACK,13.370565045992116,2017-01-27,4.993429697766097,0.1677617170389838,0.0,0.0,0.6,0.10194042925974595,False,True,7,7,0.04781396289811579
16-70219,16-168154,2016-05-17,2016-11-21,NAME:angers loire metropole,NAME_FALLBACK,6.176084099868594,2016-11-17,0.1314060446780552,0.9780989925536575,0.01980382643002165,0.2,0.6,0.37145608738892194,False,False,1,7,0.09777931273813195
16-70219,16-178183,2016-05-17,2016-12-15,NAME:angers loire metropole,NAME_FALLBACK,6.964520367936925,2016-11-17,0.9198423127463863,0.8466929478756022,0.005724393376826896,0.0,0.6,0.27367677465079,False,False,2,7,0.09777931273813195
