source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,score_no_temporal,variant,threshold_used
15-145893,20-75569,2015-09-24,2020-06-14,NAME:crous de nantes,NAME_FALLBACK,56.6688567674113,2020-01-12,5.059132720105125,0.1568112133158125,0.195569908433853,0.2,0.6,0.2512659572691314,False,True,1,1,0.2276522712808016,0.2512659572691314,no_temporal_score_reference_pool,0.187116725139698
15-147732,16-78789,2015-09-28,2016-05-30,NAME:ecole des mines de nantes,NAME_FALLBACK,8.04862023653088,2016-03-28,2.0696452036793693,0.6550591327201052,0.3940989187085687,0.1,0.6,0.30391282873066544,True,False,1,3,0.088376150400068,0.30391282873066544,no_temporal_score_reference_pool,0.187116725139698
15-154566,20-4011,2015-10-12,2020-01-12,NAME:cnieg,NAME_FALLBACK,51.01839684625492,2020-02-02,0.6898817345597897,0.8850197109067017,0.2686998629169169,0.2,0.6,0.28539326936122794,False,False,1,3,0.0479469636081725,0.28539326936122794,no_temporal_score_reference_pool,0.187116725139698
15-155719,18-158087,2015-10-13,2018-11-15,NAME:sm megalis,NAME_FALLBACK,37.08935611038108,2018-10-13,1.0840998685939554,0.8193166885676741,0.660782947131069,1.0,0.6,0.7883653753278324,False,False,1,3,0.468444527208765,0.7883653753278324,no_temporal_score_reference_pool,0.187116725139698
15-159244,19-151382,2015-10-23,2019-10-09,NAME:nantes metropole,NAME_FALLBACK,47.53613666228647,2019-10-23,0.4599211563731931,0.9233464739378012,0.2292386608364031,1.0,0.6,0.5869780417236548,False,True,1,23,0.1543004905630163,0.5869780417236548,no_temporal_score_reference_pool,0.187116725139698
15-160539,16-37108,2015-10-28,2016-03-16,NAME:nantes metropole,NAME_FALLBACK,4.599211563731932,2016-04-28,1.4126149802890933,0.7645641699518178,0.2584922756337789,0.1,0.6,0.24062972862909687,True,False,1,23,0.0119701661884178,0.24062972862909687,no_temporal_score_reference_pool,0.187116725139698
15-162447,16-80903,2015-10-23,2016-06-03,NAME:nantes metropole,NAME_FALLBACK,7.35873850197109,2016-04-23,1.3469119579500657,0.775514673674989,0.2761297188990707,0.1,0.6,0.24886053548623302,True,False,1,22,0.0264264537327992,0.24886053548623302,no_temporal_score_reference_pool,0.187116725139698
15-162906,16-68875,2015-10-23,2016-05-12,NAME:centre hospitalier de cholet,NAME_FALLBACK,6.636005256241787,2016-04-23,0.6241787122207622,0.8959702146298729,0.1456907142819417,0.1,0.6,0.18798899999823948,True,False,1,2,0.0750031701209978,0.18798899999823948,no_temporal_score_reference_pool,0.187116725139698
15-164088,19-185562,2015-10-28,2019-12-12,NAME:commune de saint-herblain,NAME_FALLBACK,49.47437582128778,2019-10-28,1.4783180026281209,0.7536136662286466,0.2458610099327487,0.0,0.6,0.19473513796861608,False,False,1,2,0.1319632045473316,0.19473513796861608,no_temporal_score_reference_pool,0.187116725139698
15-164187,19-169855,2015-10-28,2019-11-12,NAME:gie sesam vitale,NAME_FALLBACK,48.48883048620236,2019-10-28,0.4927726675427069,0.9178712220762156,0.3561558634766728,0.2,0.6,0.32620606962244736,False,False,1,5,0.079524854983316,0.32620606962244736,no_temporal_score_reference_pool,0.187116725139698
15-165050,19-136955,2015-10-29,2019-09-10,NAME:angers loire metropole,NAME_FALLBACK,46.38633377135348,2019-10-29,1.609724047306176,0.731712658782304,0.8644788775438546,1.0,0.6,0.8834234761871322,False,False,1,7,0.4883112637770684,0.8834234761871322,no_temporal_score_reference_pool,0.187116725139698
15-170544,16-18733,2015-11-17,2016-02-08,NAME:ccrla,NAME_FALLBACK,2.726675427069645,2016-05-17,3.252299605781866,0.4579500657030223,0.3301450132574935,0.1,0.6,0.274067672853497,True,False,1,1,0.3200382710658783,0.274067672853497,no_temporal_score_reference_pool,0.187116725139698
15-173090,20-31844,2015-11-16,2020-03-04,NAME:universite de nantes,NAME_FALLBACK,51.57687253613666,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.24000000000000005,False,False,1,4,0.0791476145585703,0.24000000000000005,no_temporal_score_reference_pool,0.187116725139698
15-174358,20-31844,2015-11-17,2020-03-04,NAME:universite de nantes,NAME_FALLBACK,51.54402102496714,2020-01-28,1.1826544021024967,0.8028909329829172,0.0,0.4,0.6,0.24000000000000005,False,False,1,4,0.0873636227994481,0.24000000000000005,no_temporal_score_reference_pool,0.187116725139698
