source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-69497,19-85688,NAME:angers loire metropole,NAME_FALLBACK,2015-05-06,2019-06-05,48.98160315374507,2019-05-06,0.985545335085414,0.835742444152431,0.0637836338216469,0.4,0.6,0.4112598828756841,False,False,1,0.0464102806653354,8,strict,0.39308340344166265
15-71156,20-47300,SIRET:19490970100303,RAW_SIRET,2015-05-07,2020-04-02,58.86990801576872,2019-10-20,5.4204993429697765,0.0965834428383706,0.7081800606826032,1.0,1.0,0.6720088819485037,False,False,1,0.6720088819485037,1,strict,0.39308340344166265
15-71764,16-136139,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-05-11,2016-09-19,16.327201051248355,2016-10-28,1.281208935611038,0.7864651773981604,0.4234277207133438,0.0,0.6,0.4048159965992103,False,False,1,0.0511482108454887,12,strict,0.39308340344166265
15-75567,19-105083,NAME:nantes metropole,NAME_FALLBACK,2015-05-19,2019-07-10,49.70433639947437,2019-05-19,1.7082785808147174,0.7152869031975471,0.7708850521667896,1.0,0.6,0.808631494057763,False,True,1,0.201222094792997,18,strict,0.39308340344166265
15-86342,16-63741,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-06-05,2016-05-05,11.00525624178712,2016-06-21,1.5440210249671484,0.7426631625054753,0.2261757144067321,1.0,0.6,0.6248272906687251,False,False,1,0.363403356398431,10,strict,0.39308340344166265
15-89263,19-75795,NAME:vendee eau,NAME_FALLBACK,2015-06-12,2019-05-15,47.07621550591327,2019-07-23,2.266754270696452,0.6222076215505914,0.1873078798907785,0.4,0.6,0.4011096633494203,False,False,1,0.4011096633494203,1,strict,0.39308340344166265
15-96106,20-4011,NAME:cnieg,NAME_FALLBACK,2015-06-24,2020-01-12,54.632063074901446,2019-08-07,5.19053876478318,0.13491020586947,0.1450564521793789,1.0,0.6,0.4444973097301501,False,False,1,0.1091389927873534,3,strict,0.39308340344166265
15-96870,19-136955,NAME:angers loire metropole,NAME_FALLBACK,2015-06-25,2019-09-10,50.52562417871222,2019-06-25,2.5295663600525624,0.5784056066579062,0.0,1.0,0.6,0.5046014016644765,False,False,1,0.1593931728139729,9,strict,0.39308340344166265
15-98729,15-170834,NAME:spr pays de la loire,NAME_FALLBACK,2015-06-26,2015-11-12,4.566360052562418,2015-12-26,1.445466491458607,0.7590889180902322,0.5071934548130068,0.1,0.6,0.4572899387071104,True,False,1,0.1738392466053438,4,strict,0.39308340344166265
16-102715,19-69736,NAME:nantes metropole,NAME_FALLBACK,2016-07-11,2019-05-05,33.77135348226018,2019-07-11,2.2010512483574245,0.6331581252737626,0.2931357972167832,1.0,0.6,0.6208870603443148,False,False,1,0.3060354646725343,17,strict,0.39308340344166265
16-103833,20-49949,NAME:nantes metropole,NAME_FALLBACK,2016-07-13,2020-04-30,45.56504599211564,2020-07-13,2.431011826544021,0.5948313622426631,0.4458702210363696,0.4,0.6,0.4847624179233951,False,False,1,0.1150931924987451,22,strict,0.39308340344166265
16-106116,16-165866,NAME:ville d orvault,NAME_FALLBACK,2016-07-13,2016-11-16,4.139290407358739,2017-01-13,1.9053876478318,0.6824353920280333,0.7525816368728678,0.1,0.6,0.524012420912512,True,False,1,0.0816271918781563,8,strict,0.39308340344166265
16-109275,17-46886,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,2016-07-22,2017-04-06,8.47568988173456,2017-01-22,2.431011826544021,0.5948313622426631,0.6704804032736493,0.1,0.6,0.473375981706443,True,False,1,0.0966933988019619,3,strict,0.39308340344166265
16-124376,21-35651,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2016-08-23,2021-03-19,54.82917214191853,2020-12-20,2.923784494086728,0.5127025843188786,0.2744994737957507,0.4,0.6,0.4042504619082324,False,False,1,0.0203386904515882,7,strict,0.39308340344166265
16-128161,21-7561,NAME:nantes metropole,NAME_FALLBACK,2016-09-09,2021-01-18,52.29960578186597,2020-09-09,4.303547963206308,0.282742006132282,0.7318807754060992,1.0,0.6,0.6868437729252053,False,False,1,0.1694240254075805,17,strict,0.39308340344166265
16-128870,21-26465,NAME:chu de nantes,NAME_FALLBACK,2016-09-05,2021-02-27,53.745072273324574,2021-02-02,0.8212877792378449,0.8631187034603591,0.2125555253571742,1.0,0.6,0.6501741097401008,False,False,1,0.12664610639019,9,strict,0.39308340344166265
16-130215,20-155309,SIRET:22850001300658,RAW_SIRET,2016-09-08,2020-12-20,51.37976346911957,2021-03-04,2.431011826544021,0.5948313622426631,0.6544952866829984,1.0,1.0,0.7777811908997152,False,False,1,0.0710233679455247,3,strict,0.39308340344166265
16-136139,21-35651,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2016-09-19,2021-03-19,53.942181340341655,2021-04-05,0.5584756898817346,0.9069207183530442,0.8266876696411269,0.4,0.6,0.6960708639626554,False,False,1,0.3158585664496315,9,strict,0.39308340344166265
16-139147,21-91773,NAME:gie sesam vitale,NAME_FALLBACK,2016-09-25,2021-07-04,57.26018396846255,2021-07-05,0.0328515111695138,0.9945247481384144,0.3372045781737242,1.0,0.6,0.7266527893954071,False,False,1,0.339330151078493,5,strict,0.39308340344166265
16-139674,20-150503,SIRET:22720002900014,RAW_SIRET,2016-09-26,2020-12-11,50.4927726675427,2021-01-20,1.314060446780552,0.7809899255365746,0.6552610243971904,0.0,1.0,0.5245888399231603,False,False,1,0.2216569004001504,3,strict,0.39308340344166265
16-141250,16-177041,NAME:centre hospitalier le faouet,NAME_FALLBACK,2016-10-24,2016-12-09,1.5111695137976346,2017-04-24,4.467805519053877,0.2553657468243538,0.8089038417060834,0.1,0.6,0.4369577813032176,True,False,1,0.4369577813032176,1,strict,0.39308340344166265
16-14558,20-13447,NAME:inra angers nantes,NAME_FALLBACK,2016-02-02,2020-01-28,47.83180026281209,2020-07-08,5.321944809461235,0.1130091984231275,0.8000769330090166,1.0,0.6,0.6682792261589376,False,False,1,0.6682792261589376,1,strict,0.39308340344166265
16-148980,21-86403,NAME:departement de la vendee,NAME_FALLBACK,2016-10-13,2021-06-23,56.30749014454665,2021-03-02,3.712220762155059,0.3812965396408235,0.5862189467997165,0.2,0.6,0.4205007662901066,False,False,1,0.2082266104236824,2,strict,0.39308340344166265
16-16005,16-106116,NAME:ville d orvault,NAME_FALLBACK,2016-02-03,2016-07-13,5.289093298291721,2016-08-03,0.6898817345597897,0.8850197109067017,0.2896682584055642,0.1,0.6,0.4126388181686229,True,False,1,0.0567177941392391,7,strict,0.39308340344166265
16-170680,20-118996,NAME:chu de nantes,NAME_FALLBACK,2016-11-25,2020-10-01,46.1892247043364,2020-11-25,1.8068331143232588,0.6988611476127902,0.0346886508794372,0.6,0.6,0.4268563147110005,False,False,1,0.0546765939922478,10,strict,0.39308340344166265
16-182034,21-38984,NAME:sdis 44,NAME_FALLBACK,2016-12-22,2021-03-23,50.98554533508541,2021-04-09,0.5584756898817346,0.9069207183530442,0.0062320694384734,0.6,0.6,0.4689114038917267,False,False,1,0.1884470027556925,2,strict,0.39308340344166265
16-183156,21-88219,SIRET:22720002900014,RAW_SIRET,2016-12-23,2021-06-30,54.204993429697765,2021-04-28,2.0696452036793693,0.6550591327201052,0.1210403931670246,0.4,1.0,0.4261289207884849,False,False,1,0.1439235462513173,4,strict,0.39308340344166265
16-183461,17-155110,NAME:commune de nantes,NAME_FALLBACK,2016-12-22,2017-11-03,10.38107752956636,2017-12-22,1.609724047306176,0.731712658782304,0.7581088251319217,0.1,0.6,0.5382662534917485,True,False,1,0.3165948269242699,2,strict,0.39308340344166265
16-20762,20-65753,SIRET:23440003400026,RAW_SIRET,2016-02-11,2020-05-20,51.24835742444152,2020-07-14,1.8068331143232588,0.6988611476127902,0.6466803941803279,1.0,1.0,0.8010534248663123,False,False,1,0.3648479562726762,9,strict,0.39308340344166265
16-30963,20-70265,SIRET:22850001300658,RAW_SIRET,2016-03-03,2020-05-31,50.91984231274638,2020-06-18,0.5913272010512484,0.9014454664914586,0.8428459890164385,1.0,1.0,0.920357462778618,False,False,1,0.5881520313287714,12,strict,0.39308340344166265
16-32977,20-52846,NAME:sdis de la mayenne,NAME_FALLBACK,2016-03-08,2020-04-17,49.31011826544021,2020-03-08,1.314060446780552,0.7809899255365746,0.2205391935074646,0.6,0.6,0.5124361991117563,False,False,1,0.5124361991117563,1,strict,0.39308340344166265
