source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
18-9145,20-70265,2018-01-21,2020-05-31,SIRET:22850001300658,RAW_SIRET,28.28515111695138,2020-05-27,0.1314060446780552,0.9890494962768287,0.022243417875082945,0.0,1.0,0.3550475703254862,False,False,1,15,0.003196737054544263,window_12m,0.3441998756369461
18-92681,19-5147,2018-07-03,2019-01-11,NAME:ville de bouguenais,NAME_FALLBACK,6.307490144546649,2019-10-09,8.902759526938238,0.25810337275514683,0.834879834689797,1.0,0.6,0.7167337853302156,False,False,1,3,0.41977411692238,window_12m,0.3441998756369461
19-100667,19-113409,2019-07-01,2019-07-19,NAME:communaute d agglomeration du niortais,NAME_FALLBACK,0.5913272010512484,2020-01-01,5.45335085413929,0.5455540954883924,0.999999999999999,0.1,0.6,0.5763885238720978,True,False,1,3,0.2312501768904524,window_12m,0.3441998756369461
19-10189,20-39206,2019-01-21,2020-03-16,NAME:ctre hosp universitaire angers,NAME_FALLBACK,13.797634691195794,2020-01-21,1.8068331143232588,0.8494305738063951,0.21387766364799654,0.0,0.6,0.34721482572839757,False,False,1,13,0.000684406482698241,window_12m,0.3441998756369461
19-101998,21-60810,2019-07-04,2021-05-05,NAME:mairie de coueron,NAME_FALLBACK,22.043363994743757,2022-01-24,8.672798948751643,0.27726675427069647,0.8061572482716887,0.0,0.6,0.41147172546276517,False,False,1,2,0.016972496267277815,window_12m,0.3441998756369461
19-103253,21-156687,2019-07-06,2021-11-28,NAME:communaute de cnes terres de montaigu,NAME_FALLBACK,28.777923784494085,2022-01-11,1.445466491458607,0.879544459045116,0.25442876032649997,0.0,0.6,0.36893618087555397,False,False,1,1,0.36893618087555397,window_12m,0.3441998756369461
19-103897,23-168051,2019-07-07,2023-12-01,SIRET:22530001100015,RAW_SIRET,52.825229960578184,2023-10-31,1.0183968462549278,0.9151335961454227,0.2034917076524147,0.2,1.0,0.4600054967147008,False,False,1,5,0.09642437482081512,window_12m,0.3441998756369461
19-10428,23-87983,2019-01-23,2023-06-25,SIRET:22850001300658,RAW_SIRET,53.022339027595265,2023-06-09,0.5256241787122208,0.9561979851073149,0.0633741263860227,0.0,1.0,0.36123044051193665,False,False,1,7,0.03478316395829251,window_12m,0.3441998756369461
19-105083,23-125766,2019-07-10,2023-09-24,NAME:nantes metropole,NAME_FALLBACK,50.4927726675427,2023-07-10,2.4967148488830486,0.791940429259746,0.026772183524473667,1.0,0.6,0.5673553715485022,False,True,1,26,0.005767630819684788,window_12m,0.3441998756369461
19-105444,23-117420,2019-07-10,2023-08-24,SIRET:24720013200014,RAW_SIRET,49.47437582128778,2023-11-10,2.562417871222076,0.7864651773981604,0.03984684069882129,0.2,1.0,0.37056268859412755,False,False,1,9,0.023750081737502815,window_12m,0.3441998756369461
19-106149,19-147471,2019-07-09,2019-09-30,NAME:universite d angers,NAME_FALLBACK,2.726675427069645,2020-03-23,5.7490144546649145,0.520915462111257,1.0,0.1,0.6,0.5702288655278143,True,False,1,8,0.2915044599739335,window_12m,0.3441998756369461
19-107821,23-8217,2019-07-12,2023-01-19,NAME:sdis49,NAME_FALLBACK,42.27989487516425,2022-10-30,2.6609724047306176,0.7782522996057819,0.10543534498743701,0.2,0.6,0.35146544564704846,False,False,1,7,0.058468318420270615,window_12m,0.3441998756369461
19-108933,19-117328,2019-07-12,2019-07-26,NAME:ctre hosp universitaire angers,NAME_FALLBACK,0.45992115637319314,2020-01-12,5.5847568988173455,0.5346035917652212,1.0,0.1,0.6,0.5736508979413053,True,True,1,6,0.21014317737335325,window_12m,0.3441998756369461
19-11075,19-16795,2019-01-22,2019-01-31,NAME:angers loire metropole,NAME_FALLBACK,0.2956636005256242,2020-01-22,11.695137976346912,0.025405168637757325,0.9999999999999998,0.1,0.6,0.4463512921594392,True,False,1,14,0.14018146732111342,window_12m,0.3441998756369461
19-11185,19-124888,2019-01-23,2019-08-13,NAME:departement de maine-et-loire,NAME_FALLBACK,6.636005256241787,2019-07-23,0.6898817345597897,0.9425098554533509,0.9632552226719852,1.0,0.6,0.9327667917985325,False,False,1,6,0.6620234101082547,window_12m,0.3441998756369461
19-112153,20-130533,2019-07-18,2020-10-23,NAME:communaute urbaine d alencon,NAME_FALLBACK,15.210249671484888,2020-01-18,9.165571616294349,0.23620236530880423,0.953939928377901,0.1,0.6,0.4829295662594663,True,False,1,2,0.15950038376860953,window_12m,0.3441998756369461
19-112156,20-130599,2019-07-18,2020-10-23,NAME:ville d alencon,NAME_FALLBACK,15.210249671484888,2020-01-18,9.165571616294349,0.23620236530880423,0.9802799671359577,0.1,0.6,0.49214857982478616,True,False,1,1,0.49214857982478616,window_12m,0.3441998756369461
19-112517,23-140591,2019-07-20,2023-10-11,SIRET:13001855900018,RAW_SIRET,50.7227332457293,2022-10-11,11.990801576872535,0.0007665352606220921,0.9999999999999997,0.4,1.0,0.5701916338151554,False,False,1,1,0.5701916338151554,window_12m,0.3441998756369461
19-113409,20-37796,2019-07-19,2020-03-12,NAME:communaute d agglomeration du niortais,NAME_FALLBACK,7.7858081471747695,2020-01-19,1.7411300919842312,0.8549058256679807,0.15351773500919402,0.1,0.6,0.3574576636702131,True,False,1,2,0.16683695977648585,window_12m,0.3441998756369461
19-117328,23-96123,2019-07-26,2023-07-09,NAME:ctre hosp universitaire angers,NAME_FALLBACK,47.43758212877792,2023-07-26,0.5584756898817346,0.9534603591765222,0.2654194370519468,0.0,0.6,0.39126189276231194,False,True,1,4,0.07669881786086646,window_12m,0.3441998756369461
19-117771,23-8217,2019-07-29,2023-01-19,NAME:sdis49,NAME_FALLBACK,41.72141918528252,2022-11-19,2.0039421813403417,0.8330048182216382,0.09236242687668098,0.2,0.6,0.3605780539622479,False,False,1,7,0.052997843215899454,window_12m,0.3441998756369461
19-119269,23-34705,2019-08-02,2023-03-17,NAME:nantes metropole,NAME_FALLBACK,43.46254927726675,2023-08-02,4.533508541392904,0.6222076215505914,0.2942094521106104,0.4,0.6,0.4385252136263615,False,False,1,24,0.007959161147243154,window_12m,0.3441998756369461
19-123920,20-26585,2019-08-09,2020-02-23,NAME:nantes metropole,NAME_FALLBACK,6.504599211563732,2020-02-09,0.45992115637319314,0.9616732369689006,0.1626113604476301,0.1,0.6,0.3873322853988957,True,False,1,30,0.0003126081663675784,window_12m,0.3441998756369461
19-128681,23-134735,2019-08-24,2023-09-29,SIRET:23440003400026,RAW_SIRET,49.17871222076215,2024-02-12,4.467805519053877,0.6276828734121769,0.009965609672164887,1.0,1.0,0.5604086817383019,False,True,1,16,0.0975868938806429,window_12m,0.3441998756369461
19-129278,21-115415,2019-08-23,2021-08-25,NAME:conseil regional des pays de la loire,NAME_FALLBACK,24.080157687253614,2022-01-21,4.894875164257556,0.5920937363118703,0.8453260931535734,0.2,0.6,0.5638875666817182,False,True,1,15,0.20057438392040927,window_12m,0.3441998756369461
19-131092,23-117688,2019-08-30,2023-08-24,NAME:sdis 44,NAME_FALLBACK,47.79894875164258,2024-01-05,4.402102496714849,0.6331581252737626,0.04003770970550813,0.6,0.6,0.41230272971536847,False,False,1,2,0.09526151386703058,window_12m,0.3441998756369461
19-131225,23-117688,2019-08-29,2023-08-24,NAME:sdis 44,NAME_FALLBACK,47.83180026281209,2023-08-29,0.164257555847569,0.986311870346036,0.05160217188695329,0.6,0.6,0.5046387277469426,False,False,1,3,0.2280918686809349,window_12m,0.3441998756369461
19-131601,23-117688,2019-08-29,2023-08-24,NAME:sdis 44,NAME_FALLBACK,47.83180026281209,2023-08-29,0.164257555847569,0.986311870346036,0.046614057248859087,0.6,0.6,0.5028928876236096,False,False,1,3,0.21016648631710422,window_12m,0.3441998756369461
19-13728,19-98987,2019-01-25,2019-06-29,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,5.091984231274639,2019-07-25,0.8541392904073587,0.9288217257993868,0.15249624039484977,0.1,0.6,0.37557911558804413,True,False,1,10,0.06127349063581072,window_12m,0.3441998756369461
19-142286,20-29244,2019-09-19,2020-02-27,NAME:commune de nantes,NAME_FALLBACK,5.289093298291721,2020-03-19,0.6898817345597897,0.9425098554533509,0.10940785335866783,0.1,0.6,0.36392021253887147,True,False,1,13,0.005213390217966074,window_12m,0.3441998756369461
19-143955,22-40744,2019-09-24,2022-03-20,SIRET:23440003400026,RAW_SIRET,29.829172141918527,2022-09-24,6.176084099868594,0.4853263250109505,0.36754295502390755,0.0,1.0,0.3499716155111053,False,True,1,22,0.022594879102451393,window_12m,0.3441998756369461
19-144868,24-57038,2019-09-26,2024-05-17,SIRET:22850001300658,RAW_SIRET,55.68331143232589,2024-05-12,0.164257555847569,0.986311870346036,0.049402925760786684,0.1,1.0,0.3938689916027843,True,False,1,4,0.02053219448094612,window_12m,0.3441998756369461
19-146419,23-56040,2019-09-28,2023-04-26,SIRET:22720002900014,RAW_SIRET,42.90407358738502,2023-02-12,2.3981603153745072,0.8001533070521244,0.21502746253071678,0.0,1.0,0.3752979386487819,False,False,1,8,0.046342661311577826,window_12m,0.3441998756369461
19-147943,23-160148,2019-10-02,2023-11-17,SIRET:23440003400026,RAW_SIRET,49.50722733245729,2024-01-23,2.2010512483574245,0.8165790626368813,1.0000000000000002,0.2,1.0,0.7141447656592204,False,False,1,17,0.258178718945662,window_12m,0.3441998756369461
19-148074,20-8243,2019-10-01,2020-01-17,NAME:oti du pays de st gilles croix de vie,NAME_FALLBACK,3.54796320630749,2020-10-01,8.47568988173456,0.29369250985545337,0.6138320565000538,1.0,0.6,0.6482643472388823,False,False,1,2,0.1335600688851999,window_12m,0.3441998756369461
19-151382,22-153504,2019-10-09,2022-11-20,NAME:nantes metropole,NAME_FALLBACK,37.3850197109067,2023-10-09,10.611038107752956,0.11574682435392036,0.9399530225474739,1.0,0.6,0.7179202639800959,False,True,1,20,0.06410176733048734,window_12m,0.3441998756369461
