source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-71764,16-136139,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-05-11,2016-09-19,16.327201051248355,2016-10-28,1.281208935611038,0.7864651773981604,0.4234277207133438,0.0,0.6,0.4048159965992103,False,False,1,0.0511482108454887,12,balanced,0.32302169365652333
15-75102,18-128642,NAME:sdis 85,NAME_FALLBACK,2015-05-18,2018-09-14,39.91458607095926,2018-09-10,0.1314060446780552,0.9780989925536576,0.2414729554934504,0.0,0.6,0.389040282561122,False,False,1,0.389040282561122,1,balanced,0.32302169365652333
15-75567,19-105083,NAME:nantes metropole,NAME_FALLBACK,2015-05-19,2019-07-10,49.70433639947437,2019-05-19,1.7082785808147174,0.7152869031975471,0.7708850521667896,1.0,0.6,0.808631494057763,False,True,1,0.201222094792997,18,balanced,0.32302169365652333
15-81386,19-87510,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,2015-05-28,2019-06-06,48.29172141918528,2019-05-28,0.2956636005256242,0.9507227332457292,0.0365451584679641,0.2,0.6,0.3704714887752198,False,False,1,0.1151221698127393,3,balanced,0.32302169365652333
15-81652,16-7903,NAME:ecole des mines de nantes,NAME_FALLBACK,2015-05-29,2016-01-19,7.720105124835742,2015-11-29,1.6754270696452036,0.7207621550591328,0.3107744413984599,0.1,0.6,0.3789615932542441,True,False,1,0.010276167872933,4,balanced,0.32302169365652333
15-82604,19-46630,NAME:ch le mans,NAME_FALLBACK,2015-06-01,2019-03-25,45.76215505913272,2019-06-01,2.2339027595269383,0.6276828734121769,0.0400292556497867,0.4,0.6,0.3509309578304695,False,False,1,0.0767249306706634,9,balanced,0.32302169365652333
15-84820,19-189603,NAME:nantes metropole,NAME_FALLBACK,2015-06-04,2019-12-22,54.59921156373193,2019-12-14,0.2628120893561104,0.9561979851073148,0.2273235268710293,0.0,0.6,0.378612730681689,False,False,1,0.0412080250652341,22,balanced,0.32302169365652333
15-84881,19-189603,NAME:nantes metropole,NAME_FALLBACK,2015-06-04,2019-12-22,54.59921156373193,2019-12-14,0.2628120893561104,0.9561979851073148,0.2339453312673685,0.0,0.6,0.3809303622204077,False,False,1,0.0430007045703647,22,balanced,0.32302169365652333
15-86193,15-190662,NAME:ville de nantes,NAME_FALLBACK,2015-06-05,2015-12-22,6.570302233902759,2015-12-05,0.5584756898817346,0.9069207183530442,0.0505902078776444,0.1,0.6,0.3344367523454365,True,False,1,0.0343891760814689,8,balanced,0.32302169365652333
15-86342,16-63741,NAME:conseil general de loire-atlantique,NAME_FALLBACK,2015-06-05,2016-05-05,11.00525624178712,2016-06-21,1.5440210249671484,0.7426631625054753,0.2261757144067321,1.0,0.6,0.6248272906687251,False,False,1,0.363403356398431,10,balanced,0.32302169365652333
15-89263,19-75795,NAME:vendee eau,NAME_FALLBACK,2015-06-12,2019-05-15,47.07621550591327,2019-07-23,2.266754270696452,0.6222076215505914,0.1873078798907785,0.4,0.6,0.4011096633494203,False,False,1,0.4011096633494203,1,balanced,0.32302169365652333
15-89902,15-192356,NAME:nantes metropole,NAME_FALLBACK,2015-06-11,2015-12-24,6.438896189224704,2015-12-11,0.4270696452036793,0.9288217257993868,0.1604245359750827,0.1,0.6,0.3783540190411256,True,False,1,0.0354402436129755,19,balanced,0.32302169365652333
15-92588,19-147943,SIRET:23440003400026,RAW_SIRET,2015-06-17,2019-10-02,51.51116951379763,2019-10-21,0.6241787122207622,0.8959702146298729,0.0109436264674983,0.2,1.0,0.3878228229210927,False,False,1,0.0531686540311423,9,balanced,0.32302169365652333
15-95813,19-185562,NAME:commune de saint-herblain,NAME_FALLBACK,2015-06-23,2019-12-12,53.64651773981603,2019-10-26,1.5440210249671484,0.7426631625054753,0.296412662214055,0.0,0.6,0.3494102224012881,False,False,1,0.1344837854901363,2,balanced,0.32302169365652333
15-96106,20-4011,NAME:cnieg,NAME_FALLBACK,2015-06-24,2020-01-12,54.632063074901446,2019-08-07,5.19053876478318,0.13491020586947,0.1450564521793789,1.0,0.6,0.4444973097301501,False,False,1,0.1091389927873534,3,balanced,0.32302169365652333
15-96870,19-136955,NAME:angers loire metropole,NAME_FALLBACK,2015-06-25,2019-09-10,50.52562417871222,2019-06-25,2.5295663600525624,0.5784056066579062,0.0,1.0,0.6,0.5046014016644765,False,False,1,0.1593931728139729,9,balanced,0.32302169365652333
15-97256,15-190662,NAME:ville de nantes,NAME_FALLBACK,2015-06-25,2015-12-22,5.913272010512483,2015-12-25,0.0985545335085413,0.9835742444152432,0.0219032874066189,0.1,0.6,0.3435597116961274,True,False,1,0.0126877371421433,7,balanced,0.32302169365652333
15-98729,15-170834,NAME:spr pays de la loire,NAME_FALLBACK,2015-06-26,2015-11-12,4.566360052562418,2015-12-26,1.445466491458607,0.7590889180902322,0.5071934548130068,0.1,0.6,0.4572899387071104,True,False,1,0.1738392466053438,4,balanced,0.32302169365652333
16-102715,19-69736,NAME:nantes metropole,NAME_FALLBACK,2016-07-11,2019-05-05,33.77135348226018,2019-07-11,2.2010512483574245,0.6331581252737626,0.2931357972167832,1.0,0.6,0.6208870603443148,False,False,1,0.3060354646725343,17,balanced,0.32302169365652333
16-103833,20-49949,NAME:nantes metropole,NAME_FALLBACK,2016-07-13,2020-04-30,45.56504599211564,2020-07-13,2.431011826544021,0.5948313622426631,0.4458702210363696,0.4,0.6,0.4847624179233951,False,False,1,0.1150931924987451,22,balanced,0.32302169365652333
16-106116,16-165866,NAME:ville d orvault,NAME_FALLBACK,2016-07-13,2016-11-16,4.139290407358739,2017-01-13,1.9053876478318,0.6824353920280333,0.7525816368728678,0.1,0.6,0.524012420912512,True,False,1,0.0816271918781563,8,balanced,0.32302169365652333
16-106204,20-35694,NAME:universite de nantes,NAME_FALLBACK,2016-07-15,2020-03-09,43.79106438896189,2019-12-25,2.463863337713535,0.5893561103810776,0.2733462597715289,0.1,0.6,0.3330102185153045,True,False,1,0.0094230943730089,3,balanced,0.32302169365652333
