source_notice_id,candidate_notice_id,buyer_key,buyer_key_type,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,variant,threshold_used
15-115319,18-28408,NAME:conseil regional des pays de la loire,NAME_FALLBACK,2015-07-27,2018-02-28,31.110381077529563,2018-02-19,0.2956636005256242,0.9507227332457292,0.0043862980495559,0.1,0.6,0.3292158876287769,True,False,1,0.0392244882144496,13,broad,0.26420166983556403
15-115988,18-25585,NAME:angers loire metropole,NAME_FALLBACK,2015-07-27,2018-02-22,30.913272010512483,2018-07-27,5.091984231274639,0.1513359614542269,0.0125245955698231,0.8,0.6,0.3422175988129948,False,False,1,0.0374580256336162,9,broad,0.26420166983556403
15-115991,20-8882,NAME:ville d angers,NAME_FALLBACK,2015-07-27,2020-01-20,53.8107752956636,2020-03-31,2.33245729303548,0.61125711782742,0.4259024485474593,1.0,0.6,0.6618801364484657,False,False,1,0.6618801364484657,1,broad,0.26420166983556403
15-118979,19-130357,NAME:departement de la sarthe,NAME_FALLBACK,2015-07-30,2019-08-27,48.91590013140604,2019-07-30,0.9198423127463864,0.8466929478756022,0.6503475598029482,0.1,0.6,0.5292948828999324,True,False,1,0.0018219278510775,10,broad,0.26420166983556403
15-121163,16-3447,NAME:centre hospitalier loire vendee ocean,NAME_FALLBACK,2015-08-04,2016-01-11,5.256241787122208,2016-02-04,0.7884362680683311,0.8685939553219448,0.0141279446949753,0.1,0.6,0.3120932694737275,True,False,1,0.3120932694737275,1,broad,0.26420166983556403
15-126308,16-10649,NAME:sdis 44,NAME_FALLBACK,2015-08-13,2016-01-25,5.4204993429697765,2016-02-13,0.6241787122207622,0.8959702146298729,0.4495185967466124,0.0,0.6,0.4413240625187826,False,False,1,0.4413240625187826,1,broad,0.26420166983556403
15-129133,16-97484,NAME:sdis 49,NAME_FALLBACK,2015-08-24,2016-07-04,10.348226018396844,2016-05-10,1.8068331143232588,0.6988611476127902,0.0662109221808181,0.1,0.6,0.2878891096664839,True,False,1,0.1726776269023353,2,broad,0.26420166983556403
15-136102,18-158087,NAME:sm megalis,NAME_FALLBACK,2015-09-07,2018-11-15,38.272010512483575,2018-09-07,2.266754270696452,0.6222076215505914,0.694326259868366,1.0,0.6,0.7585660963415759,False,False,1,0.4088007057648526,3,broad,0.26420166983556403
15-136371,20-52846,NAME:sdis de la mayenne,NAME_FALLBACK,2015-09-07,2020-04-17,55.32194480946124,2020-02-22,1.8068331143232588,0.6988611476127902,0.0497458117106305,0.2,0.6,0.3121263210019182,False,False,1,0.3121263210019182,1,broad,0.26420166983556403
15-137458,18-158087,NAME:sm megalis,NAME_FALLBACK,2015-09-09,2018-11-15,38.20630749014455,2018-09-09,2.2010512483574245,0.6331581252737626,0.3652955712064892,1.0,0.6,0.6461429812407118,False,False,1,0.3059260407060882,3,broad,0.26420166983556403
15-139094,19-141668,NAME:sdis 85,NAME_FALLBACK,2015-09-10,2019-09-19,48.29172141918528,2019-12-07,2.59526938239159,0.567455102934735,0.1336336684917838,0.6,0.6,0.4286355597058081,False,False,1,0.0779774923971011,3,broad,0.26420166983556403
15-139179,16-68672,NAME:ecole centrale de nantes,NAME_FALLBACK,2015-09-10,2016-05-12,8.04862023653088,2016-03-10,2.0696452036793693,0.6550591327201052,0.2979312114757571,0.1,0.6,0.3580407071965413,True,False,1,0.0407126195685054,4,broad,0.26420166983556403
15-139462,19-146419,SIRET:22720002900014,RAW_SIRET,2015-09-11,2019-09-28,48.55453350854139,2019-12-29,3.0223390275952693,0.4962768287341218,0.2104402959182018,0.0,1.0,0.2977233107549011,False,False,1,0.2977233107549011,1,broad,0.26420166983556403
15-140966,16-101519,NAME:commune de saint jean de monts,NAME_FALLBACK,2015-09-15,2016-07-07,9.724047306176084,2016-05-24,1.445466491458607,0.7590889180902322,0.4101046834439404,0.1,0.6,0.4233088687279372,True,False,1,0.4233088687279372,1,broad,0.26420166983556403
15-141361,19-177480,SIRET:23440003400026,RAW_SIRET,2015-09-16,2019-11-28,50.39421813403416,2020-02-19,2.726675427069645,0.5455540954883924,0.4478662388981781,0.0,1.0,0.3931417074864605,False,False,1,0.0036739019674065,9,broad,0.26420166983556403
15-144405,19-157248,NAME:regie dept passages d eau de vendee,NAME_FALLBACK,2015-09-22,2019-10-16,48.78449408672799,2019-09-22,0.7884362680683311,0.8685939553219448,0.0062106075183889,0.2,0.6,0.3393222014619223,False,False,1,0.3393222014619223,1,broad,0.26420166983556403
15-145608,18-127661,NAME:ccir pays de la loire,NAME_FALLBACK,2015-09-24,2018-09-13,35.64388961892247,2018-09-24,0.3613666228646517,0.939772229522558,0.0089449084965194,0.0,0.6,0.2980737753544212,False,False,1,0.025146002836229,3,broad,0.26420166983556403
15-146024,19-6267,NAME:ville de nantes,NAME_FALLBACK,2015-09-28,2019-01-23,39.84888304862024,2019-01-05,0.5913272010512484,0.9014454664914586,0.0136556667911457,0.0,0.6,0.2901408499997656,False,False,1,0.0765691544725842,5,broad,0.26420166983556403
15-146824,16-9312,NAME:ville de cholet,NAME_FALLBACK,2015-09-28,2016-03-15,5.551905387647832,2016-03-28,0.4270696452036793,0.9288217257993868,0.0936223764563367,0.1,0.6,0.3549732632095645,True,False,1,0.3549732632095645,1,broad,0.26420166983556403
15-147732,16-78789,NAME:ecole des mines de nantes,NAME_FALLBACK,2015-09-28,2016-05-30,8.04862023653088,2016-03-28,2.0696452036793693,0.6550591327201052,0.3940989187085687,0.1,0.6,0.3916994047280253,True,False,1,0.088376150400068,3,broad,0.26420166983556403
15-153604,16-79410,NAME:cte de cnes du pays fontenay le comte,NAME_FALLBACK,2015-10-08,2016-06-07,7.982917214191852,2016-04-08,1.971090670170828,0.6714848883048621,0.0653752871349819,0.1,0.6,0.2807525725734592,True,False,1,0.2807525725734592,1,broad,0.26420166983556403
15-154566,20-4011,NAME:cnieg,NAME_FALLBACK,2015-10-12,2020-01-12,51.01839684625492,2020-02-02,0.6898817345597897,0.8850197109067017,0.2686998629169169,0.2,0.6,0.4352998797475963,False,False,1,0.0479469636081725,3,broad,0.26420166983556403
15-155719,18-158087,NAME:sm megalis,NAME_FALLBACK,2015-10-13,2018-11-15,37.08935611038108,2018-10-13,1.0840998685939554,0.8193166885676741,0.660782947131069,1.0,0.6,0.7961032036377926,False,False,1,0.468444527208765,3,broad,0.26420166983556403
15-159244,19-151382,NAME:nantes metropole,NAME_FALLBACK,2015-10-23,2019-10-09,47.53613666228647,2019-10-23,0.4599211563731931,0.9233464739378012,0.2292386608364031,1.0,0.6,0.6710701497771914,False,True,1,0.1543004905630163,23,broad,0.26420166983556403
