source_notice_id,candidate_notice_id,sweep,severity,s_text,s_cpv,s_time,s_buyer,composite,is_arg_max,clears_balanced_threshold,recovered
15-96106,20-4011,text_only,0,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,text_only,1,0.14706030442652895,1.0,0.13491020586947,0.6,0.44519865801665265,True,True,True
15-96106,20-4011,text_only,2,0.2042928743102359,1.0,0.13491020586947,0.6,0.46523005747595003,True,True,True
15-96106,20-4011,text_only,3,0.21905432698260674,1.0,0.13491020586947,0.6,0.4703965659112798,True,True,True
15-96106,20-4011,cpv_only,0,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,cpv_only,1,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,cpv_only,2,0.14505645217937893,0.6,0.13491020586947,0.6,0.3244973097301501,False,True,False
15-96106,20-4011,cpv_only,3,0.14505645217937893,0.2,0.13491020586947,0.6,0.20449730973015012,False,False,False
15-96106,20-4011,duration_only,0,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,duration_only,1,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,duration_only,2,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,duration_only,3,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,combined,0,0.14505645217937893,1.0,0.13491020586947,0.6,0.4444973097301501,True,True,True
15-96106,20-4011,combined,1,0.14706030442652895,1.0,0.13491020586947,0.6,0.44519865801665265,True,True,True
15-96106,20-4011,combined,2,0.2042928743102359,0.6,0.13491020586947,0.6,0.34523005747595004,True,True,True
15-96106,20-4011,combined,3,0.21905432698260674,0.2,0.13491020586947,0.6,0.23039656591127985,False,False,False
15-96870,19-136955,text_only,0,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,text_only,1,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,text_only,2,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,text_only,3,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,cpv_only,0,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,cpv_only,1,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,cpv_only,2,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
15-96870,19-136955,cpv_only,3,0.0,0.2,0.5784056066579062,0.6,0.26460140166447654,False,False,False
15-96870,19-136955,duration_only,0,0.0,1.0,0.5784056066579062,0.6,0.5046014016644765,True,True,True
