notice_id,publication_date,buyer_name_raw,buyer_name_normalized,buyer_key,buyer_key_type,buyer_identity_source,buyer_identity_confidence,enrichment_join_status,department_key
21-42477,2021-03-30,Ville de Laval,ville de laval,NAME:ville de laval,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,53
21-29764,2021-03-05,MONTREVAULT-SUR-ÈVRE,montrevault-sur-evre,NAME:montrevault-sur-evre,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
21-45579,2021-04-08,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-48350,2021-04-12,CCI de région Bretagne,cci de region bretagne,NAME:cci de region bretagne,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,22;29;35;44;56;75;92
21-50004,2021-04-16,Comcom Estuaire et Sillon,comcom estuaire et sillon,NAME:comcom estuaire et sillon,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-48340,2021-04-15,Nantes Métropole,nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-53955,2021-04-24,DIR INTERDEPARTEMENTALE DES RTE OUEST,dir interdepartementale des rte ouest,NAME:dir interdepartementale des rte ouest,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,22;29;35;44;49;53;56
21-53968,2021-04-24,Conseil départemental Loire-Atlantique,conseil departemental loire-atlantique,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-57276,2021-04-29,Syndicat Mixte Chère Don Isac,syndicat mixte chere don isac,NAME:syndicat mixte chere don isac,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,44
21-49520,2021-04-13,Communauté Communes Parthenay-Gâtine,communaute communes parthenay-gatine,NAME:communaute communes parthenay-gatine,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,16;17;79;85;86;87
21-44088,2021-04-04,Communauté de communes de sablé,communaute de communes de sable,NAME:communaute de communes de sable,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49;72
21-45078,2021-04-04,SIRI 49,siri 49,NAME:siri 49,NAME_FALLBACK,NAME_FALLBACK,LOW,NOT_IN_ENRICHMENT,49
