source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_l1_source,buyer_key_l1_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source,candidate_buyer_identity_source,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_l2,candidate_buyer_siren_l2,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin
15-102348,16-62960,2015-07-03,2016-05-02,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,9.986859395532194,2016-03-06,1.8725361366622864,0.687910643889619,0.15793528311796412,0.0,0.75,0.3022550100636922,False,True,5,12,0.19642950538622567
15-102348,16-106204,2015-07-03,2016-07-15,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,12.417871222076215,2016-03-06,4.303547963206308,0.28274200613228206,0.2421186558682773,0.2,0.75,0.29042703108696755,False,False,6,12,0.19642950538622567
15-102348,16-68218,2015-07-03,2016-05-14,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,10.38107752956636,2016-03-06,2.266754270696452,0.6222076215505914,0.16992373084594203,0.0,0.75,0.2900252111837276,False,False,7,12,0.19642950538622567
15-102348,16-58728,2015-07-03,2016-04-22,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,9.658344283837057,2016-03-06,1.5440210249671484,0.7426631625054753,0.04509054521103935,0.0,0.75,0.27644748145023257,False,False,8,12,0.19642950538622567
15-102348,16-5452,2015-07-03,2016-01-13,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,6.3731931668856765,2016-03-06,1.7411300919842312,0.7098116513359615,0.06415395794960059,0.0,0.75,0.27490679811635055,False,False,9,12,0.19642950538622567
15-102348,16-70203,2015-07-03,2016-05-17,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,10.479632063074902,2016-03-06,2.3653088042049935,0.6057818659658345,0.0,0.0,0.75,0.22644546649145864,False,False,10,12,0.19642950538622567
15-102348,15-173090,2015-07-03,2015-11-16,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,4.467805519053877,2016-03-06,3.6465177398160313,0.39224704336399474,0.04311151162739315,0.0,0.75,0.1881507899105863,False,False,11,12,0.19642950538622567
15-102348,15-174358,2015-07-03,2015-11-17,NAME:universite de nantes,NAME:universite de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,130029747,130029747,False,4.50065703022339,2016-03-06,3.6136662286465175,0.39772229522558045,0.013439247232821624,0.0,0.75,0.17913431033788269,False,False,12,12,0.19642950538622567
15-102510,16-183156,2015-07-03,2016-12-23,SIRET:22720002900014,SIRET:22720002900014,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,22720002900014,22720002900014,227200029,227200029,False,17.706964520367936,2016-09-30,2.759526938239159,0.5400788436268069,0.0301700482473243,0.8,1.0,0.48557922779326523,False,False,1,9,0.13503301638387688
15-102510,16-127032,2015-07-03,2016-08-30,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,13.92904073587385,2016-09-30,1.0183968462549278,0.8302671922908453,0.02279832381907716,0.2,0.75,0.35054621140938835,False,False,2,9,0.13503301638387688
15-102510,16-139674,2015-07-03,2016-09-26,SIRET:22720002900014,SIRET:22720002900014,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,22720002900014,22720002900014,227200029,227200029,False,14.816031537450723,2016-09-30,0.1314060446780552,0.9780989925536575,0.016021495329105073,0.0,1.0,0.35013227150360116,False,False,3,9,0.13503301638387688
15-102510,16-125010,2015-07-03,2016-08-25,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,13.764783180026281,2016-09-30,1.1826544021024967,0.8028909329829172,0.005207420989478778,0.2,0.75,0.3375453305920469,False,False,4,9,0.13503301638387688
15-102510,16-123593,2015-07-03,2016-08-22,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,13.66622864651774,2016-09-30,1.281208935611038,0.7864651773981604,0.03783650444218394,0.0,0.75,0.2848590709043045,False,False,5,9,0.13503301638387688
15-102510,17-8714,2015-07-03,2017-01-19,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,18.593955321944808,2016-09-30,3.6465177398160313,0.39224704336399474,0.02319966774375055,0.2,0.75,0.24118164455131139,False,False,6,9,0.13503301638387688
15-102510,17-8037,2015-07-03,2017-01-17,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,18.528252299605782,2016-09-30,3.5808147174770038,0.40319754708716604,0.007999345124353366,0.1,0.75,0.2085991575653152,True,False,7,9,0.13503301638387688
15-102510,16-61061,2015-07-03,2016-04-29,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,9.888304862023652,2016-09-30,5.059132720105125,0.1568112133158125,0.021789251174579857,0.2,0.75,0.18182904124005608,False,False,8,9,0.13503301638387688
15-102510,17-25692,2015-07-03,2017-02-22,SIRET:22720002900014,NAME:departement de la sarthe,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,22720002900014,,227200029,227200029,False,19.71090670170828,2016-09-30,4.763469119579501,0.20608848007008318,0.007999345124353366,0.1,0.75,0.15932189081104448,True,False,9,9,0.13503301638387688
15-104125,16-19242,2015-07-08,2016-02-09,NAME:ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,7.09592641261498,2016-01-08,1.0512483574244416,0.8247919404292597,0.18005167586033788,0.1,0.6,0.35921607165843317,True,False,1,6,0.025865373196620634
15-104125,15-190662,2015-07-08,2015-12-22,NAME:ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,5.486202365308804,2016-01-08,0.5584756898817346,0.9069207183530442,0.047487196781575654,0.1,0.6,0.33335069846181253,True,False,2,6,0.025865373196620634
15-104125,16-2845,2015-07-08,2016-01-11,NAME:ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,6.14323258869908,2016-01-08,0.09855453350854139,0.9835742444152431,0.05823145002104849,0.0,0.6,0.32627456861117776,False,True,3,6,0.025865373196620634
15-104125,16-9226,2015-07-08,2016-01-20,NAME:ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,6.438896189224704,2016-01-08,0.39421813403416556,0.9342969776609724,0.05663664212804986,0.0,0.6,0.31339706916006055,False,True,4,6,0.025865373196620634
15-104125,15-146024,2015-07-08,2015-09-28,NAME:ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,2.6938239159001314,2016-01-08,3.350854139290407,0.44152431011826543,0.04937759373977527,0.0,0.6,0.1876632353384877,False,False,5,6,0.025865373196620634
15-104125,16-74267,2015-07-08,2016-05-28,NAME:ville de nantes,NAME:ville de nantes,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,10.676741130091985,2016-01-08,4.6320630749014455,0.22798948751642578,0.03867111402992573,0.0,0.6,0.13053226178958044,False,False,6,6,0.025865373196620634
15-105085,16-73008,2015-07-07,2016-05-20,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,10.446780551905388,2016-01-07,4.402102496714849,0.26631625054752517,0.11595907781391109,0.1,0.6,0.19716473987175015,True,False,1,2,0.022711526953006017
15-105085,15-145608,2015-07-07,2015-09-24,NAME:ccir pays de la loire,NAME:ccir pays de la loire,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,2.59526938239159,2016-01-07,3.4494086727989486,0.42509855453350853,0.023367355101048596,0.0,0.6,0.17445321291874413,False,False,2,2,0.022711526953006017
15-107245,16-103088,2015-07-10,2016-07-11,NAME:le mans metropole - communaute urbaine,SIRET:24720013200014,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,24720013200014,247200132,247200132,False,12.056504599211564,2016-09-07,1.9053876478318004,0.6824353920280333,0.03731084428919378,0.0,0.75,0.25866764350822613,False,False,1,4,0.07416238268927333
15-107245,16-38113,2015-07-10,2016-03-16,NAME:le mans metropole - communaute urbaine,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,247200132,247200132,False,8.21287779237845,2016-09-07,5.7490144546649145,0.04183092422251422,0.2829929421809264,0.0,0.75,0.1845052608189528,False,False,2,4,0.07416238268927333
15-107245,17-6085,2015-07-10,2017-01-15,NAME:le mans metropole - communaute urbaine,SIRET:24720013200014,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,24720013200014,247200132,247200132,False,18.232588699080157,2016-09-07,4.270696452036794,0.28821725799386766,0.04405429446566766,0.0,0.75,0.16247331756145061,False,False,3,4,0.07416238268927333
15-107245,17-10496,2015-07-10,2017-01-23,NAME:le mans metropole - communaute urbaine,NAME:le mans metropole - communaute urbaine,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,247200132,247200132,False,18.495400788436267,2016-09-07,4.533508541392904,0.24441524310118268,0.0421402592721998,0.0,0.75,0.1508529015205656,False,False,4,4,0.07416238268927333
15-110860,16-38113,2015-07-17,2016-03-16,SIRET:24720013200014,NAME:le mans metropole - communaute urbaine,RAW_SIRET,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS,24720013200014,,247200132,247200132,False,7.982917214191853,2016-04-18,1.0840998685939554,0.8193166885676741,0.0582518348333289,0.0,0.75,0.3002173143335837,False,False,1,4,0.052285084491917794
