source_notice_id,candidate_notice_id,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,buyer_match_mechanism,cross_establishment_same_siren,source_buyer_identity_source,candidate_buyer_identity_source
20-59913,20-107502,2020-05-04,2020-09-04,4.040735873850197,2020-11-04,2.0039421813403417,0.6660096364432764,0.025590027514687905,0.4,0.6,0.35545891874095986,False,False,1,0.04102054340426875,10,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
20-60892,20-122198,2020-05-06,2020-10-06,5.026281208935611,2020-11-06,1.0183968462549278,0.8302671922908453,0.7873227297174425,0.1,0.6,0.5731297534738162,True,False,1,0.11719677055660221,2,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
20-60975,20-122198,2020-05-19,2020-10-06,4.599211563731932,2020-11-19,1.445466491458607,0.7590889180902322,0.7873227297174425,0.4,0.6,0.6453351849236628,False,False,1,0.6453351849236628,1,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,UNIQUE_NAME_DEPARTMENT_ALIAS,NAME_FALLBACK
20-61130,21-30471,2020-05-08,2021-03-08,9.986859395532194,2021-02-25,0.36136662286465177,0.939772229522558,0.18562434463510924,0.0,0.6,0.3599115780029277,False,False,1,0.009581690757774819,6,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
20-61243,20-122198,2020-05-07,2020-10-06,4.993429697766097,2020-11-07,1.0512483574244416,0.8247919404292597,0.7873227297174425,0.1,0.6,0.5717609405084199,True,False,1,0.11719677055660233,2,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
20-61728,21-86403,2020-05-09,2021-06-23,13.469119579500656,2021-05-26,0.9198423127463863,0.8466929478756022,0.015415777570473545,0.4,0.75,0.4120687591185663,False,False,1,0.049251445053169474,5,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,DIRECT_BOAMP_SIRET,UNIQUE_NAME_DEPARTMENT_ALIAS
20-62727,21-113953,2020-05-14,2021-08-20,15.210249671484888,2021-07-24,0.8869908015768725,0.8521681997371879,0.011896439503989109,0.2,0.75,0.35220580376069316,False,False,1,0.002853218545789904,12,POTENTIAL,balanced,0.3431669423310381,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
20-65753,20-111698,2020-05-20,2020-09-13,3.8107752956636007,2021-02-05,4.763469119579501,0.20608848007008318,0.8613778775516127,0.0,1.0,0.45300437716058517,False,False,1,0.02574903284201452,14,POTENTIAL,balanced,0.3431669423310381,EXACT_SIRET_RECONCILIATION,False,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET
20-66643,21-7561,2020-05-22,2021-01-18,7.917214191852826,2020-11-22,1.8725361366622864,0.687910643889619,0.3004089479083553,0.4,0.6,0.4571207927403291,False,False,1,0.027573334494695234,15,POTENTIAL,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
20-68352,20-114714,2020-05-28,2020-09-20,3.777923784494087,2020-11-28,2.266754270696452,0.6222076215505914,0.014987172460548702,1.0,0.6,0.5207974157488399,False,False,1,0.17307914820994513,10,HIGH,balanced,0.3431669423310381,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
