notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,buyer_key_l2,buyer_identity_source,buyer_identity_confidence,event,time_to_event_or_censor_months,linked_candidate_notice_id,composite_score,confidence_tier,buyer_match_mechanism,variant
15-32168,SIRET:23440003400026,RAW_SIRET,2015-03-03,2015-09-03,2016-03-03,2026-07-13,72,72700,DIGITAL_ICT,True,6.0,True,SIRET:23440003400026,DIRECT_BOAMP_SIRET,HIGH,1,12.056504599211564,16-32344,0.3924390378602894,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-34520,NAME:chu d angers,NAME_FALLBACK,2015-03-06,2015-03-06,2015-07-06,2026-07-13,32,32360,DIGITAL_ICT,True,4.0,True,SIREN:264900036,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,4.763469119579501,15-117072,0.3654761237733987,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-39992,NAME:mairie de la montagne,NAME_FALLBACK,2015-03-16,2015-03-16,2015-09-16,2026-07-13,,,DIGITAL_ICT,True,6.0,True,SIREN:214401010,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,135.90670170827858,,,,,balanced
15-56918,NAME:vallet,NAME_FALLBACK,2015-04-15,2015-04-15,2015-08-15,2026-07-13,32,32342,DIGITAL_ICT,True,4.0,True,NAME:vallet,NAME_FALLBACK,LOW,0,134.92115637319316,,,,,balanced
15-59370,NAME:chu de nantes,NAME_FALLBACK,2015-04-20,2015-04-20,2015-10-20,2026-07-13,72,72261,DIGITAL_ICT,True,6.0,True,SIREN:264400136,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,1.8725361366622864,15-92216,0.47598556606436576,POTENTIAL,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-59770,NAME:cap atlantique,NAME_FALLBACK,2015-04-20,2015-04-20,2015-10-20,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,SIREN:244400610,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,0.1314060446780552,15-63856,0.726176624212745,HIGH,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-60447,NAME:sdis 44,NAME_FALLBACK,2015-04-20,2015-04-20,2015-10-20,2026-07-13,33,33190,DIGITAL_ICT,True,6.0,True,SIREN:284400017,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,1,3.777923784494087,15-126308,0.7921467564985971,HIGH,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-63856,NAME:cap atlantique,NAME_FALLBACK,2015-04-24,2015-04-24,2015-10-24,2026-07-13,48,48000,DIGITAL_ICT,True,6.0,True,SIREN:244400610,UNIQUE_NAME_DEPARTMENT_ALIAS,MEDIUM_LOW,0,134.62549277266754,,,,,balanced
15-50314,NAME:ministere des affaires etrangeres,NAME_FALLBACK,2015-04-02,2015-04-02,2015-10-02,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,NAME:ministere des affaires etrangeres,NAME_FALLBACK,LOW,0,135.34822601839684,,,,,balanced
15-56649,SIRET:23440003400026,RAW_SIRET,2015-04-14,2015-09-30,2016-03-30,2026-07-13,72,72500,DIGITAL_ICT,True,6.0,True,SIRET:23440003400026,DIRECT_BOAMP_SIRET,HIGH,1,12.582128777923785,16-61484,0.3522727259980482,MEDIUM,HISTORICAL_ALIAS_RECONCILIATION,balanced
15-58339,NAME:cnieg,NAME_FALLBACK,2015-04-17,2015-08-06,2016-02-06,2026-07-13,72,72400,DIGITAL_ICT,True,6.0,True,NAME:cnieg,NAME_FALLBACK,LOW,1,7.128777923784494,15-175690,0.5982373297281363,HIGH,M0_NAME_FALLBACK,balanced
