source_notice_id,candidate_notice_id,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,buyer_match_mechanism,cross_establishment_same_siren,source_buyer_identity_source,candidate_buyer_identity_source
15-58339,15-175690,2015-04-17,2015-11-20,7.128777923784494,2016-02-06,2.562417871222076,0.5729303547963207,0.2714421172258746,1.0,0.6,0.5982373297281363,False,False,1,0.07888796263402842,5,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-58989,15-105085,2015-04-17,2015-07-07,2.6609724047306176,2015-10-17,3.350854139290407,0.44152431011826543,0.03602904117720681,1.0,0.6,0.48299124194158877,False,False,1,0.18112496672577288,2,MEDIUM,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-59370,15-92216,2015-04-20,2015-06-16,1.8725361366622864,2015-10-20,4.139290407358739,0.31011826544021026,0.0670171420123233,1.0,0.75,0.47598556606436576,False,False,1,0.01725980900610735,11,POTENTIAL,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-59770,15-63856,2015-04-20,2015-04-24,0.1314060446780552,2015-10-20,5.88042049934297,0.01992991677617173,0.989126128624863,1.0,0.75,0.726176624212745,False,True,1,0.4456500771263846,2,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-60447,15-126308,2015-04-20,2015-08-13,3.777923784494087,2015-10-20,2.2339027595269383,0.6276828734121769,0.7435029661301508,1.0,0.75,0.7921467564985969,False,False,1,0.4430474703119412,3,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-64142,15-169809,2015-04-24,2015-11-09,6.5374507227332455,2015-10-24,0.5256241787122208,0.9123959702146298,0.4244999681320424,0.2,0.75,0.5116739813998723,False,False,1,0.02894238021356471,10,POTENTIAL,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-72457,15-141361,2015-05-12,2015-09-16,4.1721419185282524,2015-11-12,1.8725361366622864,0.687910643889619,0.012559553084728732,1.0,0.75,0.5513735045520598,False,False,1,0.11897540894560482,7,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET
15-75567,15-159244,2015-05-19,2015-10-23,5.157687253613666,2015-11-19,0.8869908015768725,0.8521681997371879,0.2673613902621611,1.0,0.6,0.6666185365260533,False,True,1,0.23644778864190175,19,HIGH,strict,0.44206956893514254,M0_NAME_FALLBACK,False,NAME_FALLBACK,NAME_FALLBACK
15-81386,16-42170,2015-05-28,2016-03-24,9.888304862023652,2015-11-28,3.8436268068331145,0.35939553219448095,0.9315141171740464,1.0,0.75,0.7908788240595366,False,False,1,0.5312282765777305,4,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
15-82604,16-40204,2015-06-01,2016-03-22,9.69119579500657,2015-11-01,4.664914586070959,0.22251423565484008,0.5749275243277615,1.0,0.75,0.6318531924284265,False,False,1,0.2048843811343955,5,HIGH,strict,0.44206956893514254,HISTORICAL_ALIAS_RECONCILIATION,False,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS
