source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,gradient_boosting_score,transfer_score,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,model_name,benchmark_version,threshold_source,source_annonce_lie,source_etat,source_schema_family,source_notice_type_normalized,source_text_length,source_token_count,candidate_annonce_lie,candidate_etat,candidate_schema_family,candidate_notice_type_normalized,candidate_text_length,candidate_token_count,repair_pass_text_min,repair_pass_initial_source,repair_pass_initial_candidate,repair_pass_no_explicit_linked_notice_ref,repair_pass_min_token_count,repair_rule_pass,repair_failure_reasons,repair_rule_version,rule_role
19-143955,19-177480,2019-09-24,2019-11-28,SIRET:23440003400026,RAW_SIRET,2.135348226018397,2020-01-24,1.8725361366622864,0.687910643889619,0.9566688505698498,1.0,1.0,0.9068117586718522,0.8573217840537916,0.8573217840537916,1,0.5562298223793227,6,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,53,6,,INITIAL,LEGACY,APPEL_OFFRE,62,7,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
19-145053,19-174809,2019-09-24,2019-11-20,NAME:departement de la sarthe,NAME_FALLBACK,1.8725361366622864,2020-03-24,4.106438896189225,0.3155935173017958,0.9840442363160228,1.0,0.6,0.7833138620360569,0.8667367696823896,0.8667367696823896,1,0.3803644939735831,7,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,119,19,,INITIAL,LEGACY,APPEL_OFFRE,127,19,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
19-152453,20-10180,2019-10-10,2020-01-24,NAME:chd vendee,NAME_FALLBACK,3.4822601839684624,2020-05-22,3.9093298291721417,0.3484450284713097,1.0,1.0,0.6,0.7971112571178274,0.92899944198545,0.92899944198545,1,0.6162011772641207,2,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,105,15,,INITIAL,LEGACY,APPEL_OFFRE,105,15,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
19-25237,19-184042,2019-02-17,2019-12-12,NAME:commune de nantes,NAME_FALLBACK,9.789750328515112,2019-08-17,3.843626806833114,0.3593955321944809,0.8771245365023538,1.0,0.6,0.7568424708244441,0.9173011489520002,0.9173011489520002,1,0.4496317493843324,6,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,62,7,,INITIAL,LEGACY,APPEL_OFFRE,87,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
19-46133,19-92746,2019-03-27,2019-06-19,NAME:cc du pays des achards,NAME_FALLBACK,2.759526938239159,2019-10-15,3.876478318002628,0.3539202803328953,1.0000000000000004,1.0,0.6,0.798480070083224,0.9680959205385472,0.9680959205385472,1,0.798480070083224,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,149,22,,INITIAL,LEGACY,APPEL_OFFRE,149,22,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
19-58204,19-112016,2019-04-13,2019-07-21,NAME:ville de nantes,NAME_FALLBACK,3.252299605781866,2020-01-10,5.683311432325887,0.0527814279456855,0.5754645850796773,1.0,0.6,0.5746079617643085,0.8805316968142951,0.8805316968142951,1,0.2779091268717182,4,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,196,27,,INITIAL,LEGACY,APPEL_OFFRE,117,17,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
19-97500,19-161914,2019-06-25,2019-10-26,NAME:cap atlantique,NAME_FALLBACK,4.040735873850197,2019-10-25,0.0328515111695138,0.9945247481384144,1.0,1.0,0.6,0.9586311870346036,0.9754041420757232,0.9754041420757232,1,0.9586311870346036,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,116,17,,INITIAL,LEGACY,APPEL_OFFRE,116,17,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-118996,21-26465,2020-10-01,2021-02-27,NAME:chu de nantes,NAME_FALLBACK,4.894875164257556,2021-08-24,5.847568988173456,0.0254051686377573,0.6679117018605,1.0,0.6,0.6001203878106143,0.909375088551216,0.909375088551216,1,0.2297681433743225,10,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,134,20,,INITIAL,LEGACY,APPEL_OFFRE,159,24,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-122021,21-73723,2020-10-06,2021-06-01,NAME:rectorat de l academie de nantes,NAME_FALLBACK,7.818659658344283,2021-02-06,3.777923784494088,0.3703460359176522,0.3699859648769119,1.0,0.6,0.5820815966863322,0.966399958041847,0.966399958041847,1,0.5820815966863322,1,HIGH,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,190,28,,INITIAL,LEGACY,APPEL_OFFRE,184,26,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
20-142015,21-116891,2020-11-21,2021-09-01,SIRET:23440003400026,RAW_SIRET,9.32982917214192,2021-05-21,3.383705650459921,0.4360490582566798,0.6630948905529075,1.0,1.0,0.7410954762576875,0.3049479075682298,0.3049479075682298,1,0.4178885905720972,4,MEDIUM,primary_gbm_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.2309637726207583,gradient_boosting,v0_4_population_alias_revision,central_calibration_worlds_005_006_rank1_f1_max,,INITIAL,LEGACY,APPEL_OFFRE,121,18,,INITIAL,LEGACY,APPEL_OFFRE,153,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,gbm_repair_comparator_for_fresh_validation
