source_notice_id,candidate_notice_id,repair_rule_pass,repair_failure_reasons,s_text,s_cpv,composite_score,gradient_boosting_score,top1_top2_margin,source_etat,candidate_etat,source_annonce_lie,candidate_annonce_lie,source_token_count,candidate_token_count
16-81774,16-139147,False,TEXT_MIN,0.0811073598556653,1.0,0.5412018554063378,0.9402208981982266,0.1845815831681013,INITIAL,INITIAL,,,27,12
16-82345,17-56105,False,TEXT_MIN,0.0353411570922762,0.1,0.145678647207439,0.3141716068131139,0.145678647207439,INITIAL,INITIAL,,,21,14
16-86436,17-16255,False,TEXT_MIN,0.0,0.1,0.3044108628996934,0.2820759239544035,0.3044108628996934,INITIAL,INITIAL,,,13,14
16-88869,17-3608,False,TEXT_MIN,0.0,0.1,0.3057796758650898,0.2863511948555091,0.3057796758650898,INITIAL,INITIAL,,,4,7
16-95746,16-133646,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,1.0,1.0,0.8984034165571615,0.9662214594797502,0.8984034165571615,INITIAL,RECTIFICATIF,,16-95746,9,9
17-102039,18-21245,True,,0.5091218126321245,1.0,0.7498658713901443,0.9526416130029708,0.3865847384638585,INITIAL,INITIAL,,,29,21
17-102187,18-46346,True,,0.9999999999999998,1.0,0.953460359176522,0.9341156477209052,0.6176457056502949,INITIAL,INITIAL,,,14,14
17-102482,17-159373,False,TEXT_MIN;INITIAL_SOURCE,0.0343829381488488,0.8,0.4703235596705377,0.8855521216097,0.0973137656675097,RECTIFICATIF,INITIAL,17-93666,,13,6
17-102708,18-31687,False,TEXT_MIN,0.2450049122501733,1.0,0.6286798839831367,0.9366977490096016,0.2705038624918042,INITIAL,INITIAL,,,32,21
17-104238,17-161917,False,TEXT_MIN,0.0084461878507903,1.0,0.5267209489278029,0.9487336088036668,0.0518514470998318,INITIAL,INITIAL,,,15,6
17-106009,18-61655,False,TEXT_MIN,0.0622592166711997,1.0,0.5838822720460457,0.9188477768413033,0.1313435725660719,INITIAL,INITIAL,,,20,17
17-110921,18-61507,True,,0.4538778611384422,0.2,0.4412532216130846,0.751000400054967,0.4412532216130846,INITIAL,INITIAL,,,13,11
17-111330,18-61655,False,TEXT_MIN,0.0876735783370829,1.0,0.5215990244284916,0.9164148862909856,0.157286888840234,INITIAL,INITIAL,,,23,17
17-129614,18-61655,False,TEXT_MIN,0.0955687746091061,1.0,0.5791148617395561,0.941760979313876,0.1816022661546999,INITIAL,INITIAL,,,14,17
17-134974,18-73911,True,,0.5278759841311622,0.1,0.4234644350065725,0.5351223228708686,0.4234644350065725,INITIAL,INITIAL,,,11,12
17-136551,18-87219,False,MIN_TOKEN_COUNT,0.5300027790858282,1.0,0.7448548929603727,0.9320137336708856,0.5908769755895815,INITIAL,INITIAL,,,1,1
17-139193,17-159853,False,TEXT_MIN,0.1410946318206214,0.8,0.4050116800509275,0.6148984656292993,0.1049859781264856,INITIAL,INITIAL,,,14,10
17-142028,18-54467,False,TEXT_MIN,0.0129361230757208,1.0,0.5720944411492137,0.951041324612595,0.2028311560091373,INITIAL,INITIAL,,,17,16
17-144102,18-10415,False,TEXT_MIN;MIN_TOKEN_COUNT,0.0,1.0,0.3745641699518178,0.8612680286214289,0.0727770477441962,INITIAL,INITIAL,,,1,17
17-159373,18-120601,True,,0.3062870657521602,1.0,0.652866263639625,0.9342085359653556,0.0027376259307927,INITIAL,INITIAL,,,6,10
17-161606,18-55179,False,TEXT_MIN,0.1247095529549985,0.2,0.3657398897453752,0.2639571512570136,0.0932973905353717,INITIAL,INITIAL,,,22,19
17-161917,18-149893,False,TEXT_MIN,0.0833771083708082,1.0,0.4188031005009611,0.869311085293763,0.0051661713026252,INITIAL,INITIAL,,,6,10
17-16255,18-8280,False,TEXT_MIN,0.0058868533982202,0.1,0.1134686334681769,0.3207649307301446,0.1134686334681769,INITIAL,INITIAL,,,14,6
17-170763,18-82638,False,TEXT_MIN,0.2722396072784689,0.1,0.4202269199281036,0.2441110463270699,0.4202269199281036,INITIAL,INITIAL,,,22,9
17-171316,18-79401,False,TEXT_MIN,0.0302189100503142,1.0,0.4620987385351307,0.9307320585042456,0.0121683251053774,INITIAL,INITIAL,,,13,18
17-20859,17-30623,True,,0.9999999999999998,1.0,0.7697349978098991,0.8069703438766637,0.4726805798141772,INITIAL,INITIAL,,,13,13
17-21659,17-150835,False,TEXT_MIN,0.1464628136742108,0.2,0.3227074512774324,0.6613118907438833,0.3227074512774324,INITIAL,INITIAL,,,5,16
17-26666,17-61199,False,TEXT_MIN,0.008780129250107,1.0,0.396800596704905,0.9110116425631052,0.396800596704905,INITIAL,INITIAL,,,8,9
17-29415,17-104238,False,TEXT_MIN,0.0229225297764661,1.0,0.5564263019789248,0.9507580182489668,0.0504560873490518,INITIAL,INITIAL,,,8,15
17-32165,18-13243,False,TEXT_MIN,0.0,0.1,0.2373390275952694,0.2935289566891391,0.2373390275952694,INITIAL,INITIAL,,,6,4
17-3608,17-132446,False,TEXT_MIN,0.0,0.1,0.2400766535260622,0.4819197762194417,0.2400766535260622,INITIAL,INITIAL,,,7,4
17-39457,17-136551,False,MIN_TOKEN_COUNT,0.8377922746823196,1.0,0.8936456053810371,0.9759883790770412,0.8936456053810371,INITIAL,INITIAL,,,1,1
17-54861,18-34113,False,TEXT_MIN,0.0100509701914187,0.1,0.2353816153006803,0.2935289566891391,0.2353816153006803,INITIAL,INITIAL,,,4,13
17-58113,17-68883,True,,1.0,1.0,0.7382522996057819,0.8390000090442725,0.7382522996057819,INITIAL,INITIAL,,,6,6
17-58214,17-129614,False,TEXT_MIN,0.2520094867399283,1.0,0.6270250461583617,0.9304867782737222,0.0578025045179297,INITIAL,INITIAL,,,24,14
17-59442,17-115928,True,,0.9999999999999996,1.0,0.7642597459483134,0.9184243294609894,0.3472097127184082,INITIAL,INITIAL,,,18,18
17-61541,17-159373,False,TEXT_MIN,0.008844898053713,1.0,0.4762144177791587,0.945760133637547,0.1282552939572952,INITIAL,INITIAL,,,16,6
17-62873,17-124586,True,,1.0,1.0,0.812472623740692,0.9401376137226718,0.5112879768632475,INITIAL,INITIAL,,,6,6
17-66007,17-80512,False,TEXT_MIN,0.0432724311577433,1.0,0.4116105283033704,0.7311222585480985,0.2846428929361849,INITIAL,INITIAL,,,15,20
17-6714,17-124586,True,,1.0,1.0,0.9575667980727112,0.9388072183809528,0.1683639947437583,INITIAL,INITIAL,,,6,6
17-74587,18-21245,False,TEXT_MIN,0.1393021707271005,0.8,0.4933571614189617,0.8726010412688325,0.0044507392704189,INITIAL,INITIAL,,,29,21
17-76616,17-129614,False,TEXT_MIN,0.214962581706752,1.0,0.6605982702202278,0.9403995208541638,0.121456044278239,INITIAL,INITIAL,,,20,14
17-90968,17-130002,True,,0.8468750551907425,1.0,0.6805521300263524,0.8345995488711411,0.3788749978653856,INITIAL,INITIAL,,,10,16
17-9361,17-35545,False,TEXT_MIN,0.1122271996826206,0.8,0.4181778992143661,0.6339046140074496,0.0682493609517466,INITIAL,INITIAL,,,13,23
17-93666,17-159373,False,TEXT_MIN,0.0343829381488488,0.8,0.4908557541514838,0.8966514876190287,0.2378148546965229,INITIAL,INITIAL,,,13,6
18-101437,18-149889,False,TEXT_MIN,0.0,1.0,0.4950197109067017,0.9715906443945316,0.4950197109067017,INITIAL,INITIAL,,,34,5
18-105237,19-32405,True,,0.7475511793813263,0.8,0.7213012570673012,0.9077257475778516,0.4937040060192056,INITIAL,INITIAL,,,15,24
18-109139,18-174630,False,TEXT_MIN,0.0103756964004547,1.0,0.5465596584357351,0.953088982916795,0.1595944011728238,INITIAL,INITIAL,,,15,18
18-120601,18-121819,False,INITIAL_CANDIDATE;NO_EXPLICIT_LINKED_NOTICE_REF,1.0,1.0,0.7108760402978536,0.4929908629999276,0.4627419351304399,INITIAL,RECTIFICATIF,,18-120601,10,10
18-125410,19-17531,True,,0.4406637842861052,0.8,0.6672743744344338,0.9571171405258364,0.6672743744344338,INITIAL,INITIAL,,,19,11
18-126368,19-71137,False,TEXT_MIN,0.0557198501917661,1.0,0.6185514438439468,0.9389104313106,0.3161374648241928,INITIAL,INITIAL,,,22,32
