source_notice_id,candidate_notice_id,buyer_key_type,buyer_key,source_date,candidate_date,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,composite_score,cpv_missing,cpv_generic_flag,candidate_rank,top1_top2_margin,n_candidates_for_source,confidence_tier,variant,threshold_used,source_annonce_lie,source_etat,source_schema_family,source_notice_type_normalized,source_text_length,source_token_count,candidate_annonce_lie,candidate_etat,candidate_schema_family,candidate_notice_type_normalized,candidate_text_length,candidate_token_count,repair_pass_text_min,repair_pass_initial_source,repair_pass_initial_candidate,repair_pass_no_explicit_linked_notice_ref,repair_pass_min_token_count,repair_rule_pass,repair_failure_reasons,repair_rule_version,rule_role
15-42765,15-167650,NAME_FALLBACK,NAME:cg49,2015-03-20,2015-11-03,7.490144546649145,2015-09-20,1.445466491458607,0.7590889180902322,0.3503941520167254,0.1,0.6,0.4024101827284119,True,False,1,0.1269508318350036,5,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,105,15,,INITIAL,LEGACY,APPEL_OFFRE,103,13,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-44894,15-126736,NAME_FALLBACK,NAME:prefecture,2015-03-24,2015-08-13,4.664914586070959,2015-09-24,1.3797634691195797,0.7700394218134035,0.4195899788242906,0.1,0.6,0.4293663480418526,True,False,1,0.4293663480418526,1,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,94,13,,INITIAL,LEGACY,APPEL_OFFRE,80,11,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-45169,15-159973,NAME_FALLBACK,NAME:vendee eau,2015-03-27,2015-10-28,7.063074901445466,2016-01-02,2.1681997371879107,0.6386333771353483,0.4154327359373862,0.0,0.6,0.3650598018619223,False,False,1,0.0359660191553711,2,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,113,18,,INITIAL,LEGACY,APPEL_OFFRE,143,25,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-47696,15-52664,RAW_SIRET,SIRET:12000601000058,2015-03-30,2015-04-08,0.2956636005256242,2015-09-30,5.7490144546649145,0.0418309242225142,0.8461860645636888,1.0,1.0,0.7066228536529195,False,False,1,0.4389228745889888,4,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,200,29,,INITIAL,LEGACY,APPEL_OFFRE,183,27,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-50024,15-159973,NAME_FALLBACK,NAME:vendee eau,2015-04-27,2015-10-28,6.044678055190539,2015-11-30,1.0840998685939554,0.8193166885676741,0.4564481728969914,0.0,0.6,0.4245860326558655,False,False,1,0.1238661704301729,3,MEDIUM,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,167,28,,INITIAL,LEGACY,APPEL_OFFRE,143,25,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-60447,15-126308,NAME_FALLBACK,NAME:sdis 44,2015-04-20,2015-08-13,3.7779237844940874,2015-10-20,2.2339027595269383,0.6276828734121769,0.7435029661301509,1.0,0.6,0.777146756498597,False,False,1,0.4430474703119413,3,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,179,25,,INITIAL,LEGACY,APPEL_OFFRE,146,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-63415,15-126308,NAME_FALLBACK,NAME:sdis 44,2015-04-24,2015-08-13,3.6465177398160313,2015-10-24,2.365308804204993,0.6057818659658345,0.4284117886009568,0.1,0.6,0.3913895925017935,True,False,1,0.0476123778058659,2,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,160,23,,INITIAL,LEGACY,APPEL_OFFRE,146,23,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-64142,15-169809,NAME_FALLBACK,NAME:chu de nantes,2015-04-24,2015-11-09,6.5374507227332455,2015-10-24,0.5256241787122208,0.9123959702146298,0.4244999681320422,0.2,0.6,0.4966739813998722,False,False,1,0.0289423802135646,10,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,136,19,,INITIAL,LEGACY,APPEL_OFFRE,176,21,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-81386,16-42170,NAME_FALLBACK,NAME:gpm de nantes - st nazaire,2015-05-28,2016-03-24,9.888304862023652,2015-11-28,3.843626806833114,0.3593955321944809,0.9315141171740462,1.0,0.6,0.7758788240595365,False,False,1,0.5312282765777303,4,HIGH,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,153,24,,INITIAL,LEGACY,APPEL_OFFRE,136,20,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
15-81652,16-7903,NAME_FALLBACK,NAME:ecole des mines de nantes,2015-05-29,2016-01-19,7.720105124835742,2015-11-29,1.6754270696452036,0.7207621550591328,0.3114676232682308,0.1,0.6,0.3792042069086639,True,False,1,0.0104259051686987,4,POTENTIAL,composite_balanced_manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,0.3431669423310381,,INITIAL,LEGACY,APPEL_OFFRE,126,22,,INITIAL,LEGACY,APPEL_OFFRE,88,13,True,True,True,True,True,True,,manual_audit_repair_v1_text030_initial_no_linked_ref_min4tokens,preferred_repair_candidate_for_fresh_validation
