variant,model,term,coef,exp_coef,p,ci_lower,ci_upper
broad,cox_clustered,cpv_division_9.0,-1.868175798526275,0.15440507102165774,0.009403238214147134,0.03770076218779719,0.6323725191136823
broad,cox_clustered,cpv_division_90.0,1.2217252792090554,3.393036622227462,0.07160692052143865,0.8981796552877547,12.817811505748656
broad,cox_clustered,cpv_division_92.0,1.9388486420768283,6.950743568149567,4.942026915303649e-10,3.77347420103267,12.803277186034824
broad,cox_clustered,cpv_division_MISSING,1.3607115695146472,3.898966700788011,2.7740515602456107e-22,2.9624281949463014,5.131581369562716
broad,cox_clustered,buyer_key_type_RAW_SIRET,-0.09104309220070075,0.9129783678045208,0.7687303201419111,0.49762356781929007,1.6750201437036834
strict,cox_clustered,log_duration,-0.04711285609677753,0.9539797290863323,0.6043485197766836,0.7982604763967042,1.1400756399911742
strict,cox_clustered,dur_was_imputed,-1.1992986719289012,0.30140552195804077,3.097309105701631e-07,0.19040011810054366,0.47712832099624414
strict,cox_clustered,cpv_division_22.0,-0.7299205030772389,0.48194730189478063,0.12625165350004514,0.18908760595910112,1.2283893522555813
strict,cox_clustered,cpv_division_30.0,-0.23242265137567591,0.7926110543504967,0.41787894657442737,0.45169695235944274,1.39082692543536
strict,cox_clustered,cpv_division_31.0,-0.7641742889663597,0.4657183210111537,0.047977244813174065,0.21837417795996014,0.9932197870263597
strict,cox_clustered,cpv_division_32.0,-0.3182458988090743,0.727423893751339,0.11677132559189964,0.4887390434696031,1.0826749535783082
strict,cox_clustered,cpv_division_33.0,3.3998754970218372,29.960369659930137,4.045515047214458e-11,10.920057233035124,82.19954630312652
strict,cox_clustered,cpv_division_34.0,-0.7942466076123307,0.45192158097836266,0.15346897135243912,0.15185354876698706,1.3449347546521286
strict,cox_clustered,cpv_division_35.0,0.16780731992030956,1.1827087042846156,0.6330333086476053,0.5939050375011976,2.3552584855584318
strict,cox_clustered,cpv_division_38.0,-0.7856176913556351,0.45583804758534907,0.005709365450029211,0.2611401573826743,0.7956965627539633
strict,cox_clustered,cpv_division_39.0,2.6652451502733707,14.371472284538244,1.0448333452864316e-13,7.118247213538754,29.01545976549083
strict,cox_clustered,cpv_division_42.0,-0.062107383839336706,0.9397819639770151,0.9446286597250863,0.16287603320436564,5.422468379422831
strict,cox_clustered,cpv_division_43.0,-791.0027033943757,0.0,2.5733300753512166e-15,0.0,0.0
strict,cox_clustered,cpv_division_44.0,0.7010802392467432,2.0159292175424715,0.47504747691552573,0.2944531671948295,13.80175546711784
strict,cox_clustered,cpv_division_45.0,-0.3592419032277335,0.6982054327736137,0.37164332506148834,0.31747487546098685,1.535525687337406
strict,cox_clustered,cpv_division_48.0,0.1363149522349582,1.146042785496673,0.6525437471079527,0.6331191690401181,2.0745131886944144
strict,cox_clustered,cpv_division_50.0,-0.4669958055751063,0.6268827198193481,0.28670576335970166,0.2655042880618857,1.4801340772187608
strict,cox_clustered,cpv_division_51.0,-0.9211207240617496,0.3980726613870611,0.26578862122669494,0.07859380162054047,2.0162129897832024
strict,cox_clustered,cpv_division_55.0,-0.7640518741680169,0.4657753353151309,0.3461283517226972,0.09503046367872384,2.282917020392213
strict,cox_clustered,cpv_division_64.0,1.1853593884358993,3.271862479733374,0.018079114709818565,1.22456979407129,8.741914211925932
strict,cox_clustered,cpv_division_65.0,-0.7646111005553594,0.4655149342754021,0.3434320462716267,0.09571166819053856,2.2641351689955593
strict,cox_clustered,cpv_division_66.0,-0.6893494627103258,0.501902469158796,0.06463616563883351,0.2415794834392194,1.0427462008009258
strict,cox_clustered,cpv_division_71.0,-0.6601515603188453,0.5167730062745228,0.005755672391027838,0.3234499009167139,0.8256435981496023
strict,cox_clustered,cpv_division_72.0,0.5965748798343745,1.8158885003970677,1.7627103472087024e-07,1.4516433899460293,2.2715296805759624
strict,cox_clustered,cpv_division_75.0,0.6455631337184371,1.907060657104654,0.5255880080367967,0.2598183231582385,13.997782395283366
strict,cox_clustered,cpv_division_77.0,-0.7187634520284033,0.487354520762668,0.26167559852511074,0.13892200611862937,1.7096962212379052
strict,cox_clustered,cpv_division_79.0,0.4572987868630423,1.579800837475679,0.13466744427548996,0.8677547334113196,2.876124543023207
strict,cox_clustered,cpv_division_80.0,-0.19040587904988052,0.8266235566622883,0.7945703350010354,0.19717773013518358,3.4654344786327616
strict,cox_clustered,cpv_division_85.0,-0.7825075360749165,0.4572579816593355,0.04430764817753521,0.2132921798003992,0.9802743916201372
strict,cox_clustered,cpv_division_9.0,-0.8928548131581875,0.4094850791282141,0.2055832851022166,0.10276130711662042,1.6317234057595966
strict,cox_clustered,cpv_division_90.0,1.7975490613632088,6.034838305286931,0.030777371912460164,1.181073573359167,30.835736394792114
strict,cox_clustered,cpv_division_92.0,0.9202273447351574,2.509860928747471,0.09064064953470098,0.8643998134077602,7.287602084061909
strict,cox_clustered,cpv_division_MISSING,0.9117026389546297,2.488556040750562,4.59975818616105e-10,1.8682097908648716,3.314890649989131
strict,cox_clustered,buyer_key_type_RAW_SIRET,0.15010392800935035,1.1619549961230462,0.626985447275211,0.6342738540904924,2.1286379760227083
no_temporal_score_reference_pool,cox_clustered,log_duration,-0.04786678354077286,0.9532607686436185,0.6084238399871975,0.7937495101808082,1.1448272803696322
no_temporal_score_reference_pool,cox_clustered,dur_was_imputed,-1.083336582793103,0.3384643252787468,1.1385018748116693e-07,0.22679134192356862,0.5051255418957077
no_temporal_score_reference_pool,cox_clustered,cpv_division_22.0,-1.4350724561812835,0.2380981117097312,0.00282027817724099,0.09284551534724288,0.6105918049753505
no_temporal_score_reference_pool,cox_clustered,cpv_division_30.0,-0.016277713898838544,0.9838540521671807,0.9333560989434415,0.6717991358973898,1.4408604361670814
no_temporal_score_reference_pool,cox_clustered,cpv_division_31.0,-1.6397723595564744,0.19402420502017506,1.3884848741789894e-05,0.09261222012028456,0.40648406964887757
no_temporal_score_reference_pool,cox_clustered,cpv_division_32.0,-0.09421961501933206,0.9100828724245461,0.5071408120876697,0.6889216684063749,1.2022423922249919
no_temporal_score_reference_pool,cox_clustered,cpv_division_33.0,1.3559164166257835,3.8803153132150077,0.01789415506987436,1.2630722691753946,11.92081189447762
no_temporal_score_reference_pool,cox_clustered,cpv_division_34.0,-1.5589269281904086,0.2103616833223033,0.0040983021412046745,0.07255887654694289,0.609877659579853
no_temporal_score_reference_pool,cox_clustered,cpv_division_35.0,0.05123471382315648,1.0525699170014882,0.842612641022787,0.6347550705543847,1.7454030405915388
no_temporal_score_reference_pool,cox_clustered,cpv_division_38.0,-1.581907630834422,0.20558254829562278,7.496326687695043e-09,0.1202264770000052,0.35153807396119774
no_temporal_score_reference_pool,cox_clustered,cpv_division_39.0,0.9853184723000926,2.6786648291435213,0.07008077009180294,0.9223607228475726,7.779218140098812
no_temporal_score_reference_pool,cox_clustered,cpv_division_42.0,-0.556404373945608,0.5732666149166502,0.4401901156947169,0.1395621657239009,2.3547543137739813
no_temporal_score_reference_pool,cox_clustered,cpv_division_43.0,-989.9758099039117,0.0,4.1728312784170813e-23,0.0,0.0
no_temporal_score_reference_pool,cox_clustered,cpv_division_44.0,0.12003358578253648,1.1275347200793615,0.8883272663597257,0.21111209066072503,6.022083060261982
no_temporal_score_reference_pool,cox_clustered,cpv_division_45.0,0.22848650329741865,1.2566965637576806,0.6054686453975813,0.5281030215666216,2.990488955498489
no_temporal_score_reference_pool,cox_clustered,cpv_division_48.0,0.24852595949181,1.2821341054871125,0.11147034894598369,0.9441069347403819,1.741188210745727
no_temporal_score_reference_pool,cox_clustered,cpv_division_50.0,-0.4084511639794169,0.6646789319728992,0.4155864755896753,0.24862638281636898,1.7769557582910989
no_temporal_score_reference_pool,cox_clustered,cpv_division_51.0,-1.891866204143976,0.15079014090735812,0.020376924967198087,0.03048268583403922,0.7459207078619812
no_temporal_score_reference_pool,cox_clustered,cpv_division_55.0,-1.639086576823768,0.19415730910472986,0.03560160836576556,0.0420953458395699,0.8955161176833506
no_temporal_score_reference_pool,cox_clustered,cpv_division_64.0,0.9323349269172301,2.5404339856237073,0.1512691325089578,0.7110455408653749,9.076499977002007
no_temporal_score_reference_pool,cox_clustered,cpv_division_65.0,-1.642392936261884,0.19351641534970485,0.03556398173444608,0.041840295855665115,0.8950367640559835
no_temporal_score_reference_pool,cox_clustered,cpv_division_66.0,0.5599089674658576,1.750513139395569,0.5732387666787637,0.24949970547657174,12.281762999853608
no_temporal_score_reference_pool,cox_clustered,cpv_division_71.0,-0.4461070157439794,0.6401152659846762,0.13978908675116414,0.3540716038266343,1.1572448886560789
no_temporal_score_reference_pool,cox_clustered,cpv_division_72.0,0.5820859440750777,1.7897678954076182,4.068118908136285e-09,1.4741875594348073,2.1729047290698373
no_temporal_score_reference_pool,cox_clustered,cpv_division_75.0,0.03368979144270738,1.0342637195034223,0.9699989489607792,0.17870848384991164,5.9857339642556795
no_temporal_score_reference_pool,cox_clustered,cpv_division_77.0,-1.408628609463214,0.24447832862815994,0.038213542352498735,0.06452305622242946,0.9263301627061098
no_temporal_score_reference_pool,cox_clustered,cpv_division_79.0,0.5841948852966665,1.7935463936141836,0.03198839833075663,1.05157000615556,3.0590532700783193
no_temporal_score_reference_pool,cox_clustered,cpv_division_80.0,-0.6970672617567966,0.4980437961456351,0.26671731296757983,0.145558473547948,1.7041098112192437
no_temporal_score_reference_pool,cox_clustered,cpv_division_85.0,-1.597567245160397,0.20238828065236558,2.818287734456528e-05,0.09582042579242538,0.42747687465044293
no_temporal_score_reference_pool,cox_clustered,cpv_division_9.0,-1.702944727834077,0.18214636208069765,0.020954530651459576,0.042912580056966326,0.7731368557935654
no_temporal_score_reference_pool,cox_clustered,cpv_division_90.0,0.7477124788801291,2.112162869011854,0.47503459776510315,0.2714712959326131,16.43353110282345
no_temporal_score_reference_pool,cox_clustered,cpv_division_92.0,0.25044693063328644,1.2845994152395912,0.6157700639686849,0.483038107647167,3.416284619182215
no_temporal_score_reference_pool,cox_clustered,cpv_division_MISSING,1.095817940059695,2.9916286558489174,6.728853579595332e-16,2.292979884477594,3.9031489439059897
no_temporal_score_reference_pool,cox_clustered,buyer_key_type_RAW_SIRET,0.30252360352085556,1.3532696179718553,0.3078885452983003,0.7565565621795984,2.420623586489956
forward_24m_no_duration,cox_clustered,log_duration,0.14902608079148408,1.160703260874051,0.03401976359949348,1.0113026096287263,1.3321750057564443
forward_24m_no_duration,cox_clustered,dur_was_imputed,-0.04386291612216198,0.9570851494243948,0.7381031588261759,0.740096015511721,1.2376934398374817
forward_24m_no_duration,cox_clustered,cpv_division_22.0,0.3711663592255185,1.4494241784148345,0.7528349211906367,0.1438508248272775,14.604229426532639
forward_24m_no_duration,cox_clustered,cpv_division_30.0,-0.3872022681626414,0.6789537503092898,0.0015852746566771634,0.5339422821042797,0.8633483627524738
forward_24m_no_duration,cox_clustered,cpv_division_31.0,-2.5690811342466224,0.07660590363544276,1.7542515765911523e-14,0.039724322306670945,0.14772975675955696
forward_24m_no_duration,cox_clustered,cpv_division_32.0,-0.09359763454198179,0.9106491022776679,0.3389417629298912,0.751685686925809,1.103229450690568
forward_24m_no_duration,cox_clustered,cpv_division_33.0,0.8758051987548603,2.4008076432250713,0.005878258390863626,1.2874007864698533,4.477142938193236
forward_24m_no_duration,cox_clustered,cpv_division_34.0,-2.6689156123336564,0.06932736229978838,3.743164299566149e-07,0.02476518476792556,0.19407418957240893
forward_24m_no_duration,cox_clustered,cpv_division_35.0,-0.30423832648228066,0.7376850356192814,0.15781036571396986,0.48364573336366,1.1251607824428889
forward_24m_no_duration,cox_clustered,cpv_division_38.0,-0.6591884763437663,0.517270941814001,0.28343486637820553,0.15509997246519874,1.7251403916604868
forward_24m_no_duration,cox_clustered,cpv_division_39.0,0.8615079820258937,2.3667269858326,0.007806070152109563,1.2545871518888567,4.464732973739626
forward_24m_no_duration,cox_clustered,cpv_division_42.0,-0.872768692797284,0.41779320539991577,0.10311380778880466,0.1462773055833545,1.193289429158033
forward_24m_no_duration,cox_clustered,cpv_division_43.0,1.9126932959198564,6.771301379965166,1.3108304327865272e-20,4.52633706127128,10.129718966497041
forward_24m_no_duration,cox_clustered,cpv_division_44.0,-0.5929581078337802,0.5526899477546753,0.41258753011843685,0.1338047975641045,2.2829239602019507
forward_24m_no_duration,cox_clustered,cpv_division_45.0,-0.10923189399596274,0.8965224952073176,0.699270046108283,0.5150808830098046,1.5604395560482398
forward_24m_no_duration,cox_clustered,cpv_division_48.0,0.11338959175942016,1.120068217304123,0.19851386598256962,0.9422805491646287,1.331400518165264
forward_24m_no_duration,cox_clustered,cpv_division_50.0,-0.4432915654694015,0.6419200180888048,0.09294904042452112,0.3827235078227186,1.0766553430890964
forward_24m_no_duration,cox_clustered,cpv_division_51.0,-2.55772915659756,0.07748048687390091,0.0005150420377354932,0.018292837281996367,0.3281735771041405
forward_24m_no_duration,cox_clustered,cpv_division_55.0,-2.5681688664278743,0.07667582062271529,0.00038413283608204103,0.018578295606395446,0.31645429660097263
forward_24m_no_duration,cox_clustered,cpv_division_64.0,0.401922526105591,1.4946955283066592,0.32991187831783486,0.665898786683719,3.3550364815442397
forward_24m_no_duration,cox_clustered,cpv_division_65.0,-2.568168866427859,0.07667582062271648,0.0003861971948820542,0.018567829116351253,0.31663267856066457
forward_24m_no_duration,cox_clustered,cpv_division_66.0,-0.07457444755312645,0.9281383738559484,0.9097362751781105,0.2556823791919328,3.369183452322725
forward_24m_no_duration,cox_clustered,cpv_division_71.0,-0.20607012251998474,0.8137760102575949,0.40468129722513335,0.5011932847391731,1.3213093930725792
forward_24m_no_duration,cox_clustered,cpv_division_72.0,0.44723383157645324,1.5639799644333479,6.886353289623732e-10,1.3568080844170156,1.8027850491471176
forward_24m_no_duration,cox_clustered,cpv_division_75.0,-0.6868932953875062,0.5031367407710821,0.38311447282319455,0.10747525248093914,2.3553941402337517
forward_24m_no_duration,cox_clustered,cpv_division_77.0,1.2905902608101596,3.634931480258507,3.93395988586371e-34,2.9533099351811942,4.473870726799848
forward_24m_no_duration,cox_clustered,cpv_division_79.0,-0.392692988355119,0.6752360210883329,0.1431506053733854,0.3991720001985756,1.1422236127493557
forward_24m_no_duration,cox_clustered,cpv_division_80.0,-1.0409652080050007,0.35311368926126235,0.06965618980472889,0.1146805069072085,1.0872752563309582
forward_24m_no_duration,cox_clustered,cpv_division_85.0,-2.504424707912211,0.08172259882889028,2.292423576390763e-14,0.042959680608216005,0.1554616576472048
forward_24m_no_duration,cox_clustered,cpv_division_9.0,-2.55772915659758,0.07748048687389936,0.0004786304204111814,0.018441864865006596,0.3255216264819075
forward_24m_no_duration,cox_clustered,cpv_division_90.0,-2.7573275473324945,0.06346113883130529,6.634288480566955e-13,0.029917804014965084,0.13461269215319793
forward_24m_no_duration,cox_clustered,cpv_division_92.0,0.18732146241339656,1.2060149112069156,0.7330407583502487,0.41103301508814705,3.5385769820497495
forward_24m_no_duration,cox_clustered,cpv_division_MISSING,0.00019284893101876045,1.0001928675275693,0.9986106604830275,0.8050300776841703,1.242668814475642
forward_24m_no_duration,cox_clustered,buyer_key_type_RAW_SIRET,-0.014513030709700761,0.9855917756883931,0.9407713369559387,0.6720981433490485,1.4453114592225793
window_9m,cox_clustered,log_duration,-0.16346272140490664,0.849198155325715,0.06253788404860948,0.714992785575122,1.0085941027062704
window_9m,cox_clustered,dur_was_imputed,-1.1090580341928968,0.3298695406026292,1.298744852811634e-09,0.23054476674341118,0.47198605006070676
window_9m,cox_clustered,cpv_division_22.0,2.247171974552099,9.460942182395325,0.028075580504462228,1.2734694592881284,70.28784736515246
window_9m,cox_clustered,cpv_division_30.0,-0.07956048641886608,0.9235221577311055,0.6016422185996018,0.6850491074779278,1.2450102722713159
window_9m,cox_clustered,cpv_division_31.0,0.04130805022953956,1.042173097764064,0.9697240387940272,0.12345997246562339,8.797383832282723
window_9m,cox_clustered,cpv_division_32.0,-0.039086461382684616,0.9616675584449701,0.7916742800793873,0.7195581904767083,1.2852393388126477
