source_notice_id,candidate_notice_id,candidate_rank,m0_composite_score,in_balanced_linked_set,posterior_M
15-115988,18-91090,4,0.2737847368477915,False,0.004461561286939068
15-115988,18-40625,5,0.2055241948312831,False,0.0007212043241021283
15-115988,18-117389,6,0.1493789343139485,False,0.003628922350456472
15-115988,18-30024,7,0.1246998710709804,False,0.0033712853327810834
15-115988,19-8916,8,0.0861038507117881,False,0.003647237584736355
15-115988,19-11075,9,0.0718646818176162,False,0.004205237291820857
15-115991,20-8882,1,0.6618801364484657,True,0.999999999999
15-118979,19-130357,1,0.5292948828999324,True,0.026663473903504514
15-118979,19-71137,2,0.5274729550488548,False,0.999999999999
15-118979,19-145053,3,0.3888851105405898,False,0.0022674750693451825
15-118979,19-99281,4,0.3262623259263763,False,0.004411607305648801
15-118979,19-174809,5,0.3102804679274355,False,0.002309380668781732
15-118979,19-159320,6,0.3025682272755784,False,0.0007438996762257148
15-118979,19-90783,7,0.2851749546127741,False,0.0004827575256627393
15-118979,19-15392,8,0.1408496482024443,False,0.0008679774530517439
15-118979,20-13755,9,0.1223005346747859,False,0.001353045359995347
15-118979,19-19933,10,0.0771915666355987,False,0.004181896382983845
15-121163,16-3447,1,0.3120932694737275,False,0.0005414505121475118
15-126308,16-10649,1,0.4413240625187826,True,0.023279185833480195
15-129133,16-97484,1,0.2878891096664839,False,0.00046253423558322926
15-129133,15-169941,2,0.1152114827641485,False,0.0007843456777065497
15-132610,15-164088,1,0.2444908258686772,False,0.0007557384910536052
15-132610,15-142860,2,0.1463492690694432,False,0.0005216343652901195
15-132610,15-140619,3,0.1454223917697519,False,0.0005373453935942455
15-136102,18-158087,1,0.7585660963415759,True,0.999999999999
15-136102,18-108773,2,0.3497653905767232,False,0.0006583799572915445
15-136102,18-96257,3,0.295044437119594,False,0.00466006512153141
15-136371,20-52846,1,0.3121263210019182,False,0.000646908699298471
15-137458,18-158087,1,0.6461429812407118,True,0.999999999999
15-137458,18-108773,2,0.3402169405346236,False,0.0006068574629025228
15-137458,18-96257,3,0.2852096041806362,False,0.004274173062561579
15-139094,19-141668,1,0.4286355597058081,True,0.015948762987310763
15-139094,20-72017,2,0.3506580673087069,False,0.04388158205431495
15-139094,19-108347,3,0.110576067266307,False,0.004311797150240308
15-139179,16-68672,1,0.3580407071965413,True,0.0012069780102534193
15-139179,15-184750,2,0.3173280876280358,False,0.0011979369691500652
15-139179,15-153858,3,0.2004426156029322,False,0.0007688647781296547
15-139179,16-92101,4,0.2003645053326163,False,0.0005715959975518641
15-139462,19-146419,1,0.2977233107549011,False,0.999999999999
15-140619,19-104228,1,0.2557631350426623,False,0.0036249245979474275
15-140619,19-185562,2,0.2544036344477799,False,0.004727285102619733
15-140966,16-101519,1,0.4233088687279372,True,0.002536122638987794
15-141361,19-177480,1,0.3931417074864605,True,0.999999999999
15-141361,20-32737,2,0.3894678055190539,False,0.999999999999
