candidate_notice_id,times_selected,buyer_match_mechanism
25-138044,2,EXACT_SIRET_RECONCILIATION;SAME_SIREN_RECONCILIATION
21-67771,2,HISTORICAL_ALIAS_RECONCILIATION
25-129489,2,EXACT_SIRET_RECONCILIATION
17-152907,2,M0_NAME_FALLBACK
18-6802,2,M0_NAME_FALLBACK
22-69952,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
21-156348,2,HISTORICAL_ALIAS_RECONCILIATION
21-83160,2,HISTORICAL_ALIAS_RECONCILIATION
24-139412,2,EXACT_SIRET_RECONCILIATION;SAME_SIREN_RECONCILIATION
21-157552,2,HISTORICAL_ALIAS_RECONCILIATION
22-51860,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
25-38470,2,EXACT_SIRET_RECONCILIATION
26-6827,2,SAME_SIREN_RECONCILIATION
25-15910,2,SAME_SIREN_RECONCILIATION
22-7823,2,HISTORICAL_ALIAS_RECONCILIATION
25-18090,2,SAME_SIREN_RECONCILIATION
21-122032,2,M0_NAME_FALLBACK
25-63108,2,SAME_SIREN_RECONCILIATION
21-76512,2,HISTORICAL_ALIAS_RECONCILIATION
17-39483,2,HISTORICAL_ALIAS_RECONCILIATION
21-138241,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
20-91517,2,M0_NAME_FALLBACK
19-114994,2,HISTORICAL_ALIAS_RECONCILIATION
23-106776,2,EXACT_SIRET_RECONCILIATION
23-43054,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
24-3636,2,HISTORICAL_ALIAS_RECONCILIATION
24-127069,2,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
25-25051,2,EXACT_SIRET_RECONCILIATION
25-99444,2,HISTORICAL_ALIAS_RECONCILIATION
24-119150,2,M0_NAME_FALLBACK
26-49296,2,HISTORICAL_ALIAS_RECONCILIATION
25-30282,2,HISTORICAL_ALIAS_RECONCILIATION
24-127528,2,M0_NAME_FALLBACK
23-176813,2,M0_NAME_FALLBACK
20-122198,2,M0_NAME_FALLBACK
24-39718,2,M0_NAME_FALLBACK
24-35694,2,HISTORICAL_ALIAS_RECONCILIATION
20-118393,2,HISTORICAL_ALIAS_RECONCILIATION
20-152526,2,HISTORICAL_ALIAS_RECONCILIATION
24-126812,2,M0_NAME_FALLBACK
24-71416,2,HISTORICAL_ALIAS_RECONCILIATION
24-31691,2,M0_NAME_FALLBACK
22-159813,2,HISTORICAL_ALIAS_RECONCILIATION
22-39891,2,M0_NAME_FALLBACK
18-149893,2,M0_NAME_FALLBACK
26-60185,2,M0_NAME_FALLBACK
22-52027,2,M0_NAME_FALLBACK
23-34018,2,HISTORICAL_ALIAS_RECONCILIATION
22-150264,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
25-111133,2,HISTORICAL_ALIAS_RECONCILIATION
23-171468,2,HISTORICAL_ALIAS_RECONCILIATION
25-76461,2,HISTORICAL_ALIAS_RECONCILIATION
23-154026,2,EXACT_SIRET_RECONCILIATION
23-96123,2,M0_NAME_FALLBACK
25-111645,2,HISTORICAL_ALIAS_RECONCILIATION
22-6934,2,M0_NAME_FALLBACK
25-123316,2,SAME_SIREN_RECONCILIATION
24-57038,2,EXACT_SIRET_RECONCILIATION
25-100736,2,SAME_SIREN_RECONCILIATION
25-124007,2,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
23-174149,2,EXACT_SIRET_RECONCILIATION
24-66729,2,HISTORICAL_ALIAS_RECONCILIATION
25-140719,2,HISTORICAL_ALIAS_RECONCILIATION;SAME_SIREN_RECONCILIATION
20-4011,2,M0_NAME_FALLBACK
15-126308,2,HISTORICAL_ALIAS_RECONCILIATION
21-91773,2,HISTORICAL_ALIAS_RECONCILIATION
20-6485,2,M0_NAME_FALLBACK
20-97584,2,HISTORICAL_ALIAS_RECONCILIATION
20-16042,2,HISTORICAL_ALIAS_RECONCILIATION
20-8882,2,M0_NAME_FALLBACK
17-108459,2,HISTORICAL_ALIAS_RECONCILIATION
20-110309,2,HISTORICAL_ALIAS_RECONCILIATION
20-31844,2,M0_NAME_FALLBACK
21-88219,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
20-150503,2,EXACT_SIRET_RECONCILIATION;HISTORICAL_ALIAS_RECONCILIATION
19-87510,2,HISTORICAL_ALIAS_RECONCILIATION
21-27874,2,HISTORICAL_ALIAS_RECONCILIATION
16-68672,2,HISTORICAL_ALIAS_RECONCILIATION
20-52846,2,HISTORICAL_ALIAS_RECONCILIATION
15-56571,2,M0_NAME_FALLBACK
19-141668,2,HISTORICAL_ALIAS_RECONCILIATION
19-185562,2,HISTORICAL_ALIAS_RECONCILIATION
21-38984,2,HISTORICAL_ALIAS_RECONCILIATION
25-84924,2,SAME_SIREN_RECONCILIATION
19-70735,2,EXACT_SIRET_RECONCILIATION
19-130357,2,HISTORICAL_ALIAS_RECONCILIATION
20-70265,2,EXACT_SIRET_RECONCILIATION
15-190662,2,M0_NAME_FALLBACK
20-2441,2,HISTORICAL_ALIAS_RECONCILIATION
