nom_acheteur,site_profil_acheteur,site_proposition,date_dernier_avis,dernier_site_en_date,profile_row_id,profile_buyer_name_raw,profile_buyer_name_normalized,date_dernier_avis_parsed,dernier_site_en_date_bool,profile_raw_value,profile_domain_normalized,profile_registered_domain,profile_subdomain,profile_url_valid,profile_is_email,profile_has_multiple_values,profile_normalization_status,profile_normalization_warning,participation_raw_value,participation_domain_normalized,participation_registered_domain,participation_subdomain,participation_url_valid,participation_is_email,participation_has_multiple_values,participation_normalization_status,participation_normalization_warning
Gpmt commandes Commune CCAS MONTFORT,marches.megalisbretagne.org,marches.megalisbretagne.org,2020-07-02,1,11718,Gpmt commandes Commune CCAS MONTFORT,gpmt commandes commune ccas montfort,2020-07-02,True,marches.megalisbretagne.org,marches.megalisbretagne.org,megalisbretagne.org,marches,True,False,False,OK_WITH_WARNING,missing_protocol,marches.megalisbretagne.org,marches.megalisbretagne.org,megalisbretagne.org,marches,True,False,False,OK_WITH_WARNING,missing_protocol
Gpt Cdes CNE ST ANDRE DE CORCY/SEMCODA,www.achatpublic.com,,2015-10-26,1,11719,Gpt Cdes CNE ST ANDRE DE CORCY/SEMCODA,gpt cdes cne st andre de corcy semcoda,2015-10-26,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Gpt Cdes SEMCODA/CNE EVEUX,www.achatpublic.com,,2018-02-15,1,11720,Gpt Cdes SEMCODA/CNE EVEUX,gpt cdes semcoda cne eveux,2018-02-15,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Gpt Commandes Epicerie Lycée Faidherbe,www.achatpublic.com,,2015-10-15,1,11721,Gpt Commandes Epicerie Lycée Faidherbe,gpt commandes epicerie lycee faidherbe,2015-10-15,True,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Gpt collèges et lycées du finistère,ga29.e-marchespublics.com,,2019-01-10,1,11722,Gpt collèges et lycées du finistère,gpt colleges et lycees du finistere,2019-01-10,True,ga29.e-marchespublics.com,ga29.e-marchespublics.com,e-marchespublics.com,ga29,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Gpt de cde Com. de Gy et CC Monts Gy,marchesonline.achatpublic.com,,2017-09-10,1,11723,Gpt de cde Com. de Gy et CC Monts Gy,gpt de cde com de gy et cc monts gy,2017-09-10,True,marchesonline.achatpublic.com,marchesonline.achatpublic.com,achatpublic.com,marchesonline,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Auch Agglomération,www.marches-securises.fr,,2017-03-24,1,11724,Grand Auch Agglomération,grand auch agglomeration,2017-03-24,True,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,www.marches.grandbesancon.fr,,2020-01-01,1,11725,Grand Besançon,grand besancon,2020-01-01,True,www.marches.grandbesancon.fr,marches.grandbesancon.fr,grandbesancon.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,www.marches-securises.fr,,2019-10-30,0,11726,Grand Besançon,grand besancon,2019-10-30,False,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,marches.grandbesancon.fr,,2019-05-11,0,11727,Grand Besançon,grand besancon,2019-05-11,False,marches.grandbesancon.fr,marches.grandbesancon.fr,grandbesancon.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,marches-securises.fr,,2019-02-20,0,11728,Grand Besançon,grand besancon,2019-02-20,False,marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,,,,,False,False,False,MISSING,empty
Grand Besançon,www:,,2018-04-27,0,11729,Grand Besançon,grand besancon,2018-04-27,False,www:,www,,,False,False,False,MALFORMED,missing_protocol;invalid_domain,,,,,False,False,False,MISSING,empty
