notice_id,publication_date,notice_type_normalized,buyer_name_raw,buyer_name_normalized,buyer_legal_name_enriched_display,buyer_siret_raw,buyer_siret_clean,buyer_siren_from_boamp_siret,buyer_siren_enriched,buyer_siren_enriched_raw,code_departement,enrichment_department_raw,url_avis,enrichment_boamp_url,buyer_legal_category_enriched,buyer_legal_category_sirene,buyer_legal_status_enriched
24-37702,2024-03-31,APPEL_OFFRE,"SGAMI Sud-Est
Direction de l'administration générale et des finances
BUREAU DE L'ACHAT ET DE LA COMMANDE PUBLIQUE",sgami sud-est direction de l administration generale et des finances bureau de l achat et de la commande publique,MINISTERE DE L'INTERIEUR,11000201100044,11000201100044,110002011,110014016,110014016,69;38;93;77;37;31;27;44;34,"69,38,93,77,37,31,27,44,34",https://www.boamp.fr/pages/avis/?q=idweb:24-37702,https://www.boamp.fr/pages/avis/?q=idweb:24-37702,Ministère ,7113,A
24-38119,2024-03-31,APPEL_OFFRE,Nantes Métropole,nantes metropole,METROPOLE NANTES METROPOLE,17440005100010,17440005100010,174400051,244400404,244400404,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-38119,https://www.boamp.fr/pages/avis/?q=idweb:24-38119,Métropole,7344,A
24-28746,2024-03-10,ATTRIBUTION,COMMUNES DE MOUCHAMPS,communes de mouchamps,COMMUNE DE MOUCHAMPS,13001200800079,13001200800079,130012008,218501534,218501534,85,85,https://www.boamp.fr/pages/avis/?q=idweb:24-28746,https://www.boamp.fr/pages/avis/?q=idweb:24-28746,Commune et commune nouvelle ,7210,A
24-31595,2024-03-17,ATTRIBUTION,VILLE DE CHOLET,ville de cholet,COMMUNE DE CHOLET,33397510000061,33397510000061,333975100,214900995,214900995,49;44;85;79,"49,44,85,79",https://www.boamp.fr/pages/avis/?q=idweb:24-31595,https://www.boamp.fr/pages/avis/?q=idweb:24-31595,Commune et commune nouvelle ,7210,A
24-24924,2024-03-01,APPEL_OFFRE,REGION PAYS DE LA LOIRE,region pays de la loire,REGION DES PAYS DE LA LOIRE,17440005100010,17440005100010,174400051,234400034,234400034,44;49;53;72;85,"44,49,53,72,85",https://www.boamp.fr/pages/avis/?q=idweb:24-24924,https://www.boamp.fr/pages/avis/?q=idweb:24-24924,Région ,7230,A
24-27619,2024-03-07,APPEL_OFFRE,GIE SESAM VITALE,gie sesam vitale,GIE SESAM VITALE,17440005100010,17440005100010,174400051,391722881,391722881,72,72,https://www.boamp.fr/pages/avis/?q=idweb:24-27619,https://www.boamp.fr/pages/avis/?q=idweb:24-27619,Groupement d'intérêt économique (GIE) ,6220,A
24-27623,2024-03-07,APPEL_OFFRE,CETIM,cetim,CETIM,17800111100321,17800111100321,178001111,775629074,775629074,44;49;53;72;75;60;92;78;95,"44,49,53,72,75,60,92,78,95",https://www.boamp.fr/pages/avis/?q=idweb:24-27623,https://www.boamp.fr/pages/avis/?q=idweb:24-27623,Centre technique industriel ou comité professionnel du développement économique ,8470,A
24-34462,2024-03-24,APPEL_OFFRE,PFC OUEST RENNES,pfc ouest rennes,MINISTERE DES ARMEES ET DES ANCIENS COMBATTANTS,11000201100044,11000201100044,110002011,110090016,110090016,49;35,"49,35",https://www.boamp.fr/pages/avis/?q=idweb:24-34462,https://www.boamp.fr/pages/avis/?q=idweb:24-34462,Ministère ,7113,A
24-32913,2024-03-20,ATTRIBUTION,NANTES UNIVERSITE,nantes universite,NANTES UNIVERSITE,17440005100010,17440005100010,174400051,130029747,130029747,44;85;49;56,"44,85,49,56",https://www.boamp.fr/pages/avis/?q=idweb:24-32913,https://www.boamp.fr/pages/avis/?q=idweb:24-32913,Établissement public national à caractère scientifique culturel et professionnel ,7383,A
24-33186,2024-03-21,APPEL_OFFRE,Nantes Métropole,nantes metropole,METROPOLE NANTES METROPOLE,17440005100010,17440005100010,174400051,244400404,244400404,44,44,https://www.boamp.fr/pages/avis/?q=idweb:24-33186,https://www.boamp.fr/pages/avis/?q=idweb:24-33186,Métropole,7344,A
