source_notice_id,publication_year,cpv_division,buyer_key,buyer_key_type,duration_status,buyer_publication_frequency,n_later_same_buyer_sources,n_later_same_buyer_in_temporal_window,n_scored_candidates,best_score,second_best_score,score_margin,source_has_only_one_candidate,selected_candidate_notice_id,selected_candidate_multiplicity,zero_candidate_cause
16-161272,2016,72,NAME:arafer,NAME_FALLBACK,imputed,11,6,1,1,0.2412583656451413,,0.2412583656451413,True,21-20759,6,has_candidates
16-184750,2016,72,NAME:arafer,NAME_FALLBACK,imputed,11,5,1,1,0.3124288148957151,,0.3124288148957151,True,21-20759,6,has_candidates
17-15162,2017,72,NAME:arafer,NAME_FALLBACK,imputed,11,4,1,1,0.417607467703836,,0.417607467703836,True,21-20759,6,has_candidates
17-58113,2017,72,NAME:arafer,NAME_FALLBACK,imputed,11,3,1,1,0.2731758519913801,,0.2731758519913801,True,21-20759,6,has_candidates
17-68883,2017,72,NAME:arafer,NAME_FALLBACK,imputed,11,2,1,1,0.2444307797180555,,0.2444307797180555,True,21-20759,6,has_candidates
18-160502,2018,48,NAME:arafer,NAME_FALLBACK,imputed,11,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
21-20759,2021,72,NAME:arafer,NAME_FALLBACK,imputed,11,0,0,0,,,,False,,0,no_later_same_buyer_notice
19-52455,2019,48,NAME:ars pays de la loire,NAME_FALLBACK,imputed,2,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
21-52732,2021,32,NAME:ars pays de la loire,NAME_FALLBACK,imputed,2,0,0,0,,,,False,,0,no_later_same_buyer_notice
17-102214,2017,,NAME:assoc office tourisme intercommunal pa,NAME_FALLBACK,imputed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
16-64280,2016,72,NAME:association e-toile,NAME_FALLBACK,imputed,3,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
16-98835,2016,72,NAME:association e-toile,NAME_FALLBACK,imputed,3,1,1,1,0.549859119391592,,0.549859119391592,True,20-65717,1,has_candidates
20-65717,2020,72,NAME:association e-toile,NAME_FALLBACK,imputed,3,0,0,0,,,,False,,0,no_later_same_buyer_notice
18-125410,2018,32,NAME:association songo,NAME_FALLBACK,imputed,2,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
19-17531,2019,32,NAME:association songo,NAME_FALLBACK,imputed,2,0,0,0,,,,False,,0,no_later_same_buyer_notice
24-104157,2024,30,NAME:atlantic eau,NAME_FALLBACK,observed,1,0,0,0,,,,False,,0,no_later_same_buyer_notice
24-116379,2024,,NAME:audencia eesc,NAME_FALLBACK,observed,4,3,3,3,0.3128639907852761,0.3069900682333017,0.0058739225519743,False,25-87479,1,has_candidates
25-7776,2025,72,NAME:audencia eesc,NAME_FALLBACK,observed,4,2,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
25-35036,2025,72,NAME:audencia eesc,NAME_FALLBACK,observed,4,1,0,0,,,,False,,0,temporal_window_excluded_all_later_same_buyer
25-87479,2025,,NAME:audencia eesc,NAME_FALLBACK,observed,4,0,0,0,,,,False,,0,no_later_same_buyer_notice
