domain_normalized,registered_domain,observation_count,distinct_profile_buyer_names,dominant_buyer_normalized,dominant_buyer_share,buyer_entropy,domain_specificity
agysoft.marcoweb.fr,marcoweb.fr,20,14,cc riom limagne et volcans,0.15,3.684183719779189,AMBIGUOUS
marches-publics.allier.fr,allier.fr,20,14,commune de buxieres les mines,0.1,3.721928094887362,AMBIGUOUS
marchespublics.pro,marchespublics.pro,20,13,mairie de soissons,0.15,3.584183719779189,AMBIGUOUS
acoss.achatpublic.com,achatpublic.com,20,9,acoss,0.6,2.170950594454669,GENERIC_PLATFORM
pdlpi.achatpublic.com,achatpublic.com,20,2,agence regionale pays de la loire ti,0.6,0.9709505944546686,GENERIC_PLATFORM
segard.achatpublic.com,achatpublic.com,19,19,cc beaucaire terre d argence,0.05263157894736842,4.247927513443585,GENERIC_PLATFORM
sempaco.marcoweb.fr,marcoweb.fr,19,18,syndicat mixte de traitement et de tri,0.10526315789473684,4.142664355548848,GENERIC_PLATFORM
marches-ardennes.fr,marches-ardennes.fr,19,16,cc de l argonne ardennaise,0.10526315789473684,3.9321380397593746,GENERIC_PLATFORM
marchespublics.eure.fr,eure.fr,19,14,mairie,0.15789473684210525,3.6818808028034016,AMBIGUOUS
cnieg.e-marchespublics.com,e-marchespublics.com,19,1,cnieg,1.0,-0.0,GENERIC_PLATFORM
diplomatie.gouv.fr,diplomatie.gouv.fr,19,1,ministere des affaires etrangeres,1.0,-0.0,BUYER_SPECIFIC
ville-bouguenais.e-marchespublics.com,e-marchespublics.com,19,1,ville de bouguenais,1.0,-0.0,GENERIC_PLATFORM
cigversailles.marches-publics.info,marches-publics.info,18,17,commune de beynes,0.1111111111111111,4.058813890331201,GENERIC_PLATFORM
amf28.org,amf28.org,18,16,syndicat mixte des trois rivieres,0.1111111111111111,3.94770277922009,GENERIC_PLATFORM
marches-publics.info46.com,info46.com,18,15,sce departemental incendie et secours,0.1111111111111111,3.8365916681089787,GENERIC_PLATFORM
eurolegales.marches-demat.com,marches-demat.com,18,12,s i e a de fontoy-vallee de la fensch,0.16666666666666666,3.4613201402110083,AMBIGUOUS
marches-publics.herault.fr,herault.fr,18,11,conseil departemental de l herault,0.16666666666666666,3.350209029099897,AMBIGUOUS
marches.agglo-chartres.fr,agglo-chartres.fr,17,14,commune de mainvilliers,0.17647058823529413,3.6901165175936654,AMBIGUOUS
marchespublics.nord-sante.org,nord-sante.org,17,14,centre hospitalier de douai,0.11764705882352941,3.7345216647797517,AMBIGUOUS
marchessecurises.fr,marchessecurises.fr,17,14,ville de saint-hilaire-de-riez,0.17647058823529413,3.6901165175936654,AMBIGUOUS
sdis85.e-marchespublics.com,e-marchespublics.com,17,1,sdis 85,1.0,-0.0,GENERIC_PLATFORM
amhr.fr,amhr.fr,16,14,communaute de communes de la vallee,0.125,3.75,AMBIGUOUS
marche-securises.fr,marche-securises.fr,16,12,syndicat departemental d energie,0.25,3.375,AMBIGUOUS
marches.grandbesancon.fr,grandbesancon.fr,16,11,ville de besancon,0.25,3.25,AMBIGUOUS
unicancer.e-marchespublics.com,e-marchespublics.com,16,9,unicancer achats,0.375,2.7806390622295662,GENERIC_PLATFORM
arafer.fr,arafer.fr,16,2,arafer,0.9375,0.3372900666170139,HIGHLY_CONCENTRATED
agglo-niort.fr,agglo-niort.fr,16,1,communaute d agglomeration du niortais,1.0,-0.0,BUYER_SPECIFIC
maugescommunaute.e-marchespublics.com,e-marchespublics.com,16,1,mauges communaute,1.0,-0.0,GENERIC_PLATFORM
