source_notice_id,publication_date,publication_year,cpv_division,buyer_key,buyer_key_type,buyer_key_provenance,duration_months,duration_imputation_status,estimated_end_date,observable_followup_months,buyer_publication_frequency,later_same_buyer_notice_count,later_same_buyer_in_m0_window_count,m0_candidate_count,m0_best_candidate_notice_id,m0_best_score,m0_second_best_score,m0_score_margin,m0_accepted,m0_selected_candidate_notice_id,m0_selected_candidate_reuse_count,m1_candidate_count,m1_accepted,m1_selected_candidate_notice_id,m1_selected_candidate_reuse_count,m1_buyer_match_mechanism,profile_audited_link_present,profile_evidence_status,primary_linkage_status_reason,secondary_diagnostic_flags
18-90932,2018-07-01,2018,72,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2022-07-01,96.38633377135348,6,1,0,0,,,,,False,,0,0,False,,0,,False,,later_same_buyer_notice_outside_m0_window,later_same_buyer_outside_m0_window
19-41352,2019-03-15,2019,,NAME:agence regionale pays de la loire ti,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2019-09-15,87.94349540078844,6,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
19-22390,2019-02-13,2019,48,NAME:agrocampus ouest,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2023-06-07,88.92904073587384,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
15-39486,2015-03-16,2015,,NAME:altantic eau,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2015-09-16,135.90670170827858,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
17-172862,2017-12-08,2017,72,NAME:alter public,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2021-12-08,103.12089356110381,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
17-178366,2017-12-19,2017,,NAME:angers loire developpement,NAME_FALLBACK,NAME_FALLBACK,6.0,imputed,2018-06-19,102.75952693823915,1,0,0,0,,,,,False,,0,0,False,,0,,False,,no_later_same_buyer_notice_observed,no_later_same_buyer_notice
15-69497,2015-05-06,2015,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-05-06,134.23127463863338,61,60,8,8,19-85688,0.4112598828756841,0.3648496022103487,0.0464102806653354,True,19-85688,1,8,True,19-85688,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1
15-74861,2015-05-18,2015,48,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-05-18,133.83705650459922,61,59,10,10,19-47186,0.2968254027680282,0.2872676827098297,0.0095577200581985,False,,0,10,False,,0,,False,,candidate_pool_below_balanced_threshold,ambiguous_multiple_candidates;low_top1_top2_margin
15-96870,2015-06-25,2015,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-06-25,132.58869908015768,61,58,9,9,19-136955,0.5046014016644765,0.3452082288505036,0.1593931728139729,True,19-136955,3,9,True,19-136955,4,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1;selected_candidate_reused
15-115988,2015-07-27,2015,32,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,36.0,imputed,2018-07-27,131.53745072273324,61,57,9,9,18-25585,0.3422175988129948,0.3047595731793785,0.0374580256336162,True,18-25585,1,9,True,18-25585,1,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;low_top1_top2_margin;same_candidate_m0_m1
15-165050,2015-10-29,2015,72,NAME:angers loire metropole,NAME_FALLBACK,NAME_FALLBACK,48.0,imputed,2019-10-29,128.44940867279894,61,56,7,7,19-136955,0.8454957718359251,0.3571845080588566,0.4883112637770684,True,19-136955,3,7,True,19-136955,4,HISTORICAL_ALIAS_RECONCILIATION,True,STRONG_SUPPORT,linked_m0_balanced_proxy_event,ambiguous_multiple_candidates;same_candidate_m0_m1;selected_candidate_reused
