profile_row_id,domain_source,profile_buyer_name_raw,profile_buyer_name_normalized,url_raw,domain_normalized,registered_domain,subdomain,url_valid,is_email,has_multiple_values,normalization_status,normalization_warning,date_dernier_avis,dernier_site_en_date
63,profile,ADAPEI PAPILLONS BLANCS D ALSACE,adapei papillons blancs d alsace,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-07-04,True
64,profile,ADAPEI PAPILLONS BLANCS D'ALSACE,adapei papillons blancs d alsace,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-03-21,True
65,profile,ADAPEI du Doubs,adapei du doubs,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-04-22,True
66,profile,ADASA 17,adasa 17,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-04-20,True
67,profile,ADEF,adef,marchesonline.achatpublic.com,marchesonline.achatpublic.com,achatpublic.com,marchesonline,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-24,True
68,profile,ADEME,ademe,www.marches-publics.gouv.fr,marches-publics.gouv.fr,marches-publics.gouv.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-04-11,True
69,profile,ADEME,ademe,www.ademe.fr,ademe.fr,ademe.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2018-02-16,False
70,profile,ADEME,ademe,demat.centraledesmarches.com,demat.centraledesmarches.com,centraledesmarches.com,demat,True,False,False,OK_WITH_WARNING,missing_protocol,2017-05-04,False
71,profile,ADN Nevers,adn nevers,www.marches.ternum-bfc.fr,marches.ternum-bfc.fr,ternum-bfc.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,2020-10-30,True
72,profile,ADN Nevers,adn nevers,www.e-bourgogne.fr,e-bourgogne.fr,e-bourgogne.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-04-09,False
73,profile,ADN Nevers,adn nevers,marches.e-bourgogne.fr,marches.e-bourgogne.fr,e-bourgogne.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,2018-03-06,False
74,profile,ADN Nevers,adn nevers,www.agglo-nevers.net,agglo-nevers.net,agglo-nevers.net,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-03-08,False
75,profile,ADOMA,adoma,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-04-03,True
76,profile,ADRT Tourisme Creuse,adrt tourisme creuse,ressources-tourismecreuse.com,ressources-tourismecreuse.com,ressources-tourismecreuse.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-19,True
77,profile,ADT 71,adt 71,marches.e-bourgogne.fr,marches.e-bourgogne.fr,e-bourgogne.fr,marches,True,False,False,OK_WITH_WARNING,missing_protocol,2018-12-19,True
78,profile,ADVIVO,advivo,agysoft.marches-publics.info,agysoft.marches-publics.info,marches-publics.info,agysoft,True,False,False,OK_WITH_WARNING,missing_protocol,2020-06-07,True
79,profile,AEFE,aefe,aefe.e-marchespublics.com,aefe.e-marchespublics.com,e-marchespublics.com,aefe,True,False,False,OK_WITH_WARNING,missing_protocol,2015-09-10,True
80,profile,AEROPORT DE LA REUNION ROLAND GARROS,aeroport de la reunion roland garros,www.marches-securises.fr,marches-securises.fr,marches-securises.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-09-30,True
81,profile,AFLD,afld,www.klekoon.com,klekoon.com,klekoon.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2020-01-24,True
82,profile,AFLD,afld,klekoon.com,klekoon.com,klekoon.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-12-13,False
83,profile,AFLD,afld,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-04-22,False
84,profile,AFPA,afpa,afpa.e-marchespublics.com,afpa.e-marchespublics.com,e-marchespublics.com,afpa,True,False,False,OK_WITH_WARNING,missing_protocol,2020-08-02,True
85,profile,AFR,afr,www.cany-barville.fr,cany-barville.fr,cany-barville.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-05-05,True
86,profile,AFTRP,aftrp,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-10-30,True
87,profile,AFUA jardins de serignan,afua jardins de serignan,www.e-marchespublics.com,e-marchespublics.com,e-marchespublics.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-17,True
88,profile,AFUL DE LA CARAVELLE s/c SCET DIR IDF,aful de la caravelle s c scet dir idf,www.marches-publics.info,marches-publics.info,marches-publics.info,,True,False,False,OK_WITH_WARNING,missing_protocol,2017-03-01,True
89,profile,AFUNA CFA SUP 2000,afuna cfa sup 2000,www.boamp.fr,boamp.fr,boamp.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2015-12-15,True
90,profile,AGAPE 79,agape 79,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-07-26,True
91,profile,AGAPEI,agapei,www.ladepeche-marchespublics.fr,ladepeche-marchespublics.fr,ladepeche-marchespublics.fr,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-12-07,True
92,profile,AGATE,agate,www.achatpublic.com,achatpublic.com,achatpublic.com,,True,False,False,OK_WITH_WARNING,missing_protocol,2019-10-06,True
93,profile,AGCE DE DEVELOPPEMENT ECO D OCCITANIE,agce de developpement eco d occitanie,marchespublics.agence-adocc.com,marchespublics.agence-adocc.com,agence-adocc.com,marchespublics,True,False,False,OK_WITH_WARNING,missing_protocol,2020-07-27,True
