domain_normalized,registered_domain,subdomain,observation_count,profile_observation_count,participation_observation_count,distinct_raw_buyer_names,distinct_profile_buyer_names,distinct_current_m1_buyer_keys,distinct_validated_sirens_after_m1_name_join,distinct_sirets_after_m1_name_join,distinct_departments_after_m1_name_join,first_observation_date,last_observation_date,dominant_buyer_normalized,dominant_buyer_count,dominant_buyer_share,buyer_entropy,malformed_observation_count,domain_specificity
marches-seucrises.fr,marches-seucrises.fr,,1,1,0,1,1,0,0,0,0,2017-01-05,2017-01-05,ca du grand tarbes,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches-seurises.fr,marches-seurises.fr,,1,1,0,1,1,0,0,0,0,2015-06-02,2015-06-02,commune de marennes,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches-sictom-montoire.com,marches-sictom-montoire.com,,1,1,0,1,1,0,0,0,0,2015-09-23,2015-09-23,sictom montoire-la chartre,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches-sucy.achatpublic.com,achatpublic.com,marches-sucy,1,1,0,1,1,0,0,0,0,2016-01-28,2016-01-28,ville de sucy-en-brie,1,1.0,-0.0,0,GENERIC_PLATFORM
marches-valeco.com,marches-valeco.com,,1,1,0,1,1,0,0,0,0,2018-07-24,2018-07-24,val-eco syndicat mixte de collecte,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.-megalisbretagne.org,-megalisbretagne.org,marches,1,1,0,1,1,0,0,0,0,2015-05-22,2015-05-22,departement d ille et vilaine,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.agefiph.fr,agefiph.fr,marches,1,1,0,1,1,0,0,0,0,2015-10-14,2015-10-14,agefiph,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.agglo-belfort,marches.agglo-belfort,,1,1,0,1,1,0,0,0,0,2017-06-21,2017-06-21,cte de l agglomeration belfortaine,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.agglo-chartes.fr,agglo-chartes.fr,marches,1,1,0,1,1,0,0,0,0,2018-11-07,2018-11-07,chartres metropole,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.agglo-compiegne,marches.agglo-compiegne,,1,1,0,1,1,0,0,0,0,2018-01-11,2018-01-11,ville de compiegne,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.aglo-compiegne.fr,aglo-compiegne.fr,marches,1,1,0,1,1,0,0,0,0,2016-01-18,2016-01-18,ville de compiegne,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.batigere.fr,batigere.fr,marches,1,1,0,1,1,0,0,0,0,2016-07-11,2016-07-11,gie amphitheatre,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cd66.fr,cd66.fr,marches,1,1,0,1,1,0,0,0,0,2015-08-20,2015-08-20,conseil general pyrenees orientales,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cdg.59.fr,59.fr,marches.cdg,1,1,0,1,1,0,0,0,0,2015-05-15,2015-05-15,ville de saint-amand-les-eaux,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cdg.5962.fr,5962.fr,marches.cdg,1,1,0,1,1,0,0,0,0,2017-10-04,2017-10-04,smalim,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cdg59-62.fr,cdg59-62.fr,marches,1,1,0,1,1,0,0,0,0,2015-12-16,2015-12-16,ville de saint-amand-les-eaux,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cdg5962,marches.cdg5962,,1,1,0,1,1,0,0,0,0,2017-01-15,2017-01-15,ville d emmerin,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cdg5962.80.fr,80.fr,marches.cdg5962,1,1,0,1,1,0,0,0,0,2019-07-04,2019-07-04,ville de saint-amand-les-eaux,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cg32.fr,cg32.fr,marches,1,1,0,1,1,0,0,0,0,2015-04-01,2015-04-01,departement de gers,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.cgd5962.fr,cgd5962.fr,marches,1,1,0,1,1,0,0,0,0,2017-05-05,2017-05-05,ville de saint-amand-les-eaux,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.defense.gouv.fr,defense.gouv.fr,marches,1,1,0,1,1,0,0,0,0,2015-04-30,2015-04-30,ema dc sca gsbdd reunion-mayotte,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.e-bourgone.fr,e-bourgone.fr,marches,1,1,0,1,1,0,0,0,0,2016-03-09,2016-03-09,communaute de communes loire et nohain,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.e-megalisbretagen.org,e-megalisbretagen.org,marches,1,1,0,1,1,0,0,0,0,2015-09-04,2015-09-04,departement d ille et vilaine,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.e-megalisbretagne.com,e-megalisbretagne.com,marches,1,1,0,1,1,0,0,0,0,2015-09-10,2015-09-10,ville de rennes,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.e-megalisbretagne.fr,e-megalisbretagne.fr,marches,1,1,0,1,1,0,0,0,0,2017-06-22,2017-06-22,dinan agglomeration,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.e-megalisbretgne.org,e-megalisbretgne.org,marches,1,1,0,1,1,0,0,0,0,2015-07-09,2015-07-09,departement d ille et vilaine,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.e-meglisbretagne.org,e-meglisbretagne.org,marches,1,1,0,1,1,0,0,0,0,2015-10-16,2015-10-16,departement d ille et vilaine,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.epinay-senart.fr,epinay-senart.fr,marches,1,1,0,1,1,0,0,0,0,2015-11-23,2015-11-23,ville d epinay sous senart,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.grandlyon.com,grandlyon.com,marches,1,1,0,1,1,0,0,0,0,2019-03-01,2019-03-01,metropole de lyon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.grandlyon.org,grandlyon.org,marches,1,1,0,1,1,0,0,0,0,2015-05-12,2015-05-12,metropole de lyon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.haute-marne.f,haute-marne.f,marches,1,0,1,1,1,0,0,0,0,2017-10-29,2017-10-29,synd mixte de trpt du pays de langres,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.haute-marne.fr,haute-marne.fr,marches,1,1,0,1,1,0,0,0,0,2017-10-29,2017-10-29,synd mixte de trpt du pays de langres,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.locai-trust.com,locai-trust.com,marches,1,1,0,1,1,0,0,0,0,2015-04-13,2015-04-13,ville de saint tropez,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.local-trsut.com,local-trsut.com,marches,1,1,0,1,1,0,0,0,0,2018-08-24,2018-08-24,conseil departemental du pas-de-calais,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.mandeure.com,mandeure.com,marches,1,1,0,1,1,0,0,0,0,2018-12-18,2018-12-18,ville de mandeure,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.maxilimien.fr,maxilimien.fr,marches,1,1,0,1,1,0,0,0,0,2019-03-03,2019-03-03,ville de saint-denis,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.maximilein.fr,maximilein.fr,marches,1,1,0,1,1,0,0,0,0,2018-06-02,2018-06-02,ville de paris,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.maximilien.com,maximilien.com,marches,1,1,0,1,1,0,0,0,0,2015-12-31,2015-12-31,syndicat des eaux d ile-de-france,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.maximililien.fr,maximililien.fr,marches,1,1,0,1,1,0,0,0,0,2018-03-09,2018-03-09,ville d antony,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.megails.bretagne.bzh,bretagne.bzh,marches.megails,1,1,0,1,1,1,1,0,1,2020-07-05,2020-07-05,departement du finistere,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.megalisbretagne.fr,megalisbretagne.fr,marches,1,1,0,1,1,0,0,0,0,2018-04-05,2018-04-05,brest metropole,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.megalisbretgne.org,megalisbretgne.org,marches,1,1,0,1,1,1,0,0,1,2019-04-15,2019-04-15,bretagne developpement innovation,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.meglisbretagne.org,meglisbretagne.org,marches,1,1,0,1,1,0,0,0,0,2019-04-05,2019-04-05,dinan agglomeration,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.montpellier.com,montpellier.com,marches,1,1,0,1,1,0,0,0,0,2015-12-14,2015-12-14,ville de montpellier,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.montpellier.fr,montpellier.fr,marches,1,1,0,1,1,0,0,0,0,2019-12-01,2019-12-01,ville de montpellier,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.montpellier3m,marches.montpellier3m,,1,1,0,1,1,0,0,0,0,2019-05-07,2019-05-07,montpellier mediterranee metropole,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.montpellier3m.com,montpellier3m.com,marches,1,1,0,1,1,0,0,0,0,2016-03-14,2016-03-14,ville de montpellier,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.mrs.aero,mrs.aero,marches,1,1,0,1,1,0,0,0,0,2016-02-08,2016-02-08,amp - aeroport marseille provence,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.pays-de-lure.fr,pays-de-lure.fr,marches,1,1,0,1,1,0,0,0,0,2017-07-13,2017-07-13,communaute de communes du pays de lure,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.publics,marches.publics,,1,1,0,1,1,0,0,0,0,2019-09-18,2019-09-18,ccit seine estuaire,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.publics.adm76.com,adm76.com,marches.publics,1,1,0,1,1,0,0,0,0,2015-05-19,2015-05-19,mairie de saint-romain de colbosc,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.publics.aude.fr,aude.fr,marches.publics,1,1,0,1,1,0,0,0,0,2019-07-25,2019-07-25,commune de saint marcel sur aude,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.publics.grandlyon.com,grandlyon.com,marches.publics,1,1,0,1,1,0,0,0,0,2018-04-11,2018-04-11,metropole de lyon,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.publics.haute-garonne.fr,haute-garonne.fr,marches.publics,1,1,0,1,1,0,0,0,0,2017-08-24,2017-08-24,conseil departemental haute garonne,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
marches.publics.landespublic.org,landespublic.org,marches.publics,1,1,0,1,1,0,0,0,0,2016-02-17,2016-02-17,commune de tarnos,1,1.0,-0.0,0,SHARED_INSTITUTIONAL
