source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-176598,16-35152,2015-11-23,2016-03-11,NAME:departement de la sarthe,NAME_FALLBACK,3.5808147174770038,2016-05-23,2.3981603153745072,0.6003066141042488,0.7333573398843474,0.1,0.6,0.49675172248558375,True,False,1,7,0.17069840947197173,window_6m,0.3230216936565234
15-178206,16-55859,2015-11-27,2016-04-25,NAME:centre hospitalier de saint-nazaire,NAME_FALLBACK,4.92772667542707,2016-05-27,1.0512483574244416,0.8247919404292597,0.13035650688041614,0.1,0.6,0.34182276251546057,True,False,1,2,0.006544462307692345,window_6m,0.3230216936565234
15-178562,20-8882,2015-11-26,2020-01-20,NAME:ville d angers,NAME_FALLBACK,49.80289093298291,2020-05-23,4.073587385019711,0.32106876916338145,0.5788859900902603,1.0,0.6,0.6428772888224363,False,False,1,1,0.6428772888224363,window_6m,0.3230216936565234
15-178791,19-191665,2015-11-30,2019-12-26,NAME:nantes metropole,NAME_FALLBACK,48.85019710906702,2019-11-30,0.8541392904073587,0.8576434515987735,0.1570519186524456,1.0,0.6,0.6293790344280494,False,False,1,22,0.018015446835202287,window_6m,0.3230216936565234
15-184251,20-47300,2015-12-08,2020-04-02,SIRET:19490970100303,RAW_SIRET,51.806833114323254,2020-06-07,2.1681997371879107,0.6386333771353483,0.06226640964519111,0.2,1.0,0.341451587659654,False,True,1,1,0.341451587659654,window_6m,0.3230216936565234
15-184743,16-80474,2015-12-11,2016-06-15,NAME:com communes du pays d ancenis,NAME_FALLBACK,6.14323258869908,2016-06-11,0.1314060446780552,0.9780989925536575,0.1661527270200235,0.1,0.6,0.3926782025954226,True,False,1,1,0.3926782025954226,window_6m,0.3230216936565234
15-184750,16-68672,2015-12-09,2016-05-12,NAME:ecole centrale de nantes,NAME_FALLBACK,5.091984231274639,2016-06-09,0.9198423127463863,0.8466929478756022,0.13411636387656545,0.1,0.6,0.34861396432569847,True,False,1,3,0.009559107375347986,window_6m,0.3230216936565234
15-187883,19-70735,2015-12-16,2019-05-05,SIRET:22720002900014,RAW_SIRET,40.60446780551905,2019-04-30,0.164257555847569,0.9726237406920718,0.09438717294908597,0.0,1.0,0.376191445705198,False,False,1,4,0.062226563207977814,window_6m,0.3230216936565234
15-189271,20-16042,2015-12-18,2020-01-31,NAME:departement de la sarthe,NAME_FALLBACK,49.44152431011826,2019-12-18,1.445466491458607,0.7590889180902322,0.11393682199464807,0.4,0.6,0.40965011722068484,False,False,1,9,0.024638633377135344,window_6m,0.3230216936565234
15-192356,20-32203,2015-12-24,2020-03-06,NAME:nantes metropole,NAME_FALLBACK,50.39421813403416,2019-12-24,2.3981603153745072,0.6003066141042488,0.7268622558120931,1.0,0.6,0.7644784430602949,False,False,1,22,0.3344167405765052,window_6m,0.3230216936565234
