notice_id,buyer_key,buyer_key_type,publication_date,start_date,estimated_end_date,study_end_date,cpv_division,cpv_category,category_label,is_digital_scope,declared_duration_months,dur_was_imputed,event,time_to_event_or_censor_months,linked_candidate_notice_id,m0_composite_score,variant
17-165149,NAME:oniris,NAME_FALLBACK,2017-11-25,2017-11-25,2021-11-25,2026-07-13,72,72212,DIGITAL_ICT,True,48.0,True,0,103.54796320630749,,,forward_24m_no_duration
17-155110,NAME:commune de nantes,NAME_FALLBACK,2017-11-03,2017-11-03,2018-05-03,2026-07-13,,,DIGITAL_ICT,True,6.0,True,1,11.366622864651774,18-141270,0.5472644556146387,forward_24m_no_duration
17-162755,NAME:la cite des congres de nantes,NAME_FALLBACK,2017-11-17,2017-11-17,2021-11-17,2026-07-13,72,72315,DIGITAL_ICT,True,48.0,True,1,9.395532194480946,18-120644,0.2707974611676698,forward_24m_no_duration
17-168569,NAME:nantes metropole,NAME_FALLBACK,2017-11-29,2017-11-29,2021-11-29,2026-07-13,72,72320,DIGITAL_ICT,True,48.0,True,1,14.159001314060447,19-16942,0.30467144789602296,forward_24m_no_duration
17-156571,NAME:mairie de saint-viaud,NAME_FALLBACK,2017-11-06,2017-11-06,2018-11-06,2026-07-13,45,45000,DIGITAL_ICT,True,12.0,True,1,1.0512483574244416,17-172856,0.946666666666667,forward_24m_no_duration
17-158731,NAME:departement de la vendee,NAME_FALLBACK,2017-11-09,2018-03-09,2022-03-09,2026-07-13,72,72220,DIGITAL_ICT,True,48.0,True,1,15.670170827858081,19-33087,0.331799827161886,forward_24m_no_duration
17-159853,NAME:angers loire metropole,NAME_FALLBACK,2017-11-13,2017-11-13,2021-11-13,2026-07-13,72,72267,DIGITAL_ICT,True,48.0,True,1,15.735873850197109,19-35566,0.4134353282888331,forward_24m_no_duration
17-167707,NAME:nantes metropole,NAME_FALLBACK,2017-11-28,2017-11-28,2021-11-28,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,0.5913272010512484,17-173663,0.5427837414469259,forward_24m_no_duration
17-158224,NAME:nantes metropole,NAME_FALLBACK,2017-11-12,2018-05-20,2022-05-20,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,1,5.354796320630749,18-56546,0.48817704007124685,forward_24m_no_duration
17-165815,NAME:dreal bretagne,NAME_FALLBACK,2017-11-25,2018-06-28,2022-06-28,2026-07-13,48,48000,DIGITAL_ICT,True,48.0,True,0,103.54796320630749,,,forward_24m_no_duration
17-160290,NAME:universite de nantes,NAME_FALLBACK,2017-11-13,2018-01-22,2019-01-22,2026-07-13,38,38430,DIGITAL_ICT,True,12.0,True,0,103.94218134034166,,,forward_24m_no_duration
