source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key,buyer_key_type,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m0_composite_score,cpv_missing,cpv_generic_flag,score_forward_no_duration,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
17-18523,18-142560,2017-02-11,2018-10-13,NAME:ville de nantes,NAME_FALLBACK,20.006570302233904,,,,0.9470442332358358,1.0,0.6,0.9219539755100568,False,False,0.9219539755100568,1,6,0.7353483535558505,forward_24m_no_duration,0.24520429054294895
17-19962,17-110921,2017-02-11,2017-08-04,NAME:ecole centrale de nantes,NAME_FALLBACK,5.716162943495401,,,,0.4259158582260696,0.0,0.6,0.2787607338388325,False,False,0.2787607338388325,1,3,0.08200714155170902,forward_24m_no_duration,0.24520429054294895
17-20203,18-144441,2017-02-10,2018-10-17,NAME:cap atlantique,NAME_FALLBACK,20.17082785808147,,,,0.5331324965302686,0.4,0.6,0.48879516504745874,False,False,0.48879516504745874,1,2,0.37903510696500875,forward_24m_no_duration,0.24520429054294895
17-20859,17-30623,2017-02-12,2017-03-05,NAME:angers loire metropole,NAME_FALLBACK,0.6898817345597897,,,,1.0,1.0,0.6,0.9466666666666668,False,False,0.9466666666666668,1,21,0.8209707508386571,forward_24m_no_duration,0.24520429054294895
17-21659,18-21831,2017-02-14,2018-02-15,NAME:gie des epl de vendee,NAME_FALLBACK,12.02365308804205,,,,0.6912579119801741,1.0,0.6,0.8025870255907479,False,True,0.8025870255907479,1,6,0.5756203791568609,forward_24m_no_duration,0.24520429054294895
17-2217,17-9629,2017-01-05,2017-01-20,NAME:carene,NAME_FALLBACK,0.49277266754270693,,,,1.0,0.1,0.6,0.5866666666666667,True,False,0.5866666666666667,1,6,0.35320949535262747,forward_24m_no_duration,0.24520429054294895
17-26666,17-61199,2017-02-25,2017-05-04,NAME:vendee expansion,NAME_FALLBACK,2.2339027595269383,,,,0.008832514915852284,1.0,0.6,0.48412184029406446,False,False,0.48412184029406446,1,2,0.3898620751014901,forward_24m_no_duration,0.24520429054294895
17-29415,17-104238,2017-03-03,2017-07-20,NAME:conseil departemental loire-atlantique,NAME_FALLBACK,4.566360052562418,,,,0.023159499081973785,1.0,0.6,0.49080776623825445,False,False,0.49080776623825445,1,20,0.009048296243560239,forward_24m_no_duration,0.24520429054294895
17-33827,19-34598,2017-03-10,2019-03-05,NAME:gpm de nantes - st nazaire,NAME_FALLBACK,23.817345597897503,,,,0.4882500263919951,0.1,0.6,0.34785001231626445,True,False,0.34785001231626445,1,13,0.030671413439670836,forward_24m_no_duration,0.24520429054294895
17-35545,18-159101,2017-03-16,2018-11-14,NAME:chu de nantes,NAME_FALLBACK,19.97371879106439,,,,0.8491241395860878,0.2,0.6,0.556257931806841,False,False,0.556257931806841,1,13,0.31431696424348793,forward_24m_no_duration,0.24520429054294895
17-35759,18-30222,2017-03-16,2018-03-04,SIRET:23440003400026,RAW_SIRET,11.59658344283837,,,,0.010928882137479098,0.4,1.0,0.2984334783308237,False,False,0.2984334783308237,1,13,0.00013528574576981978,forward_24m_no_duration,0.24520429054294895
