source_notice_id,candidate_notice_id,source_date,candidate_date,buyer_key_m0_source,buyer_key_m0_candidate,buyer_key_type_source,buyer_key_type_candidate,buyer_match_mechanism,source_buyer_identity_source,candidate_buyer_identity_source,source_buyer_siret,candidate_buyer_siret,source_buyer_siren_m1,candidate_buyer_siren_m1,cross_establishment_same_siren,gap_months,expected_end_date,abs_gap_to_expected_end,s_time,s_text,s_cpv,s_buyer,m1_composite_score,m0_balanced_threshold_used,cpv_missing,cpv_generic_flag,candidate_rank,n_candidates_for_source,top1_top2_margin,variant,threshold_used
15-175415,16-73319,2015-11-20,2016-05-24,NAME:commune de saint-nazaire,NAME:commune de saint-nazaire,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,6.110381077529566,2016-05-20,0.1314060446780552,0.9780989925536575,0.524444297632995,0.1,0.6,0.5180802523099626,0.3230216936565233,True,False,1,5,0.11838246094056215,balanced,0.3230216936565233
15-175690,20-6485,2015-11-20,2020-01-19,NAME:cnieg,NAME:cnieg,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,49.96714848883049,2020-03-09,1.6425755584756898,0.7262374069207184,0.13415386852312558,0.2,0.6,0.34851320571327354,0.3230216936565233,False,False,1,3,0.0519471399288472,balanced,0.3230216936565233
15-176598,16-35152,2015-11-23,2016-03-11,NAME:departement de la sarthe,NAME:departement de la sarthe,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,227200029,227200029,False,3.5808147174770038,2016-05-23,2.3981603153745072,0.6003066141042488,0.7333573398843471,0.1,0.75,0.5117517224855836,0.3230216936565233,True,False,1,10,0.17069840947197162,balanced,0.3230216936565233
15-178206,16-55859,2015-11-27,2016-04-25,NAME:centre hospitalier de saint-nazaire,NAME:centre hospitalier de saint-nazaire,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,4.92772667542707,2016-05-27,1.0512483574244416,0.8247919404292597,0.13035650688041614,0.1,0.6,0.34182276251546057,0.3230216936565233,True,False,1,2,0.006544462307692345,balanced,0.3230216936565233
15-178562,20-8882,2015-11-26,2020-01-20,NAME:ville d angers,NAME:ville d angers,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,49.80289093298292,2020-05-23,4.073587385019711,0.32106876916338145,0.5788859900902603,1.0,0.6,0.6428772888224363,0.3230216936565233,False,False,1,1,0.6428772888224363,balanced,0.3230216936565233
15-178791,19-191665,2015-11-30,2019-12-26,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,48.85019710906702,2019-11-30,0.8541392904073587,0.8576434515987735,0.1570519186524456,1.0,0.6,0.6293790344280494,0.3230216936565233,False,False,1,22,0.018015446835202287,balanced,0.3230216936565233
15-182813,20-8845,2015-12-04,2020-01-22,NAME:conseil regional des pays de la loire,SIRET:23440003400026,NAME_FALLBACK,RAW_SIRET,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,DIRECT_BOAMP_SIRET,,23440003400026,234400034,234400034,False,49.60578186596583,2020-05-04,3.383705650459921,0.43604905825667983,0.43608801530035635,1.0,0.75,0.6366430699192946,0.3230216936565233,False,False,1,14,0.25813481585412745,balanced,0.3230216936565233
15-184251,20-47300,2015-12-08,2020-04-02,SIRET:19490970100303,SIRET:19490970100303,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,19490970100303,19490970100303,194909701,194909701,False,51.80683311432326,2020-06-07,2.1681997371879107,0.6386333771353483,0.0622664096451911,0.2,1.0,0.341451587659654,0.3230216936565233,False,True,1,4,0.0678601277014722,balanced,0.3230216936565233
15-184743,16-80474,2015-12-11,2016-06-15,NAME:com communes du pays d ancenis,NAME:com communes du pays d ancenis,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,6.14323258869908,2016-06-11,0.1314060446780552,0.9780989925536575,0.16615272702002354,0.1,0.6,0.3926782025954226,0.3230216936565233,True,False,1,1,0.3926782025954226,balanced,0.3230216936565233
15-184750,16-68672,2015-12-09,2016-05-12,NAME:ecole centrale de nantes,NAME:ecole centrale de nantes,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,194401006,194401006,False,5.091984231274639,2016-06-09,0.9198423127463863,0.8466929478756022,0.13411636387656548,0.1,0.75,0.3636139643256985,0.3230216936565233,True,False,1,3,0.009559107375347986,balanced,0.3230216936565233
15-187883,19-70735,2015-12-16,2019-05-05,SIRET:22720002900014,SIRET:22720002900014,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,22720002900014,22720002900014,227200029,227200029,False,40.60446780551906,2019-04-30,0.164257555847569,0.9726237406920718,0.09438717294908597,0.0,1.0,0.376191445705198,0.3230216936565233,False,False,1,15,0.04726631647587837,balanced,0.3230216936565233
15-189271,20-16042,2015-12-18,2020-01-31,NAME:departement de la sarthe,NAME:departement de la sarthe,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,227200029,227200029,False,49.44152431011827,2019-12-18,1.445466491458607,0.7590889180902322,0.11393682199464808,0.4,0.75,0.42465011722068485,0.3230216936565233,False,False,1,10,0.024638633377135344,balanced,0.3230216936565233
15-192276,20-59788,2016-02-05,2020-05-04,NAME:vendee eau,NAME:vendee eau,NAME_FALLBACK,NAME_FALLBACK,HISTORICAL_ALIAS_RECONCILIATION,UNIQUE_NAME_DEPARTMENT_ALIAS,UNIQUE_NAME_DEPARTMENT_ALIAS,,,258500222,258500222,False,50.91984231274639,2020-05-30,0.8541392904073587,0.8576434515987735,0.10773858961185359,0.0,0.75,0.32711936926384216,0.3230216936565233,False,False,1,3,0.036957950065703016,balanced,0.3230216936565233
15-192356,20-32203,2015-12-24,2020-03-06,NAME:nantes metropole,NAME:nantes metropole,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,50.39421813403417,2019-12-24,2.3981603153745072,0.6003066141042488,0.7268622558120932,1.0,0.6,0.7644784430602949,0.3230216936565233,False,False,1,22,0.3344167405765052,balanced,0.3230216936565233
15-32051,15-56571,2015-03-04,2015-04-14,NAME:caisse des depots,NAME:caisse des depots,NAME_FALLBACK,NAME_FALLBACK,M0_NAME_FALLBACK,NAME_FALLBACK,NAME_FALLBACK,,,,,False,1.3469119579500657,2015-09-04,4.697766097240473,0.21703898379325448,0.8779291113647563,0.1,0.6,0.45153493492597824,0.3230216936565233,True,False,1,2,0.005952103717091872,balanced,0.3230216936565233
15-32168,19-147943,2015-03-03,2019-10-02,SIRET:23440003400026,SIRET:23440003400026,RAW_SIRET,RAW_SIRET,EXACT_SIRET_RECONCILIATION,DIRECT_BOAMP_SIRET,DIRECT_BOAMP_SIRET,23440003400026,23440003400026,234400034,234400034,False,54.993429697766096,2019-09-03,0.9526938239159002,0.8412176960140166,0.25031590231747225,1.0,1.0,0.6979149898146194,0.3230216936565233,False,False,1,16,0.2957459765069643,balanced,0.3230216936565233
